Date,Open,Low,High,Close
2020-01-15,214.5,212.5,218.0,216.6
2020-01-16,217.7,217.0,222.5,220.0
2020-01-17,216.0,213.7,229.25,228.4
2020-01-20,229.55,224.15,232.25,226.55
2020-01-21,224.35,220.5,227.0,224.25
2020-01-22,224.8,221.15,228.0,225.9
2020-01-23,226.0,225.75,231.2,229.6
2020-01-24,225.5,219.0,232.4,229.75
2020-01-27,229.5,226.05,236.45,230.55
2020-01-28,232.25,229.1,234.5,229.9
2020-01-29,231.7,231.0,238.35,232.3
2020-01-30,232.3,228.2,232.75,231.5
2020-01-31,231.0,227.15,234.55,229.45
2020-02-01,228.0,220.8,233.65,222.8
2020-02-03,221.7,215.6,224.65,220.9
2020-02-04,222.65,222.05,227.15,225.45
2020-02-05,226.75,222.55,239.3,236.25
2020-02-06,237.4,234.1,243.6,236.5
2020-02-07,236.4,235.25,242.15,239.5
2020-02-10,239.5,237.55,245.15,244.5
2020-02-11,245.2,243.65,248.6,245.3
2020-02-12,245.9,245.0,251.4,249.7
2020-02-13,249.8,248.25,252.75,251.45
2020-02-14,252.5,251.55,258.6,256.15
2020-02-17,256.9,251.65,257.4,252.5
2020-02-18,251.65,245.25,251.65,249.45
2020-02-19,250.0,249.9,255.5,254.0
2020-02-20,253.2,252.65,261.0,258.65
2020-02-24,254.8,244.1,255.85,247.25
2020-02-25,249.8,242.4,251.75,246.45
2020-02-26,244.0,241.0,246.3,242.8
2020-02-27,241.45,232.05,241.45,234.15
2020-02-28,221.0,217.0,226.8,218.65
2020-03-02,223.0,216.15,226.7,218.6
2020-03-03,221.0,219.25,228.65,225.75
2020-03-04,226.1,213.55,227.0,221.1
2020-03-05,223.75,219.35,226.85,221.75
2020-03-06,215.1,207.5,216.75,214.75
2020-03-09,207.0,197.25,208.5,199.7
2020-03-11,197.4,192.25,205.0,195.75
2020-03-12,180.1,160.45,183.9,162.15
2020-03-13,145.95,129.75,161.35,148.75
2020-03-16,141.0,128.65,142.3,134.7
2020-03-17,135.7,130.5,142.55,133.4
2020-03-18,135.9,127.1,137.0,130.2
2020-03-19,121.0,118.2,132.95,128.9
2020-03-20,138.0,128.7,141.6,137.7
2020-03-23,123.05,118.2,135.0,120.9
2020-03-24,125.0,116.4,132.95,130.35
2020-03-25,126.0,125.0,134.9,132.3
2020-03-26,135.0,132.05,152.0,140.25
2020-03-27,146.0,126.25,151.0,128.0
2020-03-30,124.0,121.0,129.8,128.7
2020-03-31,131.7,129.45,138.45,137.6
2020-04-01,138.95,131.8,138.95,133.95
2020-04-03,134.0,128.0,134.6,129.05
2020-04-07,131.0,131.0,141.5,138.15
2020-04-08,136.85,134.9,147.15,138.1
2020-04-09,140.0,140.0,146.25,142.45
2020-04-13,142.0,136.55,149.0,146.0
2020-04-15,148.05,143.2,150.95,145.25
2020-04-16,142.0,140.55,144.85,143.3
2020-04-17,146.95,141.55,148.55,143.9
2020-04-20,146.0,142.6,155.45,146.7
2020-04-21,143.0,134.15,143.0,135.95
2020-04-22,136.0,132.1,138.8,137.6
