Date,Open,Low,High,Close
2020-01-15,389.3,386.0,391.4,390.8
2020-01-16,392.0,389.8,394.6,390.95
2020-01-17,390.9,386.0,392.4,387.6
2020-01-20,387.65,378.8,389.2,380.05
2020-01-21,378.8,375.3,382.0,379.95
2020-01-22,379.95,379.0,385.0,383.6
2020-01-23,384.45,380.75,386.75,385.85
2020-01-24,383.0,380.3,387.4,384.75
2020-01-27,383.7,379.8,386.25,381.25
2020-01-28,380.7,370.2,381.5,372.95
2020-01-29,377.5,373.75,387.75,383.35
2020-01-30,381.0,376.85,383.7,378.0
2020-01-31,380.05,368.25,381.55,369.4
2020-02-01,369.8,360.65,371.4,362.3
2020-02-03,364.0,355.5,370.0,367.35
2020-02-04,370.1,366.35,376.0,372.5
2020-02-05,372.0,361.1,372.5,366.6
2020-02-06,370.0,367.65,373.2,370.2
2020-02-07,370.2,367.2,373.7,369.55
2020-02-10,370.05,366.15,373.45,368.25
2020-02-11,370.5,369.05,378.4,374.2
2020-02-12,376.95,371.6,378.9,374.1
2020-02-13,374.0,367.0,374.7,369.1
2020-02-14,370.3,366.0,372.0,366.85
2020-02-17,366.85,359.4,366.85,362.8
2020-02-18,362.5,358.35,368.45,366.6
2020-02-19,371.0,367.35,374.45,371.3
2020-02-20,371.0,370.0,374.5,370.85
2020-02-24,367.65,361.5,371.4,362.25
2020-02-25,362.3,355.6,364.7,358.4
2020-02-26,356.9,352.9,362.5,358.4
2020-02-27,358.7,351.5,360.75,353.7
2020-02-28,347.0,339.2,348.65,342.2
2020-03-02,346.1,338.3,351.05,340.65
2020-03-03,344.0,342.0,349.05,347.3
2020-03-04,347.8,339.9,349.8,345.95
2020-03-05,347.3,346.5,351.9,349.15
2020-03-06,339.8,331.25,343.2,341.4
2020-03-09,334.7,316.85,334.7,321.9
2020-03-11,322.8,316.2,326.35,320.2
2020-03-12,288.2,284.0,301.9,287.65
2020-03-13,260.0,232.0,300.7,292.75
2020-03-16,273.0,252.0,276.85,261.4
2020-03-17,265.0,265.0,283.35,267.15
2020-03-18,270.0,256.0,273.0,260.4
2020-03-19,248.0,241.0,264.15,258.35
2020-03-20,257.6,247.2,264.5,256.4
2020-03-23,235.0,203.0,235.8,207.8
2020-03-24,216.0,212.6,238.75,231.75
2020-03-25,222.3,222.3,266.5,255.6
2020-03-26,257.65,241.5,260.1,248.2
2020-03-27,259.0,244.0,259.6,251.3
2020-03-30,248.0,237.0,254.85,251.65
2020-03-31,255.0,247.05,259.6,251.3
2020-04-01,246.05,235.05,247.8,244.8
2020-04-03,246.0,238.9,252.8,244.8
2020-04-07,254.2,245.6,255.85,248.1
2020-04-08,248.0,242.75,255.85,250.85
2020-04-09,254.0,247.45,254.6,251.9
2020-04-13,252.0,247.5,265.5,262.85
2020-04-15,265.0,265.0,279.4,268.9
2020-04-16,267.0,260.3,271.3,267.6
2020-04-17,275.0,263.6,275.9,268.15
2020-04-20,273.5,266.55,273.5,270.5
2020-04-21,266.05,260.9,269.6,265.2
2020-04-22,260.0,258.5,273.85,271.9
2020-04-23,273.5,268.5,279.7,277.6
2020-04-24,273.95,269.55,276.95,270.65
2020-04-27,273.3,269.5,277.1,271.15
2020-04-28,271.15,270.0,274.7,272.95
2020-04-29,274.0,272.7,293.2,287.65
2020-04-30,295.05,285.1,296.0,290.1
2020-05-04,275.0,262.0,280.0,266.35
2020-05-05,271.7,261.1,271.7,263.1
2020-05-06,261.1,261.1,273.5,270.15
2020-05-07,271.2,268.45,284.5,282.4
2020-05-08,285.1,280.55,286.85,285.05
2020-05-11,285.2,285.2,293.25,289.7
2020-05-12,289.0,285.25,292.8,291.5
2020-05-13,297.0,262.35,311.9,309.35
2020-05-14,301.1,301.1,311.45,308.4
2020-05-15,309.0,305.35,312.0,309.25
2020-05-18,306.0,291.35,307.35,293.3
2020-05-19,299.8,297.35,320.9,319.2
2020-05-20,318.0,311.55,324.8,323.75
2020-05-21,319.4,315.4,322.15,317.15
2020-05-22,315.0,306.55,315.0,310.6
2020-05-26,312.4,309.6,320.55,315.6
2020-05-27,313.0,313.0,328.5,326.65
2020-05-28,329.5,327.45,334.15,331.8
2020-05-29,330.0,322.05,330.0,323.8
2020-06-01,326.0,326.0,336.35,329.35
2020-06-02,330.2,325.8,341.65,339.95
2020-06-03,344.0,336.85,344.95,339.55
2020-06-04,341.0,337.6,342.9,339.2
2020-06-05,340.1,337.2,347.15,341.15
2020-06-08,343.1,340.95,347.65,343.3
2020-06-09,344.5,341.3,351.35,346.05
2020-06-10,346.05,340.4,349.75,346.55
2020-06-11,348.0,336.8,348.0,338.65
2020-06-12,330.65,327.7,347.8,345.3
2020-06-15,346.5,336.85,346.85,339.75
2020-06-16,347.0,335.9,347.0,340.8
2020-06-17,341.0,337.55,346.45,341.3
2020-06-18,340.35,335.15,345.5,343.8
2020-06-19,344.4,341.5,354.9,348.9
2020-06-22,350.0,346.7,353.9,349.6
2020-06-23,350.0,346.75,357.2,355.65
2020-06-24,355.35,349.6,360.0,351.85
2020-06-25,349.8,342.2,351.5,344.0
2020-06-26,348.0,339.6,349.0,343.2
2020-06-29,341.35,339.1,344.05,342.65
2020-06-30,344.0,342.4,349.8,343.9
2020-07-01,345.9,341.3,347.05,343.8
2020-07-02,346.0,344.9,349.6,346.8
2020-07-03,350.2,348.65,366.8,360.4
2020-07-06,365.1,356.1,366.0,359.45
2020-07-07,361.0,344.25,361.0,345.95
2020-07-08,349.0,339.3,349.65,340.6
2020-07-09,341.0,340.0,346.5,343.15
2020-07-10,341.0,332.25,342.7,334.95
2020-07-13,336.25,331.5,339.65,332.2
2020-07-14,332.7,319.7,333.5,320.4
2020-07-15,320.55,312.9,324.5,315.15
2020-07-16,317.0,309.6,317.45,311.2
2020-07-17,312.0,310.6,318.9,313.0
2020-07-20,316.0,310.35,318.7,317.3
2020-07-21,320.9,313.6,325.35,314.7
2020-07-22,316.2,309.1,318.65,312.0
2020-07-23,313.4,311.6,315.95,313.9
2020-07-24,313.9,305.35,313.95,309.4
2020-07-27,309.0,298.0,310.7,309.05
2020-07-28,309.9,308.05,320.0,318.6
2020-07-29,317.05,312.05,323.0,315.15
2020-07-30,317.85,310.1,321.75,312.5
2020-07-31,315.0,312.75,318.15,315.2
2020-08-03,311.0,308.65,319.55,311.35
2020-08-04,313.0,311.35,317.75,314.95
2020-08-05,316.4,313.4,328.8,327.1
2020-08-06,330.1,321.4,330.9,323.8
2020-08-07,323.9,321.55,328.35,326.65
2020-08-10,329.0,325.7,333.95,331.3
2020-08-11,333.5,330.7,336.75,335.0
2020-08-12,336.0,331.75,347.75,341.2
2020-08-13,343.55,341.75,348.95,347.65
2020-08-14,353.75,343.65,353.75,348.1
2020-08-17,350.85,346.8,358.0,357.45
2020-08-18,356.9,354.5,359.5,357.45
2020-08-19,360.0,355.5,366.2,356.65
2020-08-20,354.95,347.95,357.1,353.6
2020-08-21,357.9,353.0,359.35,354.35
2020-08-24,358.4,347.6,363.3,349.0
2020-08-25,351.9,341.0,352.0,346.1
2020-08-26,346.35,346.35,366.9,354.25
2020-08-27,356.0,349.55,357.45,350.55
2020-08-28,355.0,348.5,363.0,360.05
2020-08-31,365.0,352.0,378.35,355.75
2020-09-01,357.0,341.4,365.35,348.8
2020-09-02,352.95,344.1,363.5,359.9
2020-09-03,363.5,359.55,368.0,366.0
2020-09-04,363.4,351.1,363.4,353.0
2020-09-07,355.0,347.2,357.95,352.05
2020-09-08,352.7,343.55,355.95,345.6
2020-09-09,344.4,335.35,346.3,343.85
2020-09-10,346.0,336.6,348.95,341.6
2020-09-11,341.0,333.45,343.9,342.5
2020-09-14,345.0,343.45,353.6,351.65
2020-09-15,355.1,351.0,356.8,352.65
2020-09-16,352.25,348.95,356.1,353.55
2020-09-17,352.0,345.0,355.5,346.1
2020-09-18,348.7,347.1,359.8,357.85
2020-09-21,358.0,343.95,359.0,347.85
2020-09-22,347.85,327.15,348.35,332.3
2020-09-23,332.55,320.15,335.35,324.6
2020-09-24,321.55,312.1,322.95,313.75
2020-09-25,319.0,315.6,329.7,326.15
2020-09-28,327.8,327.8,343.2,339.55
2020-09-29,343.4,336.9,346.4,341.0
2020-09-30,340.55,330.0,346.55,341.75
2020-10-01,345.5,344.5,354.9,353.3
2020-10-05,355.9,348.45,358.0,350.35
2020-10-06,356.0,354.85,364.5,362.9
2020-10-07,362.55,359.0,368.75,360.65
2020-10-08,359.8,356.35,362.8,359.75
2020-10-09,361.0,355.15,362.45,357.2
2020-10-12,359.1,355.05,362.85,357.65
2020-10-13,357.65,348.4,358.65,349.9
2020-10-14,349.1,344.7,351.2,348.95
2020-10-15,350.6,341.25,353.85,342.8
2020-10-16,344.35,341.95,354.75,349.95
2020-10-19,352.6,344.8,352.6,347.55
2020-10-20,346.7,345.65,352.3,348.95
2020-10-21,350.25,349.55,360.15,355.35
2020-10-22,350.55,350.15,364.05,358.35
2020-10-23,360.0,357.65,369.0,364.35
2020-10-26,366.0,360.35,373.9,363.7
2020-10-27,360.2,351.0,366.2,364.4
2020-10-28,363.0,352.0,370.0,353.65
2020-10-29,350.55,341.15,350.55,342.7
2020-10-30,345.2,343.2,362.7,359.85
2020-11-02,360.0,351.2,362.7,356.9
2020-11-03,362.0,347.2,362.65,353.65
2020-11-04,367.65,349.6,369.5,361.1
2020-11-05,366.05,364.3,374.65,368.65
2020-11-06,368.65,365.8,375.9,371.1
2020-11-09,375.0,366.0,376.0,367.05
2020-11-10,370.7,364.15,374.5,366.75
2020-11-11,366.75,365.25,372.45,371.6
2020-11-12,373.0,366.1,375.6,368.05
2020-11-13,367.5,362.7,370.4,365.5
2020-11-14,369.0,363.0,369.0,366.1
2020-11-17,368.5,366.25,386.75,379.65
2020-11-18,382.0,382.0,395.2,391.1
2020-11-19,390.0,379.6,392.7,381.9
2020-11-20,381.0,373.0,382.65,375.85
2020-11-23,375.85,370.3,379.35,375.15
2020-11-24,378.0,376.0,402.0,392.25
2020-11-25,396.3,384.4,404.7,398.95
2020-11-26,400.8,395.65,413.0,410.15
2020-11-27,411.0,408.2,416.0,411.55
2020-12-01,415.0,412.0,426.0,423.8
2020-12-02,424.9,420.35,442.0,438.2
2020-12-03,442.0,433.05,444.5,435.8
2020-12-04,439.7,439.0,458.3,453.7
2020-12-07,461.0,459.0,474.9,471.5
2020-12-08,472.7,457.55,474.7,463.35
2020-12-09,467.65,458.15,469.9,463.9
2020-12-10,463.9,457.0,474.1,471.0
2020-12-11,471.75,462.7,475.0,466.3
2020-12-14,468.6,463.1,472.45,467.0
2020-12-15,469.5,461.45,479.65,475.75
2020-12-16,480.0,473.15,480.45,475.55
2020-12-17,478.0,465.55,478.8,467.75
2020-12-18,467.75,458.5,472.95,463.3
2020-12-21,459.0,427.2,467.0,444.25
2020-12-22,444.25,435.0,470.5,468.65
2020-12-23,467.15,462.5,476.7,470.75
2020-12-24,474.9,466.0,482.9,478.55
2020-12-28,480.0,480.0,492.95,483.55
2020-12-29,485.0,478.2,489.85,483.4
2020-12-30,484.0,478.15,487.6,485.4
2020-12-31,485.4,480.25,490.8,483.75
2021-01-01,485.0,482.55,508.0,503.85
2021-01-04,507.0,495.2,510.9,498.9
2021-01-05,498.9,492.0,504.5,499.45
2021-01-06,501.8,489.5,504.95,496.8
2021-01-07,500.1,499.5,520.9,513.85
2021-01-08,520.0,514.5,527.35,517.0
2021-01-11,520.45,504.0,522.5,508.35
2021-01-12,507.0,502.55,520.65,511.25
2021-01-13,515.9,514.6,540.0,536.65
2021-01-14,537.95,530.1,542.45,536.95
2021-01-15,536.8,524.0,541.0,527.95
2021-01-18,531.0,503.8,532.3,515.5
2021-01-19,516.0,516.0,535.0,532.8
2021-01-20,529.0,529.0,562.5,558.6
2021-01-21,561.85,542.65,561.85,547.65
2021-01-22,549.5,531.7,557.5,535.8
2021-01-25,543.0,522.0,547.45,523.65
2021-01-27,528.25,512.5,536.0,518.85
2021-01-28,515.7,507.05,527.95,519.1
2021-01-29,527.55,507.1,533.1,509.7
2021-02-01,514.3,500.1,545.45,542.75
2021-02-02,548.7,540.0,554.85,550.8
2021-02-03,549.55,542.0,562.3,560.1
2021-02-04,557.9,554.05,573.4,568.4
2021-02-05,571.0,561.65,573.95,566.95
2021-02-08,572.15,571.1,594.0,582.05
2021-02-09,589.65,573.2,589.8,581.95
2021-02-10,584.75,550.5,587.0,576.85
2021-02-11,576.85,576.3,593.7,591.85
2021-02-12,592.3,586.1,621.65,616.6
2021-02-15,617.95,610.8,639.9,627.75
2021-02-16,629.8,628.05,643.5,636.55
2021-02-17,658.0,646.9,670.0,655.75
2021-02-18,660.8,649.05,670.0,664.05
2021-02-19,664.95,628.65,676.65,653.5
2021-02-22,658.8,649.0,678.5,673.8
2021-02-23,680.0,659.25,682.7,662.0
2021-02-24,666.7,653.4,671.0,665.2
2021-02-25,669.4,667.15,711.35,704.3
2021-02-26,697.1,668.0,703.45,675.9
2021-03-01,684.6,673.3,704.65,692.9
2021-03-02,697.6,696.0,724.7,720.5
2021-03-03,732.0,723.4,754.95,729.85
2021-03-04,733.25,715.85,765.7,752.45
2021-03-05,752.45,730.5,761.0,748.95
2021-03-08,762.7,744.2,767.8,748.4
2021-03-09,755.55,738.65,759.4,750.75
2021-03-10,757.5,743.0,759.1,745.35
2021-03-12,749.0,723.0,752.1,728.15
2021-03-15,727.8,706.05,727.8,719.05
2021-03-16,731.4,714.25,735.7,717.35
2021-03-17,715.0,683.8,716.95,688.25
2021-03-18,695.0,675.4,705.5,679.65
2021-03-19,677.4,657.1,691.5,686.25
2021-03-22,686.0,681.0,726.25,721.9
2021-03-23,730.25,727.1,755.0,738.55
2021-03-24,741.0,697.65,750.5,706.85
2021-03-25,711.0,683.15,712.35,688.25
2021-03-26,698.0,692.6,710.7,703.05
2021-03-30,703.05,697.3,718.0,710.55
2021-03-31,705.0,698.6,719.9,702.4
2021-04-01,713.5,705.0,742.0,736.25
2021-04-05,731.75,715.0,745.0,742.25
2021-04-06,756.0,743.0,852.7,835.55
2021-04-07,857.0,795.0,885.0,814.75
2021-04-08,818.0,806.0,838.0,823.0
2021-04-09,824.75,817.05,837.0,823.6
2021-04-12,809.9,735.0,809.9,744.65
2021-04-13,750.0,701.35,755.75,731.05
2021-04-15,735.9,725.0,754.5,750.35
2021-04-16,750.9,743.0,794.85,755.5
2021-04-19,715.0,707.45,730.9,720.95
2021-04-20,744.7,710.0,745.9,720.45
2021-04-22,689.5,689.5,744.9,737.8
2021-04-23,736.45,720.1,746.9,725.35
2021-04-26,733.0,728.9,739.65,730.75
2021-04-27,735.0,727.35,757.5,749.15
2021-04-28,755.0,741.1,760.0,746.25
2021-04-29,753.2,743.4,765.85,746.75
2021-04-30,739.0,724.5,759.45,730.05
2021-05-03,727.65,713.75,764.0,761.4
2021-05-04,779.85,760.05,782.0,768.75
2021-05-05,772.0,732.7,774.8,738.1
2021-05-06,745.0,735.6,753.7,740.8
2021-05-07,747.7,745.25,778.0,767.75
2021-05-10,774.4,762.45,779.5,765.45
2021-05-11,751.0,750.35,789.7,762.65
2021-05-12,763.0,747.7,772.8,751.6
2021-05-14,757.9,727.5,758.65,733.55
2021-05-17,740.0,737.0,760.0,754.2
2021-05-18,765.0,757.1,780.0,775.9
2021-05-19,784.0,769.3,791.9,772.4
2021-05-20,776.5,761.05,779.5,765.7
2021-05-21,772.0,766.65,775.25,769.2
2021-05-24,769.7,746.6,779.9,766.55
2021-05-25,773.0,759.0,776.7,764.0
2021-05-26,767.85,757.0,769.9,758.3
2021-05-27,758.3,749.45,765.0,751.4
2021-05-28,755.0,754.0,784.9,776.15
2021-05-31,779.95,761.7,779.95,769.55
2021-06-01,773.1,764.3,801.8,798.2
2021-06-02,802.95,802.95,824.0,811.5
2021-06-03,818.85,810.7,849.0,825.3
2021-06-04,830.8,823.0,841.95,833.85
2021-06-07,837.4,835.65,898.8,878.6
2021-06-08,883.4,859.15,887.8,874.2
2021-06-09,879.25,831.3,901.0,852.6
2021-06-10,858.55,843.3,863.95,846.75
2021-06-11,852.0,820.7,856.4,839.75
2021-06-14,755.8,681.1,783.7,768.45
2021-06-15,802.9,755.0,802.9,761.85
2021-06-16,755.0,697.8,755.0,706.7
2021-06-17,683.0,638.35,704.65,646.9
2021-06-18,643.2,638.1,704.6,694.35
2021-06-21,692.0,685.1,744.65,731.05
2021-06-22,740.0,738.0,761.65,742.9
2021-06-23,749.0,715.5,757.0,718.7
2021-06-24,724.0,701.7,725.0,709.9
2021-06-25,715.0,706.5,719.0,712.2
2021-06-28,719.0,713.0,729.95,716.25
2021-06-29,717.5,709.0,723.0,711.0
2021-06-30,717.6,702.1,717.6,703.7
2021-07-01,706.0,700.0,711.85,703.1
