Date,Open,Low,High,Close
2020-01-15,1488.3,1488.0,1529.0,1511.95
2020-01-16,1519.7,1518.05,1607.0,1591.55
2020-01-17,1595.55,1580.0,1624.0,1618.6
2020-01-20,1620.0,1616.5,1659.0,1629.55
2020-01-21,1629.85,1621.0,1642.5,1626.2
2020-01-22,1643.65,1626.5,1664.0,1634.45
2020-01-23,1638.8,1631.25,1699.9,1686.9
2020-01-24,1690.0,1649.1,1697.55,1668.7
2020-01-27,1668.0,1662.0,1713.0,1696.05
2020-01-28,1695.9,1673.8,1704.8,1677.75
2020-01-29,1687.0,1671.05,1694.95,1688.0
2020-01-30,1685.0,1680.25,1709.75,1690.8
2020-01-31,1699.2,1656.45,1699.25,1660.2
2020-02-01,1658.1,1630.0,1703.45,1654.45
2020-02-03,1616.0,1616.0,1717.6,1695.85
2020-02-04,1695.85,1661.0,1704.9,1671.05
2020-02-05,1681.0,1650.0,1681.0,1657.45
2020-02-06,1665.7,1622.2,1665.7,1645.05
2020-02-07,1649.8,1628.0,1678.5,1663.15
2020-02-10,1663.0,1634.5,1701.6,1665.7
2020-02-11,1670.5,1669.0,1702.9,1697.95
2020-02-12,1705.0,1670.55,1716.95,1683.6
2020-02-13,1675.0,1655.0,1707.0,1695.5
2020-02-14,1721.0,1674.45,1747.7,1704.4
2020-02-17,1727.0,1700.1,1737.0,1715.05
2020-02-18,1716.0,1704.8,1784.4,1774.9
2020-02-19,1774.9,1750.7,1792.6,1780.5
2020-02-20,1790.0,1778.25,1813.45,1800.7
2020-02-24,1796.0,1764.25,1813.55,1797.45
2020-02-25,1798.0,1778.0,1810.0,1790.45
2020-02-26,1785.95,1763.0,1796.95,1767.2
2020-02-27,1765.0,1755.1,1803.0,1795.4
2020-02-28,1780.5,1726.1,1799.75,1735.8
2020-03-02,1750.0,1711.2,1777.9,1728.55
2020-03-03,1738.9,1695.0,1753.2,1725.7
2020-03-04,1727.0,1711.65,1772.0,1755.25
2020-03-05,1764.95,1718.6,1768.85,1727.2
2020-03-06,1700.0,1673.0,1710.0,1688.9
2020-03-09,1650.0,1606.1,1671.75,1640.9
2020-03-11,1629.0,1611.0,1642.8,1629.25
2020-03-12,1580.0,1480.3,1590.05,1508.0
2020-03-13,1380.1,1379.0,1598.5,1513.65
2020-03-16,1431.0,1363.35,1540.9,1472.8
2020-03-17,1492.8,1415.45,1518.95,1426.75
2020-03-18,1454.0,1233.55,1454.0,1282.7
2020-03-19,1195.1,1052.35,1248.25,1180.1
2020-03-20,1190.25,1150.0,1400.4,1362.95
2020-03-23,1226.7,1149.0,1299.35,1158.65
2020-03-24,1250.0,1124.15,1265.0,1156.0
