Date,Open,Low,High,Close
2020-01-15,1817.5,1810.1,1845.0,1842.25
2020-01-16,1835.95,1828.75,1848.0,1835.15
2020-01-17,1835.6,1815.0,1838.9,1830.05
2020-01-20,1838.0,1833.6,1862.25,1848.75
2020-01-21,1839.95,1793.85,1842.55,1810.75
2020-01-22,1815.0,1766.85,1818.7,1779.25
2020-01-23,1779.0,1757.1,1789.0,1776.1
2020-01-24,1783.65,1780.25,1799.9,1786.8
2020-01-27,1787.0,1780.0,1805.75,1788.35
2020-01-28,1794.0,1773.0,1794.0,1779.1
2020-01-29,1787.0,1781.0,1803.85,1796.95
2020-01-30,1800.0,1786.0,1808.9,1805.0
2020-01-31,1810.0,1788.7,1824.0,1795.65
2020-02-01,1802.0,1747.0,1817.8,1755.35
2020-02-03,1768.8,1765.0,1872.9,1867.65
2020-02-04,1870.0,1855.05,1896.75,1891.3
2020-02-05,1889.0,1866.15,1890.0,1873.5
2020-02-06,1878.0,1845.0,1882.4,1856.8
2020-02-07,1856.8,1850.6,1876.5,1858.7
2020-02-10,1867.0,1837.2,1872.75,1869.5
2020-02-11,1880.0,1872.75,1894.5,1878.1
2020-02-12,1880.0,1878.2,1916.7,1893.7
2020-02-13,1889.0,1868.05,1901.95,1874.05
2020-02-14,1876.5,1870.0,1899.65,1877.05
2020-02-17,1879.9,1870.6,1893.5,1881.4
2020-02-18,1879.9,1861.0,1879.9,1863.65
2020-02-19,1870.1,1851.35,1892.75,1884.9
2020-02-20,1883.0,1839.05,1886.0,1842.25
2020-02-24,1845.25,1814.0,1853.0,1818.95
2020-02-25,1838.4,1820.2,1843.55,1826.1
2020-02-26,1826.0,1820.0,1845.0,1826.65
2020-02-27,1829.85,1810.45,1852.0,1843.8
2020-02-28,1820.0,1783.15,1842.1,1797.95
2020-03-02,1815.1,1769.25,1837.45,1786.8
2020-03-03,1780.05,1767.0,1818.0,1800.55
2020-03-04,1804.05,1804.05,1857.45,1847.95
2020-03-05,1854.0,1852.1,1882.0,1874.45
2020-03-06,1840.0,1835.0,1884.4,1877.45
2020-03-09,1888.0,1848.0,1915.9,1867.15
2020-03-11,1874.95,1851.5,1905.0,1882.85
2020-03-12,1864.95,1815.0,1874.8,1843.35
2020-03-13,1785.0,1669.85,1843.75,1797.7
2020-03-16,1777.0,1678.15,1777.0,1683.4
2020-03-17,1699.0,1670.0,1779.8,1731.6
2020-03-18,1732.0,1608.0,1758.55,1618.2
2020-03-19,1540.0,1431.2,1653.95,1601.2
2020-03-20,1610.0,1570.55,1757.4,1742.95
2020-03-23,1578.6,1490.75,1650.0,1498.45
2020-03-24,1556.55,1453.25,1598.0,1524.85
2020-03-25,1446.55,1446.0,1605.35,1593.15
2020-03-26,1605.0,1574.0,1650.0,1616.95
2020-03-27,1664.8,1550.2,1665.25,1604.15
2020-03-30,1591.15,1559.05,1619.5,1594.95
2020-03-31,1625.0,1601.8,1690.0,1666.5
2020-04-01,1650.05,1584.25,1655.0,1603.2
2020-04-03,1615.1,1517.25,1616.0,1520.9
2020-04-07,1540.0,1538.0,1635.0,1623.8
2020-04-08,1623.8,1600.0,1687.8,1608.95
2020-04-09,1640.0,1618.95,1678.9,1651.35
2020-04-13,1646.0,1602.85,1703.65,1680.85
2020-04-15,1703.65,1683.8,1736.75,1718.2
2020-04-16,1691.0,1684.75,1752.3,1743.1
2020-04-17,1763.0,1727.1,1783.7,1756.25
2020-04-20,1758.25,1705.65,1758.65,1730.45
2020-04-21,1710.0,1700.0,1753.95,1726.0
2020-04-22,1717.1,1712.25,1822.0,1813.0
2020-04-23,1807.0,1801.05,1845.4,1821.65
2020-04-24,1815.05,1814.0,1842.8,1827.55
2020-04-27,1840.0,1818.1,1859.8,1851.35
2020-04-28,1847.2,1806.3,1864.0,1824.4
2020-04-29,1846.9,1755.9,1847.0,1767.5
2020-04-30,1795.0,1741.0,1797.0,1758.7
2020-05-04,1718.0,1671.5,1751.0,1676.8
2020-05-05,1681.0,1578.25,1692.9,1619.15
2020-05-06,1615.0,1577.0,1638.7,1610.65
2020-05-07,1609.95,1545.2,1628.7,1594.3
2020-05-08,1611.8,1570.0,1638.0,1578.4
2020-05-11,1583.0,1555.0,1599.0,1569.6
2020-05-12,1539.0,1512.0,1543.75,1523.35
2020-05-13,1579.8,1533.35,1579.8,1563.3
2020-05-14,1553.3,1517.0,1557.6,1522.4
2020-05-15,1529.0,1510.0,1560.0,1552.95
2020-05-18,1558.0,1498.1,1558.55,1501.1
2020-05-19,1510.0,1482.95,1516.95,1503.95
2020-05-20,1503.95,1492.65,1514.0,1500.05
2020-05-21,1503.0,1501.0,1583.5,1574.3
2020-05-22,1568.8,1555.4,1625.0,1617.9
2020-05-26,1625.0,1620.0,1656.95,1629.85
2020-05-27,1631.0,1595.95,1636.85,1619.45
2020-05-28,1622.0,1615.25,1656.95,1643.6
2020-05-29,1639.0,1633.1,1699.0,1683.1
2020-06-01,1706.5,1681.5,1711.9,1693.25
2020-06-02,1693.25,1680.0,1733.0,1709.3
2020-06-03,1724.0,1705.85,1744.0,1716.55
2020-06-04,1716.45,1627.0,1719.6,1633.75
2020-06-05,1650.0,1621.0,1659.35,1638.55
2020-06-08,1657.0,1629.0,1666.0,1634.25
2020-06-09,1640.0,1636.75,1695.0,1642.05
2020-06-10,1648.0,1627.9,1675.1,1635.95
2020-06-11,1635.95,1607.0,1646.0,1610.6
2020-06-12,1580.0,1577.5,1642.95,1637.35
2020-06-15,1629.0,1602.1,1650.65,1618.2
2020-06-16,1639.0,1607.65,1640.25,1621.7
2020-06-17,1607.55,1590.4,1622.65,1595.4
2020-06-18,1595.4,1587.3,1612.2,1597.8
2020-06-19,1597.8,1591.05,1630.0,1622.5
2020-06-22,1633.0,1624.0,1673.5,1652.15
2020-06-23,1659.85,1641.0,1689.0,1683.9
2020-06-24,1684.0,1684.0,1813.75,1747.25
2020-06-25,1740.0,1683.15,1747.0,1689.0
2020-06-26,1710.0,1670.7,1710.35,1686.75
2020-06-29,1687.0,1674.05,1708.45,1691.95
2020-06-30,1708.9,1681.65,1718.0,1687.45
2020-07-01,1698.0,1680.05,1698.0,1688.0
2020-07-02,1700.0,1660.1,1704.0,1686.45
2020-07-03,1695.4,1690.0,1720.0,1695.65
2020-07-06,1708.95,1692.15,1712.0,1708.85
2020-07-07,1708.95,1705.85,1749.9,1745.75
2020-07-08,1750.0,1680.05,1761.8,1686.25
2020-07-09,1694.0,1692.1,1722.0,1717.25
2020-07-10,1707.95,1695.2,1711.0,1703.5
2020-07-13,1708.0,1700.0,1732.9,1705.65
2020-07-14,1705.65,1682.1,1718.0,1688.4
2020-07-15,1700.0,1663.3,1713.6,1671.65
2020-07-16,1679.8,1645.1,1697.1,1693.2
2020-07-17,1695.0,1689.75,1742.5,1717.9
2020-07-20,1727.0,1720.25,1757.35,1751.6
2020-07-21,1761.0,1719.0,1771.75,1724.25
2020-07-22,1724.25,1691.0,1736.4,1695.75
2020-07-23,1690.0,1687.0,1740.0,1727.8
2020-07-24,1724.0,1682.0,1727.0,1712.05
2020-07-27,1717.2,1717.2,1788.0,1778.15
2020-07-28,1779.0,1751.05,1792.65,1759.65
2020-07-29,1770.0,1730.0,1779.9,1740.15
2020-07-30,1752.0,1728.1,1778.0,1743.35
2020-07-31,1754.0,1710.4,1770.9,1715.5
2020-08-03,1729.0,1697.5,1735.0,1705.5
2020-08-04,1719.0,1708.55,1735.0,1713.95
2020-08-05,1718.0,1712.5,1741.95,1716.3
2020-08-06,1732.05,1720.1,1752.1,1727.55
2020-08-07,1727.55,1725.7,1816.9,1806.25
2020-08-10,1810.0,1777.0,1824.3,1782.35
2020-08-11,1800.0,1780.0,1837.8,1789.55
