Date,Open,Low,High,Close
2020-01-15,747.05,738.0,749.0,746.3
2020-01-16,746.5,735.1,750.4,737.3
2020-01-17,734.85,730.85,742.45,739.9
2020-01-20,742.95,725.0,746.2,727.2
2020-01-21,726.35,716.05,729.6,717.6
2020-01-22,717.0,706.6,722.75,712.6
2020-01-23,725.05,719.4,737.55,723.0
2020-01-24,723.4,720.4,741.7,737.4
2020-01-27,732.45,731.0,748.45,740.25
2020-01-28,738.4,735.0,746.5,737.15
2020-01-29,740.0,733.55,745.5,735.25
2020-01-30,735.75,727.3,736.4,730.9
2020-01-31,734.7,725.2,737.25,729.3
2020-02-01,728.55,702.0,734.35,705.45
2020-02-03,704.7,695.55,712.8,708.95
2020-02-04,712.45,710.0,720.6,715.0
2020-02-05,719.45,715.2,725.65,724.05
2020-02-06,727.45,723.0,745.0,736.95
2020-02-07,736.7,734.0,749.2,748.15
2020-02-10,746.3,739.0,746.8,741.1
2020-02-11,743.0,742.0,757.1,749.95
2020-02-12,752.0,751.0,760.7,755.25
2020-02-13,751.1,742.3,753.45,747.8
2020-02-14,748.1,732.1,752.55,736.5
2020-02-17,737.4,730.2,743.1,738.4
2020-02-18,737.75,724.7,737.75,733.65
2020-02-19,740.65,735.35,745.1,741.05
2020-02-20,742.75,737.6,754.0,744.3
2020-02-24,737.95,723.0,738.4,725.45
2020-02-25,729.4,722.05,732.0,728.75
2020-02-26,725.3,722.0,735.75,729.4
2020-02-27,728.7,716.55,739.45,735.85
2020-02-28,718.9,691.0,724.7,697.3
2020-03-02,709.3,675.3,713.25,684.2
2020-03-03,689.9,675.0,695.8,687.15
2020-03-04,690.0,668.3,696.0,682.2
2020-03-05,686.5,675.25,694.0,677.9
2020-03-06,650.0,641.05,660.8,657.65
2020-03-09,639.0,615.1,641.85,623.55
2020-03-11,613.65,612.1,634.4,619.35
2020-03-12,592.0,528.15,594.0,543.25
2020-03-13,516.95,451.1,585.65,568.8
2020-03-16,542.35,502.35,545.0,508.6
2020-03-17,515.15,477.45,531.3,488.35
2020-03-18,490.0,392.1,506.05,473.45
2020-03-19,441.05,423.75,464.95,428.25
2020-03-20,431.4,414.2,449.7,428.15
2020-03-23,385.35,302.0,392.0,308.65
2020-03-24,331.95,291.0,337.5,303.15
2020-03-25,293.5,286.0,363.75,326.8
2020-03-26,335.95,332.0,399.0,341.4
2020-03-27,370.0,354.05,409.45,359.75
2020-03-30,345.0,340.35,382.0,368.15
2020-03-31,384.4,372.65,389.8,379.0
2020-04-01,376.25,354.0,379.8,358.65
2020-04-03,360.2,324.0,362.3,325.45
2020-04-07,347.4,342.35,405.75,388.85
2020-04-08,383.75,373.5,427.7,391.35
2020-04-09,405.0,398.65,423.0,420.15
2020-04-13,417.95,402.0,427.9,418.95
2020-04-15,434.0,412.45,451.65,417.3
2020-04-16,408.6,400.7,427.0,422.55
2020-04-17,450.0,432.4,485.9,478.8
2020-04-20,482.0,451.25,483.45,455.95
2020-04-21,436.0,412.95,439.95,420.65
2020-04-22,418.55,412.0,434.55,431.15
2020-04-23,434.6,426.05,439.85,430.05
2020-04-24,416.0,401.25,419.65,403.95
2020-04-27,415.0,409.1,429.5,427.3
2020-04-28,438.0,435.25,458.4,455.45
2020-04-29,430.75,425.95,448.85,439.1
2020-04-30,451.0,440.4,461.9,444.9
2020-05-04,424.0,399.7,424.0,402.8
2020-05-05,414.0,386.5,418.75,389.0
2020-05-06,385.0,368.05,394.45,388.85
2020-05-07,387.0,382.7,402.25,397.35
2020-05-08,403.5,379.65,409.45,382.05
2020-05-11,391.0,376.85,393.5,379.55
2020-05-12,376.3,370.0,391.8,386.85
2020-05-13,411.0,399.6,416.45,414.0
2020-05-14,405.05,397.65,411.0,401.95
2020-05-15,402.75,386.8,403.9,388.55
2020-05-18,389.0,352.3,389.0,358.8
2020-05-19,368.8,350.1,372.5,354.5
2020-05-20,353.0,350.0,366.3,362.5
2020-05-21,363.0,355.7,369.0,357.2
2020-05-22,352.1,332.85,359.75,336.95
2020-05-26,342.0,336.35,347.7,341.3
2020-05-27,346.1,341.5,392.45,387.0
2020-05-28,390.0,387.0,407.65,390.95
2020-05-29,382.0,375.35,389.25,384.95
2020-06-01,394.3,392.55,409.5,396.95
2020-06-02,398.0,391.55,415.0,410.1
2020-06-03,422.0,405.25,432.0,409.55
2020-06-04,407.6,391.55,413.9,394.35
2020-06-05,399.0,390.5,409.9,405.3
2020-06-08,415.0,414.0,444.75,430.25
2020-06-09,434.95,416.5,442.5,420.05
2020-06-10,422.2,415.3,432.7,427.45
2020-06-11,426.5,408.7,435.55,413.45
2020-06-12,390.0,389.15,412.5,408.0
2020-06-15,405.95,383.65,405.95,389.6
2020-06-16,404.9,360.4,405.0,381.55
2020-06-17,377.45,375.3,397.75,389.6
2020-06-18,386.0,384.0,408.05,405.4
2020-06-19,407.5,407.5,422.3,417.05
2020-06-22,420.0,418.1,435.9,430.15
2020-06-23,430.5,430.4,445.0,443.65
2020-06-24,448.0,422.2,448.5,424.65
2020-06-25,419.0,410.35,428.7,421.7
2020-06-26,426.0,418.0,428.75,424.85
2020-06-29,415.0,402.35,415.8,404.8
2020-06-30,410.0,404.05,414.8,406.65
2020-07-01,410.0,406.65,437.35,433.25
2020-07-02,441.0,421.3,441.5,423.2
2020-07-03,430.0,423.65,431.6,428.45
2020-07-06,434.15,431.1,437.6,434.0
2020-07-07,433.5,426.2,449.0,447.35
2020-07-08,450.0,441.0,461.4,444.15
2020-07-09,447.85,446.05,457.0,453.75
2020-07-10,449.9,437.0,451.45,439.6
2020-07-13,443.95,432.75,446.4,440.05
2020-07-14,434.9,415.4,435.8,417.7
2020-07-15,424.0,422.75,444.45,426.65
2020-07-16,431.95,418.45,436.15,434.0
2020-07-17,434.0,424.6,439.9,433.1
2020-07-20,437.7,429.3,442.8,434.0
2020-07-21,440.0,438.5,451.0,446.2
2020-07-22,478.0,460.1,484.6,478.95
2020-07-23,472.95,459.2,474.75,460.85
2020-07-24,456.6,441.55,456.6,445.6
2020-07-27,447.0,429.9,448.0,431.55
