Date,Open,Low,High,Close
2020-01-15,9539.85,9501.6,9619.0,9589.15
2020-01-16,9590.0,9565.05,9640.0,9622.15
2020-01-17,9614.0,9601.0,9740.3,9715.0
2020-01-20,9725.0,9550.0,9764.35,9572.75
2020-01-21,9583.95,9508.2,9625.0,9534.3
2020-01-22,9590.0,9495.0,9600.0,9547.5
2020-01-23,9547.5,9484.15,9596.0,9534.2
2020-01-24,9519.2,9480.1,9650.0,9633.75
2020-01-27,9590.0,9535.0,9648.9,9557.6
2020-01-28,9557.6,9530.0,9710.0,9631.3
2020-01-29,9649.0,9649.0,9929.0,9894.25
2020-01-30,9924.0,9603.35,9950.0,9639.65
2020-01-31,9708.0,9410.0,9708.0,9441.4
2020-02-01,9442.55,8820.0,9614.0,8947.4
2020-02-03,8955.0,8885.0,9235.0,9086.15
2020-02-04,9180.0,9161.3,9624.9,9534.9
2020-02-05,9540.0,9457.7,9684.0,9591.4
2020-02-06,9600.0,9560.0,9709.0,9619.7
2020-02-07,9610.0,9561.05,9673.65,9623.3
2020-02-10,9605.0,9531.0,9657.95,9627.0
2020-02-11,9643.5,9643.5,9810.0,9731.6
2020-02-12,9738.0,9685.25,9840.95,9771.85
2020-02-13,9758.0,9689.0,9795.0,9717.2
2020-02-14,9735.0,9653.05,9795.0,9690.5
2020-02-17,9699.8,9514.55,9785.25,9528.85
2020-02-18,9527.0,9416.0,9564.95,9529.5
2020-02-19,9580.0,9580.0,9780.0,9758.65
2020-02-20,9758.0,9693.75,9827.55,9709.7
2020-02-24,9680.0,9448.3,9680.0,9466.9
2020-02-25,9500.0,9351.1,9550.0,9525.0
2020-02-26,9455.0,9360.0,9494.9,9387.0
2020-02-27,9385.0,9266.8,9494.7,9408.0
2020-02-28,9270.5,8825.05,9286.55,9050.75
2020-03-02,9300.0,8808.0,9300.0,8914.5
2020-03-03,9000.0,8680.0,9116.65,8963.65
2020-03-04,9000.0,8593.25,9066.6,8799.7
2020-03-05,8870.0,8761.05,8970.0,8879.9
2020-03-06,8570.0,8400.0,8625.0,8603.2
2020-03-09,8439.0,8160.0,8450.0,8207.1
2020-03-11,8180.0,8128.05,8397.1,8254.0
2020-03-12,7900.0,7400.0,7981.95,7438.05
2020-03-13,6800.0,6524.25,7883.9,7742.0
2020-03-16,7450.0,7200.0,7566.5,7495.6
2020-03-17,7501.0,6956.8,7521.95,7017.5
2020-03-18,7150.0,6257.4,7200.0,6310.2
2020-03-19,5865.0,5442.65,6205.85,5785.5
2020-03-20,5725.2,5700.0,6391.95,6233.05
2020-03-23,5640.0,4449.0,5890.4,4621.05
2020-03-24,4900.0,4160.25,5080.0,4497.75
2020-03-25,4450.0,4400.05,4920.0,4830.3
2020-03-26,4975.0,4825.2,5554.8,5147.25
2020-03-27,5477.0,4675.0,5660.0,4890.6
2020-03-30,4700.0,4555.0,4779.6,4661.15
2020-03-31,4810.0,4430.0,4879.55,4591.2
2020-04-01,4560.0,4460.0,4667.7,4501.9
2020-04-03,4560.0,4430.0,4646.0,4510.75
2020-04-07,4620.0,4329.05,4818.8,4724.9
2020-04-08,4575.0,4537.8,4950.0,4608.5
2020-04-09,4705.0,4662.0,4848.0,4820.25
2020-04-13,4844.0,4469.35,4844.0,4491.4
2020-04-15,4551.0,4480.0,4664.25,4599.1
2020-04-16,4570.0,4508.8,4760.0,4699.6
2020-04-17,4876.0,4855.05,5136.0,4999.7
2020-04-20,5085.8,4720.45,5090.0,4882.25
2020-04-21,4749.0,4575.0,4749.0,4595.05
2020-04-22,4585.0,4485.0,4815.65,4775.75
2020-04-23,4800.0,4705.05,4858.0,4729.6
2020-04-24,4675.0,4365.0,4675.0,4389.8
2020-04-27,4430.2,4288.0,4670.0,4617.5
2020-04-28,4691.0,4581.15,4910.0,4861.8
2020-04-29,4865.1,4822.4,5070.0,4998.65
2020-04-30,5108.0,5050.85,5175.0,5104.35
2020-05-04,4922.0,4720.0,4939.9,4762.35
2020-05-05,4890.0,4610.0,4920.0,4629.2
2020-05-06,4647.0,4542.0,4789.8,4692.9
2020-05-07,4678.0,4640.0,4796.0,4673.4
2020-05-08,4768.0,4577.35,4778.4,4601.0
2020-05-11,4687.3,4540.1,4717.7,4558.0
2020-05-12,4528.0,4455.5,4715.8,4668.2
2020-05-13,4948.0,4778.1,5050.0,4816.4
2020-05-14,4770.0,4720.0,4937.85,4790.25
2020-05-15,4792.0,4701.0,4833.65,4723.25
2020-05-18,4724.6,4451.0,4739.05,4465.45
2020-05-19,4520.0,4433.25,4595.0,4535.45
2020-05-20,4548.0,4521.45,4739.85,4702.05
2020-05-21,4725.0,4515.0,4742.7,4539.2
2020-05-22,4509.1,4087.0,4578.45,4315.55
2020-05-26,4360.0,4051.8,4400.0,4097.25
2020-05-27,4100.0,3985.3,4276.95,4258.05
2020-05-28,4250.0,4211.85,4325.0,4285.95
2020-05-29,4240.0,4201.5,4428.95,4404.9
2020-06-01,4500.0,4476.75,4845.35,4763.2
2020-06-02,4793.95,4742.65,5238.0,5184.7
2020-06-03,5344.0,5217.1,5529.8,5286.05
2020-06-04,5289.0,5068.0,5335.95,5136.8
2020-06-05,5162.0,5096.25,5285.0,5236.4
2020-06-08,5360.0,5360.0,5495.0,5440.95
2020-06-09,5500.0,5250.05,5523.95,5310.8
2020-06-10,5310.8,5160.0,5344.0,5223.0
2020-06-11,5200.0,5130.0,5285.0,5158.0
2020-06-12,4900.0,4900.0,5339.0,5285.95
2020-06-15,5281.0,5076.6,5281.0,5103.6
2020-06-16,5250.0,4980.7,5270.0,5128.3
2020-06-17,5036.0,5007.9,5130.0,5036.95
2020-06-18,5036.95,5021.55,5499.0,5427.55
2020-06-19,5450.0,5443.8,5970.3,5899.8
2020-06-22,5969.0,5960.0,6350.0,6183.55
2020-06-23,6275.0,6090.8,6382.0,6319.65
2020-06-24,6455.0,5980.4,6455.0,6046.05
2020-06-25,5966.0,5920.25,6125.0,6021.15
2020-06-26,6089.0,5870.0,6133.55,5946.3
2020-06-29,5832.0,5751.3,5937.3,5890.2
2020-06-30,5990.0,5815.8,6043.65,5845.15
2020-07-01,5818.0,5802.65,6194.8,6169.35
2020-07-02,6199.95,6112.65,6267.0,6188.8
2020-07-03,6220.0,6128.0,6238.3,6149.4
2020-07-06,6217.0,6161.0,6321.0,6285.0
2020-07-07,6323.0,6275.05,6629.7,6589.6
2020-07-08,6600.0,6369.9,6680.0,6405.4
2020-07-09,6430.5,6375.0,6638.0,6569.2
2020-07-10,6515.0,6441.0,6645.0,6483.8
2020-07-13,6574.0,6400.0,6592.4,6461.45
2020-07-14,6460.0,6211.0,6460.0,6243.45
2020-07-15,6320.0,6103.0,6439.85,6168.45
2020-07-16,6200.0,6065.0,6280.0,6264.9
2020-07-17,6299.95,6280.0,6382.85,6361.6
2020-07-20,6400.0,6380.0,6635.0,6620.15
2020-07-21,6688.8,6338.45,6710.0,6384.35
2020-07-22,6599.0,6271.0,6599.0,6347.4
2020-07-23,6369.95,6313.15,6454.95,6381.35
2020-07-24,6307.95,6225.0,6355.0,6270.3
2020-07-27,6279.0,6135.8,6315.05,6173.2
2020-07-28,6175.0,6174.0,6387.35,6342.8
2020-07-29,6324.1,6292.55,6425.0,6328.6
2020-07-30,6377.25,6160.0,6421.0,6177.6
2020-07-31,6220.0,6120.0,6305.0,6205.9
2020-08-03,6223.0,6060.0,6223.0,6103.15
2020-08-04,6160.1,6071.9,6228.0,6162.0
2020-08-05,6225.0,6188.4,6345.0,6242.05
2020-08-06,6279.95,6242.0,6370.0,6295.7
2020-08-07,6285.0,6250.0,6500.0,6467.15
2020-08-10,6509.95,6367.0,6570.0,6402.8
2020-08-11,6450.0,6391.0,6496.0,6440.35
2020-08-12,6400.0,6315.1,6400.0,6357.2
2020-08-13,6400.0,6324.1,6432.0,6350.0
2020-08-14,6390.0,6190.0,6400.0,6246.7
2020-08-17,6300.0,6201.0,6319.1,6269.1
2020-08-18,6290.0,6242.0,6375.0,6343.05
2020-08-19,6375.0,6283.0,6425.0,6299.05
2020-08-20,6255.0,6231.05,6314.0,6289.45
2020-08-21,6346.1,6260.05,6366.0,6282.4
2020-08-24,6313.85,6294.2,6454.85,6400.45
2020-08-25,6439.95,6401.0,6522.0,6502.6
2020-08-26,6535.0,6520.75,6700.0,6564.4
2020-08-27,6604.95,6487.5,6604.95,6530.75
2020-08-28,6580.0,6515.0,6650.0,6545.55
2020-08-31,6604.5,6135.0,6670.0,6190.35
2020-09-01,6250.0,6146.55,6396.75,6359.6
2020-09-02,6367.0,6255.0,6415.0,6365.05
2020-09-03,6390.0,6300.0,6455.0,6355.55
