Date,Open,Low,High,Close
2020-01-15,4189.95,4170.05,4220.0,4207.25
2020-01-16,4190.0,4188.0,4229.95,4220.25
2020-01-17,4217.0,4202.0,4242.0,4231.75
2020-01-20,4229.0,4125.15,4252.95,4152.6
2020-01-21,4149.95,4117.05,4186.1,4138.6
2020-01-22,4186.0,4123.35,4186.5,4142.2
2020-01-23,4123.0,4085.0,4163.85,4125.8
2020-01-24,4120.0,4111.0,4205.65,4194.5
2020-01-27,4174.0,4154.0,4208.0,4164.35
2020-01-28,4150.15,4150.15,4249.0,4213.0
2020-01-29,4244.9,4215.1,4444.0,4419.0
2020-01-30,4464.0,4344.85,4485.0,4364.3
2020-01-31,4370.0,4333.8,4420.1,4365.9
2020-02-01,4350.0,4203.3,4447.5,4276.05
2020-02-03,4250.2,4250.2,4376.9,4359.35
2020-02-04,4387.95,4377.15,4550.0,4519.25
2020-02-05,4515.0,4477.65,4539.95,4528.2
2020-02-06,4528.2,4525.0,4677.85,4666.35
2020-02-07,4663.95,4626.1,4686.9,4654.3
2020-02-10,4660.0,4640.0,4734.0,4721.75
2020-02-11,4737.0,4736.0,4785.0,4749.35
2020-02-12,4770.0,4722.0,4782.2,4768.7
2020-02-13,4766.0,4735.0,4800.6,4795.35
2020-02-14,4800.0,4768.0,4815.0,4781.75
2020-02-17,4781.75,4750.05,4798.0,4776.65
2020-02-18,4769.4,4701.6,4771.95,4758.0
2020-02-19,4785.0,4780.1,4887.0,4878.05
2020-02-20,4867.9,4853.75,4923.4,4880.45
2020-02-24,4840.0,4751.2,4876.0,4803.95
2020-02-25,4849.9,4784.0,4849.9,4825.95
2020-02-26,4815.0,4767.25,4837.75,4810.0
2020-02-27,4815.0,4712.1,4815.0,4759.8
2020-02-28,4640.0,4311.75,4640.0,4465.85
2020-03-02,4600.0,4305.65,4617.95,4360.75
2020-03-03,4400.0,4320.05,4474.95,4454.1
2020-03-04,4466.0,4225.0,4496.8,4286.4
2020-03-05,4310.0,4273.15,4367.55,4330.7
2020-03-06,4125.0,4036.5,4238.0,4225.85
2020-03-09,4070.0,3945.15,4127.5,4026.8
2020-03-11,4014.0,3985.0,4118.9,4030.65
2020-03-12,3860.0,3628.1,3869.95,3734.35
2020-03-13,3440.0,3281.05,4043.5,3952.55
2020-03-16,3833.45,3600.0,3833.45,3672.25
2020-03-17,3702.1,3402.0,3734.7,3444.85
2020-03-18,3490.0,3018.9,3530.0,3061.35
2020-03-19,2800.0,2484.7,3053.05,2746.1
2020-03-20,2799.85,2621.65,3044.0,2951.9
2020-03-23,2656.75,2225.0,2700.0,2266.15
2020-03-24,2472.0,2104.65,2568.65,2474.2
2020-03-25,2450.0,2400.0,2700.0,2585.6
2020-03-26,2637.3,2565.05,2936.5,2793.7
2020-03-27,2955.0,2500.0,3040.0,2542.3
2020-03-30,2390.05,2226.0,2414.4,2242.1
2020-03-31,2305.1,2100.0,2340.0,2215.8
2020-04-01,2180.0,2132.65,2286.9,2219.35
2020-04-03,2268.8,2183.05,2343.7,2207.5
2020-04-07,2245.0,2081.5,2286.0,2253.35
2020-04-08,2184.0,2144.15,2374.0,2332.9
2020-04-09,2391.0,2367.1,2566.15,2551.85
2020-04-13,2520.0,2265.95,2520.0,2287.3
2020-04-15,2345.0,2168.4,2368.0,2182.45
2020-04-16,2145.0,2122.0,2250.0,2220.0
2020-04-17,2355.0,2235.2,2375.9,2308.15
2020-04-20,2325.0,2265.0,2345.5,2308.25
2020-04-21,2210.0,2085.0,2210.0,2099.75
2020-04-22,2059.95,2022.35,2170.0,2148.25
2020-04-23,2160.0,2112.0,2219.1,2172.45
2020-04-24,2113.5,1970.05,2113.5,1976.25
2020-04-27,2000.0,1915.65,2085.0,2044.05
2020-04-28,2081.0,2035.0,2244.1,2228.1
2020-04-29,2200.05,2200.05,2375.0,2296.45
2020-04-30,2365.05,2291.15,2418.95,2318.1
2020-05-04,2200.0,2028.55,2202.2,2079.65
2020-05-05,2130.0,1997.0,2135.0,2002.35
2020-05-06,2010.0,1952.35,2131.9,2106.25
2020-05-07,2098.95,2048.35,2169.85,2060.55
2020-05-08,2130.0,2015.0,2130.0,2024.15
2020-05-11,2070.0,1995.3,2092.7,2015.05
2020-05-12,1989.7,1977.1,2080.0,2069.7
2020-05-13,2220.0,2145.0,2239.95,2161.05
2020-05-14,2159.0,2096.8,2258.95,2112.0
2020-05-15,2119.95,2056.0,2136.6,2086.45
2020-05-18,2090.0,1926.0,2093.45,1938.6
2020-05-19,1960.0,1922.2,2003.55,1964.95
2020-05-20,1970.0,1935.0,2060.0,2042.8
2020-05-21,2059.0,1974.5,2077.55,1990.2
2020-05-22,1975.0,1865.25,2007.0,1895.3
2020-05-26,1918.0,1821.55,1933.75,1829.0
2020-05-27,1830.0,1783.0,1946.0,1936.45
2020-05-28,1954.0,1927.0,1983.0,1947.7
2020-05-29,1914.0,1891.0,1980.0,1953.65
2020-06-01,1997.05,1997.05,2226.4,2160.85
2020-06-02,2165.25,2160.85,2375.0,2346.2
2020-06-03,2417.0,2398.0,2496.85,2411.9
2020-06-04,2414.0,2276.8,2453.65,2313.05
2020-06-05,2344.0,2275.0,2409.0,2390.35
2020-06-08,2505.0,2475.55,2547.7,2507.25
2020-06-09,2535.0,2415.3,2535.0,2443.6
2020-06-10,2440.0,2401.0,2470.0,2435.65
2020-06-11,2410.0,2320.1,2459.0,2338.9
2020-06-12,2200.0,2199.0,2470.0,2450.15
2020-06-15,2420.0,2331.0,2429.95,2351.4
2020-06-16,2452.0,2285.0,2455.4,2365.0
2020-06-17,2347.0,2332.05,2425.0,2396.0
2020-06-18,2375.0,2373.0,2541.7,2525.95
2020-06-19,2562.0,2560.0,2714.55,2698.6
2020-06-22,2740.0,2728.0,2863.6,2840.3
2020-06-23,2899.95,2833.0,3109.25,3025.5
2020-06-24,3125.0,2911.0,3125.0,2934.45
2020-06-25,2878.05,2851.0,3046.0,3005.35
2020-06-26,3042.5,2872.05,3058.8,2903.5
2020-06-29,2834.0,2770.0,2894.45,2857.95
2020-06-30,2910.0,2816.0,2936.65,2831.0
2020-07-01,2831.0,2806.0,2968.7,2953.9
2020-07-02,2980.0,2925.0,3016.0,2964.25
2020-07-03,2980.0,2921.0,2989.45,2931.5
2020-07-06,2970.0,2955.0,3134.65,3108.8
2020-07-07,3150.0,3125.3,3419.65,3351.95
2020-07-08,3351.95,3180.1,3408.8,3208.05
2020-07-09,3235.0,3195.1,3379.9,3330.0
2020-07-10,3275.0,3272.05,3395.0,3314.15
2020-07-13,3360.0,3216.2,3378.0,3234.6
2020-07-14,3219.8,3122.35,3219.8,3190.95
2020-07-15,3230.0,3122.25,3297.7,3149.25
2020-07-16,3180.0,3102.3,3215.0,3204.8
2020-07-17,3210.0,3205.0,3323.0,3301.3
2020-07-20,3344.95,3316.5,3453.95,3441.5
2020-07-21,3500.0,3218.65,3519.5,3292.45
2020-07-22,3320.0,3193.6,3340.0,3253.0
2020-07-23,3253.0,3216.05,3320.0,3297.8
2020-07-24,3245.0,3220.0,3290.0,3251.85
2020-07-27,3263.0,3152.2,3280.0,3171.15
2020-07-28,3175.0,3161.2,3260.0,3239.6
2020-07-29,3245.0,3239.6,3329.0,3284.25
2020-07-30,3295.4,3205.05,3324.0,3218.3
2020-07-31,3236.0,3181.25,3273.0,3251.3
2020-08-03,3244.0,3169.0,3244.0,3174.5
2020-08-04,3202.0,3142.85,3260.0,3235.6
2020-08-05,3256.0,3247.95,3330.0,3262.15
2020-08-06,3292.0,3255.0,3378.8,3345.2
2020-08-07,3333.0,3310.0,3481.45,3464.3
2020-08-10,3494.0,3413.2,3556.85,3442.95
2020-08-11,3462.3,3404.7,3494.55,3457.4
2020-08-12,3425.0,3362.0,3450.0,3418.25
2020-08-13,3450.0,3401.0,3472.0,3419.65
2020-08-14,3425.0,3306.2,3448.8,3331.1
2020-08-17,3350.0,3312.4,3399.5,3384.8
2020-08-18,3399.0,3366.6,3437.95,3419.9
2020-08-19,3447.0,3401.0,3465.0,3409.95
2020-08-20,3378.0,3353.05,3414.5,3393.8
2020-08-21,3430.0,3380.0,3440.0,3389.3
2020-08-24,3403.0,3401.05,3515.0,3492.05
2020-08-25,3525.0,3510.0,3660.0,3642.9
2020-08-26,3665.0,3631.0,3707.0,3645.55
2020-08-27,3656.95,3596.4,3668.4,3632.5
2020-08-28,3650.0,3617.05,3688.0,3670.8
2020-08-31,3715.0,3465.0,3749.85,3487.8
2020-09-01,3517.0,3500.2,3674.0,3643.85
2020-09-02,3642.7,3573.45,3680.0,3668.65
2020-09-03,3668.0,3605.0,3676.75,3619.7
2020-09-04,3541.5,3520.75,3649.8,3596.8
2020-09-07,3607.0,3477.6,3629.0,3505.15
2020-09-08,3520.0,3475.0,3574.9,3500.0
2020-09-09,3477.0,3392.45,3493.45,3422.85
2020-09-10,3456.5,3418.0,3523.45,3498.7
2020-09-11,3490.0,3456.7,3557.7,3544.4
2020-09-14,3557.0,3420.0,3575.05,3440.7
2020-09-15,3475.0,3455.0,3524.2,3513.4
2020-09-16,3517.95,3481.65,3567.4,3521.5
2020-09-17,3488.8,3456.2,3517.0,3471.95
2020-09-18,3491.4,3429.0,3503.8,3474.8
2020-09-21,3462.8,3314.25,3467.0,3330.15
2020-09-22,3329.0,3217.05,3353.8,3303.0
2020-09-23,3330.0,3200.2,3344.0,3243.85
2020-09-24,3191.0,3006.9,3194.75,3028.9
2020-09-25,3080.0,3028.8,3167.15,3138.95
2020-09-28,3178.0,3162.75,3350.0,3335.15
2020-09-29,3358.0,3254.5,3372.0,3294.75
2020-09-30,3293.9,3260.0,3343.85,3278.6
2020-10-01,3325.0,3315.05,3460.0,3442.8
2020-10-05,3465.0,3370.25,3519.0,3382.9
2020-10-06,3439.9,3391.2,3480.0,3474.3
2020-10-07,3400.0,3285.3,3400.0,3331.15
2020-10-08,3354.0,3302.0,3388.0,3326.45
2020-10-09,3324.9,3305.0,3418.45,3317.9
2020-10-12,3350.0,3305.0,3379.4,3327.2
2020-10-13,3319.95,3243.65,3340.0,3272.6
2020-10-14,3268.0,3232.7,3382.35,3372.05
2020-10-15,3368.2,3201.0,3370.0,3214.75
2020-10-16,3236.35,3170.1,3269.45,3231.35
2020-10-19,3255.1,3196.6,3294.7,3267.2
2020-10-20,3255.0,3226.8,3289.5,3262.15
2020-10-21,3270.0,3101.35,3295.0,3232.85
2020-10-22,3160.0,3150.0,3345.0,3314.45
2020-10-23,3331.4,3303.0,3356.8,3316.9
2020-10-26,3330.0,3236.65,3330.0,3293.9
2020-10-27,3326.0,3278.0,3465.0,3453.25
2020-10-28,3448.95,3347.9,3489.9,3370.8
2020-10-29,3367.8,3333.75,3432.0,3380.05
2020-10-30,3364.95,3252.85,3391.0,3309.0
2020-11-02,3325.55,3274.65,3447.4,3419.8
2020-11-03,3430.0,3415.85,3520.0,3490.8
2020-11-04,3469.0,3462.0,3569.95,3561.45
2020-11-05,3610.0,3587.65,3750.0,3736.9
2020-11-06,3734.1,3704.1,3827.3,3780.75
2020-11-09,3810.0,3786.05,3878.7,3865.0
2020-11-10,3898.95,3882.8,4243.95,4208.55
2020-11-11,4211.0,4133.95,4429.55,4268.8
2020-11-12,4260.0,4200.05,4325.0,4298.3
2020-11-13,4260.0,4250.0,4410.0,4376.05
2020-11-14,4400.0,4340.0,4435.0,4374.8
2020-11-17,4398.7,4345.0,4503.95,4488.0
2020-11-18,4475.0,4464.0,4678.0,4653.75
2020-11-19,4628.9,4512.55,4785.0,4536.55
2020-11-20,4571.95,4515.25,4762.15,4715.85
2020-11-23,4769.0,4733.55,4869.3,4811.45
2020-11-24,4835.0,4770.0,4862.0,4810.65
2020-11-25,4822.0,4675.0,4825.0,4689.75
2020-11-26,4655.0,4640.0,4854.0,4821.25
2020-11-27,4859.0,4785.15,4960.0,4908.8
2020-12-01,4951.2,4825.25,4952.4,4861.1
2020-12-02,4864.0,4785.0,4884.0,4823.9
2020-12-03,4865.0,4817.0,4890.0,4867.45
2020-12-04,4870.0,4815.0,4958.0,4875.35
2020-12-07,4870.0,4815.0,4924.95,4829.45
2020-12-08,4850.0,4775.0,4865.0,4792.15
2020-12-09,4820.0,4791.2,4852.85,4844.15
2020-12-10,4850.0,4785.0,4860.0,4794.8
2020-12-11,4805.0,4805.0,4889.0,4843.85
2020-12-14,4857.5,4848.0,4914.7,4898.65
2020-12-15,4889.95,4868.85,5150.0,5122.5
2020-12-16,5199.0,5120.0,5225.0,5146.6
2020-12-17,5139.85,5101.6,5303.15,5286.7
2020-12-18,5250.0,5165.0,5284.95,5252.5
2020-12-21,5228.0,4905.2,5234.7,5041.85
2020-12-22,5070.0,4826.35,5125.0,5011.4
2020-12-23,5000.0,4970.35,5166.0,5088.9
2020-12-24,5138.95,5106.0,5218.95,5184.9
2020-12-28,5184.9,5175.0,5244.8,5204.1
2020-12-29,5225.0,5167.5,5247.0,5200.5
2020-12-30,5200.5,5174.0,5348.0,5334.15
2020-12-31,5335.0,5272.0,5372.5,5295.2
2021-01-01,5310.2,5250.0,5338.0,5280.15
2021-01-04,5324.0,5196.2,5324.0,5216.2
2021-01-05,5218.0,5062.5,5224.2,5119.0
2021-01-06,5130.0,4990.3,5168.35,5030.3
