Date,Open,Low,High,Close
2020-01-15,469.5,465.0,472.0,467.85
2020-01-16,469.2,468.0,476.95,473.9
2020-01-17,475.1,475.1,503.8,500.05
2020-01-20,499.0,494.25,512.7,508.7
2020-01-21,510.0,504.4,515.0,511.75
2020-01-22,514.75,506.7,523.75,514.5
2020-01-23,515.0,512.35,526.0,523.65
2020-01-24,520.5,514.15,527.35,524.25
2020-01-27,521.15,511.9,524.1,514.4
2020-01-28,514.35,486.1,514.4,491.25
2020-01-29,493.1,488.25,501.4,490.25
2020-01-30,492.0,480.1,492.9,489.8
2020-01-31,493.2,487.0,499.4,496.45
2020-02-01,493.4,483.3,501.25,497.2
2020-02-03,496.05,496.05,513.35,510.05
2020-02-04,514.0,503.45,522.6,518.9
2020-02-05,518.0,515.8,537.5,533.35
2020-02-06,535.05,534.1,552.8,546.8
2020-02-07,548.9,538.25,549.0,539.45
2020-02-10,540.2,536.1,543.65,538.7
2020-02-11,539.5,532.75,544.65,534.3
2020-02-12,536.0,535.0,542.35,539.6
2020-02-13,539.7,531.75,542.75,539.95
2020-02-14,544.9,534.25,567.55,565.0
2020-02-17,564.95,556.5,568.7,564.85
2020-02-18,563.35,537.3,568.85,548.25
2020-02-19,549.1,538.75,553.6,543.4
2020-02-20,543.7,538.6,552.0,545.6
2020-02-24,542.0,527.1,542.05,529.9
2020-02-25,533.0,530.95,537.95,535.25
2020-02-26,532.7,520.3,539.4,535.95
2020-02-27,534.7,527.0,535.85,531.65
2020-02-28,524.9,513.5,528.4,523.5
2020-03-02,534.0,511.85,536.0,518.35
2020-03-03,524.0,514.15,533.35,520.8
2020-03-04,525.0,507.4,532.8,516.75
2020-03-05,522.8,516.65,530.7,526.9
2020-03-06,517.75,511.45,523.65,519.15
2020-03-09,510.0,491.05,512.0,496.25
2020-03-11,487.0,487.0,508.5,493.8
2020-03-12,478.5,459.2,481.5,464.95
2020-03-13,453.8,420.0,509.05,491.85
2020-03-16,472.25,456.15,492.95,464.8
2020-03-17,465.0,444.35,481.0,454.7
2020-03-18,460.0,407.45,478.8,425.55
2020-03-19,416.45,361.75,451.65,444.75
2020-03-20,445.0,436.65,472.0,462.65
2020-03-23,416.4,399.5,445.7,407.35
2020-03-24,410.9,400.15,437.85,404.05
2020-03-25,406.55,405.6,438.25,429.1
2020-03-26,426.5,420.25,493.45,470.7
2020-03-27,470.7,437.5,474.8,448.95
2020-03-30,443.85,428.0,449.3,431.05
2020-03-31,441.0,424.0,447.0,440.9
2020-04-01,440.0,412.4,440.0,421.35
2020-04-03,432.0,415.6,432.0,423.95
2020-04-07,433.15,433.15,485.75,470.2
2020-04-08,474.35,453.0,491.1,461.65
2020-04-09,471.0,471.0,492.3,488.7
2020-04-13,491.0,491.0,520.9,512.2
2020-04-15,533.95,505.05,535.95,510.5
2020-04-16,500.0,497.35,513.0,500.45
2020-04-17,511.0,498.2,512.5,502.45
2020-04-20,507.7,486.9,507.7,490.3
2020-04-21,484.0,479.15,503.8,500.5
2020-04-22,516.0,492.05,517.05,501.4
2020-04-23,501.85,491.05,507.3,496.0
2020-04-24,494.9,484.45,499.0,494.25
2020-04-27,498.05,491.1,503.05,494.05
2020-04-28,497.45,484.1,497.45,485.65
2020-04-29,490.95,487.05,498.4,496.0
2020-04-30,503.1,495.2,515.95,514.3
2020-05-04,502.45,499.9,540.0,532.5
2020-05-05,538.0,526.05,553.7,528.05
2020-05-06,531.75,530.05,551.45,546.0
2020-05-07,545.35,524.45,545.35,528.05
2020-05-08,540.0,528.3,545.8,530.05
2020-05-11,533.05,532.1,548.5,536.2
2020-05-12,533.0,530.5,564.0,559.85
2020-05-13,568.4,549.3,569.75,555.95
2020-05-14,551.1,535.1,562.5,539.85
2020-05-15,543.5,539.4,556.9,554.1
2020-05-18,556.9,535.2,559.0,538.05
2020-05-19,558.5,557.0,603.5,598.8
2020-05-20,605.0,588.6,612.0,594.05
2020-05-21,590.5,585.4,604.5,594.55
2020-05-22,597.0,587.0,597.4,593.2
2020-05-26,572.0,557.55,576.45,559.25
2020-05-27,561.0,553.85,565.55,563.1
2020-05-28,564.65,556.0,568.0,562.75
2020-05-29,558.0,543.8,564.0,552.6
2020-06-01,559.0,550.15,561.65,559.05
2020-06-02,563.0,556.1,572.3,558.1
2020-06-03,568.0,549.25,568.3,551.65
2020-06-04,552.3,549.55,585.4,572.45
2020-06-05,584.0,567.45,590.0,584.35
2020-06-08,588.0,579.2,593.7,585.15
2020-06-09,580.0,565.7,591.65,567.8
2020-06-10,571.0,563.05,576.0,567.1
2020-06-11,570.0,546.7,573.8,551.85
2020-06-12,540.0,540.0,562.0,560.1
2020-06-15,556.0,549.0,563.75,550.7
2020-06-16,558.0,537.0,559.3,544.9
2020-06-17,546.85,541.0,565.5,563.45
2020-06-18,564.25,558.2,572.9,560.9
2020-06-19,561.9,561.0,578.2,572.5
2020-06-22,575.8,570.4,588.0,581.05
2020-06-23,581.05,574.35,584.6,578.8
2020-06-24,581.0,555.0,582.0,557.35
2020-06-25,553.9,550.0,563.7,559.0
2020-06-26,560.0,557.15,566.4,560.4
2020-06-29,558.9,551.2,568.95,567.1
2020-06-30,572.0,557.4,577.0,559.85
2020-07-01,575.0,558.3,575.0,560.15
2020-07-02,564.8,557.6,567.0,558.45
2020-07-03,561.8,560.6,583.45,581.45
2020-07-06,587.6,575.05,589.3,576.6
2020-07-07,579.0,566.05,582.6,567.15
2020-07-08,572.0,559.0,574.0,561.3
2020-07-09,564.0,560.3,570.25,568.65
2020-07-10,569.1,565.65,579.0,574.7
2020-07-13,574.5,570.0,589.0,586.8
2020-07-14,584.5,578.55,596.8,589.35
2020-07-15,588.95,559.65,588.95,563.6
2020-07-16,565.9,553.3,566.2,562.75
2020-07-17,563.1,561.75,573.9,566.75
2020-07-20,571.0,567.6,582.5,575.75
