Date,Open,Low,High,Close
2020-01-15,472.5,463.2,472.95,467.95
2020-01-16,468.0,460.15,469.5,461.8
2020-01-17,462.0,452.0,465.25,453.9
2020-01-20,454.95,451.6,466.7,457.15
2020-01-21,457.6,455.05,466.5,463.85
2020-01-22,465.2,454.1,466.45,455.45
2020-01-23,459.5,457.0,471.8,469.0
2020-01-24,469.25,464.7,473.2,466.1
2020-01-27,466.5,463.0,471.8,467.75
2020-01-28,469.1,467.6,482.25,480.95
2020-01-29,483.95,476.65,486.9,479.05
2020-01-30,480.05,465.15,484.5,469.65
2020-01-31,470.0,456.05,472.6,456.95
2020-02-01,456.5,437.3,464.4,443.5
2020-02-03,446.25,442.45,463.5,460.3
2020-02-04,465.0,462.0,481.1,478.5
2020-02-05,480.0,478.0,507.95,501.7
2020-02-06,503.3,492.2,510.0,495.05
2020-02-07,494.8,486.0,495.6,491.4
2020-02-10,492.0,483.35,495.55,485.45
2020-02-11,490.8,480.05,493.95,481.0
2020-02-12,483.0,473.9,485.7,474.75
2020-02-13,477.7,468.0,478.5,469.0
2020-02-14,471.0,469.9,484.5,476.45
2020-02-17,478.45,460.0,478.45,461.65
2020-02-18,461.75,456.0,472.5,470.75
2020-02-19,473.5,469.5,481.0,475.55
2020-02-20,474.85,470.55,480.0,471.75
2020-02-24,471.0,463.0,475.7,464.65
2020-02-25,469.8,454.9,470.55,456.75
2020-02-26,457.6,443.2,459.55,448.8
2020-02-27,446.85,438.5,449.65,444.05
2020-02-28,438.9,420.5,438.9,426.35
2020-03-02,432.0,406.5,441.85,412.35
2020-03-03,415.1,413.5,427.15,425.0
2020-03-04,422.1,405.4,428.7,418.7
2020-03-05,418.65,417.05,429.15,418.4
2020-03-06,400.2,398.0,409.85,403.1
2020-03-09,413.9,405.8,454.4,423.85
2020-03-11,423.35,401.05,423.35,404.4
2020-03-12,391.3,330.55,392.55,344.3
2020-03-13,337.8,275.45,396.7,376.05
2020-03-16,350.0,349.7,387.25,364.65
2020-03-17,365.0,354.0,385.65,357.2
2020-03-18,363.95,328.2,366.05,332.55
2020-03-19,311.0,285.4,320.0,300.25
2020-03-20,305.0,298.6,323.0,317.85
2020-03-23,285.0,262.3,298.0,269.35
2020-03-24,277.7,252.0,283.0,262.85
2020-03-25,252.6,252.6,276.95,273.75
2020-03-26,275.0,268.5,286.4,282.3
2020-03-27,290.0,274.2,304.0,278.75
2020-03-30,269.0,269.0,289.5,274.75
2020-03-31,284.0,280.0,329.7,316.9
2020-04-01,312.0,293.5,315.9,302.95
2020-04-03,301.0,287.15,326.0,317.15
2020-04-07,327.0,319.5,359.3,351.1
2020-04-08,350.0,340.25,364.2,342.3
2020-04-09,345.15,339.25,356.65,344.9
2020-04-13,345.0,336.2,354.55,350.1
2020-04-15,354.5,351.1,370.35,353.85
2020-04-16,354.5,349.55,365.0,355.4
2020-04-17,366.0,354.2,366.0,360.1
2020-04-20,362.15,361.2,372.9,368.4
2020-04-21,366.75,353.1,369.45,355.25
2020-04-22,357.2,337.15,360.0,356.7
2020-04-23,356.85,352.5,362.9,355.15
2020-04-24,352.0,347.0,356.65,350.45
2020-04-27,353.2,352.3,365.6,355.4
2020-04-28,359.8,354.2,374.85,359.1
2020-04-29,360.0,355.05,365.0,360.75
2020-04-30,364.25,358.0,373.4,370.0
2020-05-04,362.0,341.55,362.0,347.9
2020-05-05,354.0,345.25,364.2,347.05
2020-05-06,321.25,312.35,346.45,343.8
2020-05-07,342.0,328.2,342.0,329.55
2020-05-08,333.0,321.2,336.3,324.75
2020-05-11,326.0,311.3,330.35,314.8
2020-05-12,310.5,308.6,319.8,312.5
2020-05-13,324.0,312.75,324.4,316.55
2020-05-14,313.45,307.25,316.35,309.7
