Date,Open,Low,High,Close
2020-01-15,212.6,211.3,214.6,212.45
2020-01-16,212.45,207.1,212.7,210.25
2020-01-17,210.0,206.1,210.55,207.9
2020-01-20,208.0,200.5,209.8,201.15
2020-01-21,201.15,201.15,205.25,202.15
2020-01-22,199.1,190.95,199.4,191.9
2020-01-23,192.05,189.85,195.2,190.75
2020-01-24,193.0,192.15,196.3,193.95
2020-01-27,193.95,192.0,195.0,193.35
2020-01-28,193.9,188.4,194.25,189.15
2020-01-29,191.0,188.0,193.0,191.05
2020-01-30,191.4,187.5,192.35,187.95
2020-01-31,188.8,180.0,189.45,181.7
2020-02-01,182.0,171.05,182.0,173.5
2020-02-03,174.9,172.15,179.45,178.65
2020-02-04,180.75,179.75,183.0,182.5
2020-02-05,184.0,178.5,184.0,179.25
2020-02-06,180.2,178.25,181.6,179.95
2020-02-07,180.3,178.1,186.05,185.05
2020-02-10,184.9,177.65,185.0,178.85
2020-02-11,180.0,176.25,181.5,179.35
2020-02-12,181.0,178.2,183.4,180.3
2020-02-13,180.3,175.85,180.95,177.8
2020-02-14,178.0,174.2,178.9,174.75
2020-02-17,174.75,166.8,175.2,167.85
2020-02-18,168.1,165.0,173.95,171.85
2020-02-19,176.35,174.25,178.55,177.75
2020-02-20,177.75,175.2,180.25,179.35
2020-02-24,178.75,173.3,178.9,174.85
2020-02-25,176.1,174.2,178.7,175.1
2020-02-26,174.2,172.65,177.75,173.8
2020-02-27,173.75,169.6,174.55,174.1
2020-02-28,171.55,166.75,171.8,168.4
2020-03-02,172.65,168.3,175.0,169.35
2020-03-03,171.35,170.9,179.65,178.2
2020-03-04,178.25,174.1,179.8,178.1
2020-03-05,180.0,172.2,180.2,177.15
2020-03-06,166.7,166.5,173.0,168.75
2020-03-09,165.8,156.95,166.7,157.95
2020-03-11,158.1,157.05,169.9,168.0
2020-03-12,161.0,150.1,163.0,154.55
2020-03-13,146.25,123.65,161.55,154.1
2020-03-16,150.95,143.1,151.35,143.9
2020-03-17,145.2,142.3,155.4,145.9
2020-03-18,151.6,143.0,151.85,145.05
2020-03-19,128.0,122.0,133.5,123.55
2020-03-20,124.5,122.65,135.8,132.8
2020-03-23,122.5,120.05,134.85,127.85
2020-03-24,129.25,125.45,135.0,127.85
2020-03-25,126.0,123.7,129.25,124.5
2020-03-26,126.0,119.2,127.0,123.25
2020-03-27,125.9,125.0,132.95,131.7
2020-03-30,127.55,127.2,134.75,133.15
2020-03-31,135.1,134.25,142.35,140.05
2020-04-01,138.75,137.05,141.25,139.45
2020-04-03,138.6,131.8,139.9,137.75
2020-04-07,140.3,137.15,142.4,140.15
2020-04-08,140.0,137.0,143.4,137.35
2020-04-09,139.2,138.0,141.45,140.8
2020-04-13,140.8,138.35,146.7,145.9
2020-04-15,147.4,146.0,151.6,146.85
2020-04-16,144.6,144.4,150.5,147.4
2020-04-17,151.5,148.3,152.45,148.75
2020-04-20,149.9,143.0,149.9,144.2
2020-04-21,141.0,137.8,141.6,139.0
2020-04-22,138.2,135.0,141.3,140.7
2020-04-23,140.8,140.1,144.75,140.9
2020-04-24,140.6,135.8,143.8,137.0
2020-04-27,139.0,137.5,139.7,138.1
2020-04-28,138.6,134.45,139.55,135.4
2020-04-29,135.5,135.35,140.85,139.85
2020-04-30,141.5,141.35,149.45,148.5
2020-05-04,144.7,140.35,144.7,142.3
2020-05-05,143.9,137.35,147.25,138.0
2020-05-06,139.35,133.15,139.35,133.75
2020-05-07,130.0,130.0,133.0,130.8
2020-05-08,132.85,128.55,133.2,129.0
2020-05-11,130.15,128.05,131.05,128.45
2020-05-12,128.2,125.3,129.05,126.85
2020-05-13,132.5,128.5,132.5,130.6
2020-05-14,129.85,128.05,131.45,128.65
2020-05-15,129.7,127.75,130.85,129.6
2020-05-18,127.0,121.05,127.0,121.7
2020-05-19,123.1,121.8,124.15,123.6
2020-05-20,123.0,121.85,125.15,123.25
2020-05-21,123.9,122.8,126.25,124.5
2020-05-22,124.0,121.9,126.05,125.2
2020-05-26,125.85,125.0,128.0,127.25
2020-05-27,127.25,126.0,131.35,130.8
2020-05-28,130.85,129.3,134.3,133.9
2020-05-29,133.5,132.25,142.45,141.3
