Date,Open,Low,High,Close
2020-01-15,1878.6,1852.05,1878.6,1866.25
2020-01-16,1870.0,1869.1,1902.1,1899.0
2020-01-17,1899.45,1892.05,1913.85,1903.35
2020-01-20,1905.0,1887.1,1926.4,1892.0
2020-01-21,1892.0,1868.0,1900.9,1870.8
2020-01-22,1872.1,1843.95,1890.65,1855.15
2020-01-23,1855.0,1853.0,1902.4,1897.45
2020-01-24,1896.5,1885.1,1914.7,1910.5
2020-01-27,1910.0,1893.7,1935.0,1918.35
2020-01-28,1918.35,1903.15,1951.8,1946.75
2020-01-29,1956.0,1936.05,1994.4,1961.3
2020-01-30,1961.5,1935.75,1975.0,1959.15
2020-01-31,1969.0,1948.0,1984.0,1952.3
2020-02-01,1955.25,1955.25,2012.8,1986.9
2020-02-03,1994.9,1962.4,2022.0,1972.75
2020-02-04,1979.0,1954.2,1996.95,1961.3
2020-02-05,1962.05,1946.2,1990.0,1962.65
2020-02-06,1950.0,1930.0,2079.4,2023.0
2020-02-07,2023.0,2011.0,2095.0,2085.95
2020-02-10,2085.0,2076.15,2112.45,2088.95
2020-02-11,2085.0,2085.0,2160.0,2146.9
2020-02-12,2159.0,2112.0,2179.95,2121.8
2020-02-13,2135.05,2121.8,2173.8,2155.8
2020-02-14,2169.25,2135.7,2190.0,2146.45
2020-02-17,2158.0,2133.6,2170.0,2154.85
2020-02-18,2154.85,2142.5,2180.2,2175.25
2020-02-19,2170.0,2155.75,2195.0,2185.85
2020-02-20,2199.5,2156.85,2236.4,2169.35
2020-02-24,2171.9,2147.3,2184.8,2160.45
2020-02-25,2152.0,2093.0,2165.0,2116.0
2020-02-26,2116.0,2091.1,2162.95,2142.1
2020-02-27,2148.0,2117.05,2172.0,2156.55
2020-02-28,2140.0,2087.25,2149.7,2106.95
2020-03-02,2130.0,2086.0,2164.9,2109.25
2020-03-03,2124.9,2063.55,2210.0,2183.1
2020-03-04,2183.0,2157.75,2210.9,2174.8
2020-03-05,2175.0,2175.0,2239.0,2223.75
2020-03-06,2180.0,2171.45,2249.0,2240.05
2020-03-09,2240.0,2137.05,2258.95,2181.75
2020-03-11,2180.8,2125.05,2194.75,2149.2
2020-03-12,2129.0,1826.85,2129.0,1912.85
2020-03-13,1800.0,1626.0,1993.4,1962.7
2020-03-16,1950.0,1871.55,1986.0,1891.9
2020-03-17,1892.0,1872.25,1963.1,1895.3
2020-03-18,1928.0,1787.65,1933.95,1805.25
2020-03-19,1720.0,1631.05,1946.45,1870.95
2020-03-20,1875.55,1864.4,2017.15,1994.9
2020-03-23,1849.95,1725.55,1925.0,1851.75
2020-03-24,1925.0,1860.5,1975.0,1919.95
2020-03-25,1900.0,1881.1,1974.0,1928.05
2020-03-26,1937.35,1874.0,1980.0,1883.3
2020-03-27,1930.0,1824.75,1930.0,1862.55
2020-03-30,1851.0,1832.7,1929.9,1893.9
2020-03-31,1943.0,1895.0,2035.0,1989.05
2020-04-01,2000.0,1844.25,2000.4,1877.0
2020-04-03,1910.0,1822.95,1940.0,1901.05
2020-04-07,1960.0,1921.25,2150.0,2067.85
2020-04-08,2065.0,2040.1,2214.6,2168.95
2020-04-09,2225.0,2200.25,2467.6,2310.9
2020-04-13,2385.0,2285.0,2421.0,2341.2
