Date,Open,Low,High,Close
2020-01-15,20440.0,20300.0,20650.0,20624.8
2020-01-16,20699.0,20650.0,21600.0,21536.25
2020-01-17,21509.05,21103.55,21770.0,21292.2
2020-01-20,21380.0,21005.0,21549.9,21365.1
2020-01-21,21358.0,20970.3,21475.0,21056.55
2020-01-22,21160.0,20944.0,21280.0,21100.0
2020-01-23,21070.0,20780.5,21196.0,20915.75
2020-01-24,20980.0,20800.0,21175.0,20930.8
2020-01-27,20850.0,20775.0,21160.8,21095.2
2020-01-28,21227.0,20875.0,21227.0,21086.65
2020-01-29,21236.0,20100.0,21236.0,20192.25
2020-01-30,20200.0,20200.0,20580.0,20340.3
2020-01-31,20450.0,20211.0,20641.7,20289.3
2020-02-01,20290.0,19910.25,20598.0,20059.25
2020-02-03,19547.3,19511.65,20375.6,19883.45
2020-02-04,20000.0,19450.0,20139.95,19512.65
2020-02-05,19712.0,19356.1,19800.0,19487.05
2020-02-06,19625.0,19261.0,20641.6,20391.2
2020-02-07,20500.0,19666.7,20516.95,19736.3
2020-02-10,19855.0,18790.0,19855.0,19057.25
2020-02-11,19250.0,18945.0,19368.95,19009.25
2020-02-12,19000.0,18925.8,19360.0,19277.85
2020-02-13,19271.0,19170.8,19490.0,19355.3
2020-02-14,19270.0,18505.0,19350.0,18703.55
2020-02-17,18900.0,18450.1,18948.75,18535.9
2020-02-18,18500.0,18339.6,18791.95,18760.35
2020-02-19,18905.0,18710.6,19038.95,18875.2
2020-02-20,18869.9,18544.5,19030.0,18848.65
2020-02-24,18700.0,17800.1,18700.0,17949.95
2020-02-25,18135.0,17321.0,18230.0,17532.3
2020-02-26,17430.0,17035.4,17600.0,17156.95
2020-02-27,17167.8,16906.1,17248.0,17053.4
2020-02-28,16697.0,16317.05,16848.0,16602.35
2020-03-02,16666.0,16643.0,17782.9,17013.4
2020-03-03,17500.0,17400.0,18041.0,17888.45
2020-03-04,17954.0,16870.0,18280.0,17254.2
2020-03-05,17450.0,17161.8,17888.0,17775.35
2020-03-06,17350.0,16822.0,17871.5,17743.55
2020-03-09,17099.0,17045.15,17999.0,17885.8
2020-03-11,17885.8,17517.0,18266.95,17753.6
2020-03-12,16999.8,16700.0,17281.5,16877.75
2020-03-13,15900.0,15202.0,18528.65,17672.15
2020-03-16,16874.9,16360.0,17356.75,16493.7
2020-03-17,16710.0,16600.05,17460.0,17061.1
