Date,Open,Low,High,Close
2020-01-15,758.0,747.5,769.0,766.4
2020-01-16,767.35,753.1,771.0,756.05
2020-01-17,715.0,711.0,772.0,768.25
2020-01-20,767.6,762.45,777.5,772.8
2020-01-21,779.0,763.45,781.1,771.65
2020-01-22,770.85,767.1,799.0,792.9
2020-01-23,785.0,783.0,811.95,808.9
2020-01-24,808.0,795.95,824.4,822.0
2020-01-27,815.0,810.0,836.9,813.1
2020-01-28,817.5,797.25,823.85,808.9
2020-01-29,814.0,800.0,822.85,802.3
2020-01-30,809.0,787.25,809.0,791.25
2020-01-31,793.1,775.55,797.95,778.9
2020-02-01,775.0,754.55,789.75,759.4
2020-02-03,759.0,750.25,783.0,780.4
2020-02-04,780.05,780.05,796.35,793.7
2020-02-05,793.7,788.05,802.1,799.9
2020-02-06,802.4,793.3,806.65,801.0
2020-02-07,801.0,785.55,803.6,787.65
2020-02-10,787.0,752.0,789.7,757.55
2020-02-11,760.0,754.1,769.0,759.3
2020-02-12,762.1,754.5,774.45,755.35
2020-02-13,755.35,745.3,764.95,752.25
2020-02-14,754.5,737.1,770.85,743.05
2020-02-17,743.0,733.5,750.0,737.4
2020-02-18,737.35,715.55,741.2,723.9
2020-02-19,730.0,726.3,759.75,757.15
2020-02-20,750.0,745.9,767.8,751.3
2020-02-24,748.0,722.2,748.0,724.9
2020-02-25,727.0,715.1,732.9,720.4
2020-02-26,718.0,700.0,722.2,702.8
2020-02-27,702.8,686.0,717.5,712.85
2020-02-28,687.0,684.0,707.5,687.2
2020-03-02,701.0,657.3,701.5,668.45
2020-03-03,671.0,671.0,704.6,700.05
2020-03-04,702.5,682.0,708.8,689.5
2020-03-05,692.8,678.0,695.5,680.3
2020-03-06,650.0,645.0,670.9,665.05
2020-03-09,648.0,625.3,654.0,634.6
2020-03-11,635.0,616.0,640.5,625.25
2020-03-12,609.75,555.0,610.0,559.85
2020-03-13,537.6,505.0,631.65,604.95
2020-03-16,580.0,559.0,599.5,576.9
2020-03-17,571.3,553.25,585.65,555.65
2020-03-18,568.0,492.4,568.0,527.05
2020-03-19,481.0,481.0,518.8,491.05
2020-03-20,495.0,488.05,564.7,529.4
2020-03-23,481.3,397.05,500.0,433.25
2020-03-24,436.0,393.0,457.9,400.1
2020-03-25,390.0,385.05,458.7,451.35
2020-03-26,439.95,423.95,484.0,471.4
2020-03-27,472.05,446.85,493.8,460.9
2020-03-30,448.0,438.2,476.5,450.5
2020-03-31,463.4,453.6,479.75,476.1
2020-04-01,477.9,452.6,484.3,476.15
2020-04-03,473.5,451.2,477.7,454.7
2020-04-07,478.0,463.0,522.9,518.55
2020-04-08,512.5,500.4,532.5,512.6
2020-04-09,529.0,513.0,547.45,530.55
2020-04-13,530.55,510.0,561.0,544.5
2020-04-15,558.9,530.15,572.85,535.4
2020-04-16,530.0,523.05,557.0,543.75
2020-04-17,560.0,533.35,563.0,545.55
2020-04-20,548.25,519.4,552.9,521.65
2020-04-21,514.85,503.5,517.3,509.55
2020-04-22,511.0,502.45,513.3,510.4
2020-04-23,515.0,498.7,517.85,500.45
2020-04-24,492.0,484.75,501.9,499.05
2020-04-27,504.9,492.3,510.7,498.25
2020-04-28,506.95,493.8,511.5,497.45
2020-04-29,500.0,495.55,504.9,501.95
2020-04-30,505.0,501.3,515.0,504.9
2020-05-04,493.0,476.35,494.95,479.05
2020-05-05,485.0,469.25,487.8,471.45
2020-05-06,475.0,469.2,486.0,482.4
2020-05-07,482.4,476.4,491.95,485.2
2020-05-08,489.8,482.75,492.8,486.3
2020-05-11,489.2,484.75,512.5,504.45
2020-05-12,502.7,492.1,521.0,517.95
