Date,Open,Low,High,Close
2020-01-15,597.0,591.7,598.3,595.75
2020-01-16,597.0,586.75,598.3,593.25
2020-01-17,585.0,585.0,602.0,598.8
2020-01-20,618.0,584.1,618.0,589.25
2020-01-21,589.3,582.35,593.25,584.05
2020-01-22,585.2,581.5,595.0,590.65
2020-01-23,590.1,587.0,599.95,598.95
2020-01-24,599.0,595.5,609.0,607.7
2020-01-27,607.7,601.75,608.0,604.35
2020-01-28,607.3,592.6,607.35,601.45
2020-01-29,605.0,602.2,611.5,608.85
2020-01-30,612.0,603.65,613.85,607.85
2020-01-31,607.85,589.6,608.9,591.4
2020-02-01,591.4,580.75,597.7,590.9
2020-02-03,591.4,577.5,593.65,579.1
2020-02-04,583.0,582.5,589.25,586.5
2020-02-05,589.4,586.0,598.5,595.6
2020-02-06,598.95,598.0,613.0,599.7
2020-02-07,601.65,599.15,609.2,607.7
2020-02-10,608.9,601.65,611.55,604.9
2020-02-11,606.0,605.7,613.75,610.65
2020-02-12,613.0,610.3,620.5,614.1
2020-02-13,612.0,604.05,613.95,612.45
2020-02-14,612.45,612.25,623.25,621.65
2020-02-17,623.0,612.35,623.5,613.45
2020-02-18,613.45,605.15,615.8,607.05
2020-02-19,614.45,604.0,618.25,605.75
2020-02-20,611.0,605.15,612.95,608.05
2020-02-24,608.0,591.5,609.0,595.15
2020-02-25,595.5,575.0,595.7,582.45
2020-02-26,576.9,575.5,589.05,583.6
2020-02-27,582.1,568.0,582.4,573.05
2020-02-28,560.0,531.2,564.0,534.35
2020-03-02,541.05,537.85,565.85,549.7
2020-03-03,556.0,555.0,568.75,565.05
2020-03-04,569.0,561.0,575.4,563.1
2020-03-05,568.0,563.15,581.9,576.4
2020-03-06,570.0,559.55,573.95,566.2
2020-03-09,555.0,536.45,558.0,540.45
2020-03-11,526.75,514.0,542.65,536.8
2020-03-12,521.0,486.35,527.8,493.35
2020-03-13,460.0,395.95,517.25,492.9
2020-03-16,469.0,446.85,479.8,450.7
2020-03-17,450.0,443.35,478.6,450.65
2020-03-18,455.0,429.05,464.8,434.25
2020-03-19,418.9,375.25,434.6,413.45
2020-03-20,413.5,411.85,461.95,444.9
2020-03-23,415.0,400.45,444.0,417.15
2020-03-24,413.0,411.85,458.85,442.05
2020-03-25,432.0,417.75,468.0,457.6
2020-03-26,461.1,441.1,466.75,447.7
2020-03-27,450.25,420.5,457.45,430.65
2020-03-30,410.0,410.0,438.65,419.0
2020-03-31,433.2,425.3,449.4,436.4
2020-04-01,433.0,408.2,433.2,413.55
2020-04-03,418.9,399.3,428.6,405.8
2020-04-07,425.0,425.0,457.95,451.15
2020-04-08,451.0,449.0,476.8,463.1
2020-04-09,480.7,462.0,481.0,469.05
2020-04-13,470.0,454.0,471.0,458.25
2020-04-15,470.0,462.7,482.0,478.75
2020-04-16,473.0,456.7,476.0,459.75
2020-04-17,470.0,453.65,475.0,455.25
2020-04-20,458.0,453.5,473.6,470.0
2020-04-21,458.0,447.85,464.95,455.7
2020-04-22,453.0,450.0,469.45,462.4
2020-04-23,465.0,462.4,480.75,477.7
2020-04-24,480.0,465.15,496.9,468.1
2020-04-27,473.1,467.25,485.7,483.1
2020-04-28,489.0,469.45,489.0,471.1
2020-04-29,474.8,470.2,501.0,491.75
2020-04-30,506.5,501.0,565.5,543.55
2020-05-04,527.5,508.2,527.5,514.25
2020-05-05,526.0,515.65,529.9,520.4
2020-05-06,512.2,506.2,526.7,519.1
2020-05-07,530.0,507.55,541.8,511.75
2020-05-08,520.85,502.4,522.5,518.4
2020-05-11,526.0,521.2,534.9,527.55
2020-05-12,525.45,520.0,540.0,527.4
2020-05-13,539.85,521.55,539.85,528.75
2020-05-14,519.4,514.35,527.55,517.45
2020-05-15,517.95,505.25,517.95,511.25
2020-05-18,514.7,507.5,518.65,510.75
2020-05-19,512.0,506.2,520.5,518.25
2020-05-20,515.05,515.0,528.65,526.75
