Date,Open,Low,High,Close
2020-01-15,1286.4,1274.1,1287.95,1284.25
2020-01-16,1282.05,1279.35,1291.0,1287.65
2020-01-17,1281.75,1271.9,1284.9,1278.15
2020-01-20,1304.85,1252.5,1304.85,1254.9
2020-01-21,1250.0,1238.4,1250.0,1244.35
2020-01-22,1248.05,1234.4,1255.0,1240.85
2020-01-23,1240.0,1231.0,1246.85,1244.85
2020-01-24,1246.0,1239.1,1254.0,1244.55
2020-01-27,1235.0,1211.75,1235.0,1213.2
2020-01-28,1218.8,1213.25,1227.8,1223.2
2020-01-29,1225.3,1222.25,1242.0,1235.85
2020-01-30,1238.95,1217.2,1238.95,1226.05
2020-01-31,1231.45,1220.25,1237.8,1226.3
2020-02-01,1220.0,1191.35,1227.7,1198.7
2020-02-03,1197.0,1177.7,1197.95,1192.8
2020-02-04,1198.0,1198.0,1234.0,1229.8
2020-02-05,1234.9,1227.3,1248.0,1244.65
2020-02-06,1244.65,1237.2,1248.7,1239.8
2020-02-07,1246.0,1231.6,1247.0,1242.2
2020-02-10,1242.95,1226.05,1242.95,1240.3
2020-02-11,1243.3,1238.05,1255.0,1240.6
2020-02-12,1245.2,1244.05,1252.9,1249.0
2020-02-13,1259.9,1233.6,1259.9,1241.4
2020-02-14,1243.2,1215.0,1248.4,1219.35
2020-02-17,1225.0,1214.45,1233.0,1217.15
2020-02-18,1216.9,1203.5,1218.5,1213.25
2020-02-19,1222.5,1213.9,1230.0,1227.2
2020-02-20,1230.0,1214.1,1230.0,1217.1
2020-02-24,1208.95,1200.0,1214.75,1209.95
2020-02-25,1204.0,1198.0,1209.0,1200.3
2020-02-26,1197.5,1185.65,1204.7,1199.25
2020-02-27,1195.0,1181.0,1202.5,1199.45
2020-02-28,1175.5,1170.1,1185.0,1177.65
2020-03-02,1200.2,1166.15,1201.15,1179.6
2020-03-03,1175.0,1168.0,1185.35,1181.8
2020-03-04,1178.35,1133.1,1180.0,1148.85
2020-03-05,1153.0,1142.75,1165.0,1151.35
2020-03-06,1125.0,1101.0,1140.9,1134.9
2020-03-09,1110.0,1065.0,1118.4,1107.3
2020-03-11,1105.0,1092.0,1120.0,1113.8
2020-03-12,1075.0,1003.45,1080.0,1021.3
2020-03-13,980.05,919.2,1081.45,1069.8
2020-03-16,1035.0,995.0,1037.0,999.5
2020-03-17,1008.0,954.7,1010.0,975.1
2020-03-18,985.0,865.0,993.0,876.9
2020-03-19,847.0,795.0,919.95,895.55
2020-03-20,875.0,824.55,914.6,882.85
2020-03-23,794.6,765.0,838.75,771.55
2020-03-24,795.25,738.75,810.0,767.7
2020-03-25,770.45,755.25,867.45,856.75
2020-03-26,870.1,841.0,937.7,901.1
2020-03-27,944.95,872.1,988.65,904.45
2020-03-30,880.0,828.0,887.0,831.65
2020-03-31,853.8,838.0,873.6,861.9
2020-04-01,863.85,820.0,863.85,829.65
2020-04-03,843.0,810.0,844.0,813.85
2020-04-07,874.0,845.35,907.3,896.1
2020-04-08,879.95,866.1,945.0,888.9
2020-04-09,913.0,890.0,930.9,925.05
2020-04-13,934.0,886.2,946.7,895.35
2020-04-15,930.5,843.0,930.5,863.3
