Date,Open,Low,High,Close
2020-01-15,614.0,612.75,620.5,616.55
2020-01-16,624.0,605.8,625.0,607.5
2020-01-17,607.5,601.7,611.55,607.65
2020-01-20,611.0,597.1,612.45,598.25
2020-01-21,595.7,594.15,609.7,602.0
2020-01-22,604.9,602.65,616.5,612.75
2020-01-23,614.3,611.5,621.9,616.0
2020-01-24,607.9,602.8,611.25,607.25
2020-01-27,604.8,598.1,605.7,599.7
2020-01-28,601.0,599.0,611.9,603.75
2020-01-29,605.95,602.25,611.0,605.05
2020-01-30,605.9,597.15,608.55,600.45
2020-01-31,603.1,597.3,604.45,599.2
2020-02-01,598.2,537.9,609.0,562.4
2020-02-03,553.0,527.5,573.0,565.3
2020-02-04,568.0,555.55,578.45,573.1
2020-02-05,574.4,565.0,586.35,583.45
2020-02-06,587.0,587.0,598.7,593.65
2020-02-07,593.5,589.0,600.0,595.7
2020-02-10,596.0,584.5,598.9,588.05
2020-02-11,589.75,575.8,594.5,583.5
2020-02-12,585.6,563.6,594.7,578.35
2020-02-13,576.5,568.5,582.25,577.2
2020-02-14,578.9,572.0,581.5,573.95
2020-02-17,574.9,564.05,575.0,565.9
2020-02-18,564.8,556.0,565.35,562.6
2020-02-19,565.9,563.0,581.85,579.1
2020-02-20,582.1,572.1,583.7,573.5
2020-02-24,572.25,556.0,578.4,560.8
2020-02-25,570.0,566.0,582.5,569.5
2020-02-26,565.3,555.0,571.45,557.05
2020-02-27,559.0,544.25,569.3,566.7
2020-02-28,554.0,541.25,565.0,544.1
2020-03-02,555.0,550.95,564.25,554.5
2020-03-03,560.0,559.65,573.0,563.5
2020-03-04,567.4,560.15,570.0,568.6
2020-03-05,572.0,556.4,572.8,564.95
2020-03-06,541.0,535.0,556.5,548.15
2020-03-09,538.0,506.2,540.3,517.65
2020-03-11,515.0,508.05,526.0,513.55
2020-03-12,495.0,453.3,498.0,472.9
2020-03-13,435.0,429.1,525.0,507.15
2020-03-16,494.0,471.0,500.4,474.2
2020-03-17,475.0,460.0,486.0,464.95
2020-03-18,465.0,410.85,470.0,419.45
2020-03-19,385.35,385.35,432.55,416.95
2020-03-20,425.1,411.3,442.0,418.1
2020-03-23,377.5,340.0,394.4,342.3
2020-03-24,362.0,345.85,409.0,391.3
2020-03-25,390.0,385.6,440.0,434.3
2020-03-26,448.0,434.0,487.0,477.45
2020-03-27,450.2,440.0,483.8,441.0
2020-03-30,432.0,407.0,443.9,412.5
2020-03-31,429.0,414.4,448.2,441.35
2020-04-01,438.1,424.05,447.4,429.9
2020-04-03,428.5,416.2,442.0,422.3
2020-04-07,436.9,433.25,476.0,470.5
2020-04-08,464.95,457.4,500.55,476.6
2020-04-09,488.9,464.15,494.4,472.25
2020-04-13,473.0,453.3,482.75,477.8
2020-04-15,481.7,468.5,488.7,471.7
2020-04-16,470.0,462.0,494.4,489.7
2020-04-17,505.0,491.5,518.95,495.5
2020-04-20,503.7,496.0,515.3,508.3
2020-04-21,496.0,488.9,502.85,496.35
2020-04-22,499.5,490.35,509.0,503.65
2020-04-23,505.0,486.3,511.9,488.5
2020-04-24,478.25,451.15,478.75,453.35
2020-04-27,459.0,459.0,491.4,484.75
2020-04-28,495.0,471.15,496.6,486.15
2020-04-29,488.0,484.75,505.2,492.85
2020-04-30,500.0,493.15,510.7,501.05
2020-05-04,489.0,472.1,489.0,478.95
2020-05-05,483.0,475.15,489.9,477.55
2020-05-06,478.0,469.45,499.0,491.0
2020-05-07,489.7,488.9,502.0,494.55
2020-05-08,499.7,499.0,527.35,520.05
2020-05-11,529.75,522.5,539.0,525.2
2020-05-12,521.45,517.3,536.6,526.8
2020-05-13,533.0,515.0,538.0,516.75
2020-05-14,515.0,491.4,523.0,495.0
2020-05-15,499.1,485.0,501.0,487.3
2020-05-18,487.3,464.0,490.9,469.35
2020-05-19,475.0,465.25,485.95,471.75
2020-05-20,474.15,472.5,482.75,479.25
2020-05-21,480.0,480.0,496.55,493.8
2020-05-22,493.0,490.3,504.7,494.75
2020-05-26,502.0,497.0,514.9,507.45
2020-05-27,506.8,495.25,510.0,503.3
2020-05-28,506.0,501.45,523.3,516.8
2020-05-29,516.4,511.75,540.8,523.2
2020-06-01,521.0,513.35,528.65,516.1
2020-06-02,516.0,497.0,522.25,499.7
2020-06-03,502.1,494.45,519.75,501.35
2020-06-04,521.15,512.3,524.95,517.6
2020-06-05,517.6,511.7,521.25,516.25
2020-06-08,520.0,516.25,529.8,522.05
2020-06-09,525.0,501.5,531.0,506.85
2020-06-10,507.45,499.0,507.95,501.7
2020-06-11,500.0,497.0,509.5,501.65
2020-06-12,488.0,486.25,504.15,502.3
2020-06-15,507.9,495.3,507.9,499.9
2020-06-16,505.0,497.0,510.7,505.7
2020-06-17,506.0,498.55,508.7,500.4
2020-06-18,500.0,498.65,517.9,515.95
2020-06-19,517.95,514.35,524.0,521.1
2020-06-22,524.95,514.55,525.8,520.4
2020-06-23,524.25,520.4,544.6,537.05
2020-06-24,542.7,523.7,545.6,527.25
2020-06-25,520.0,519.0,539.75,538.4
2020-06-26,541.4,535.0,547.45,541.9
2020-06-29,543.5,532.65,544.6,537.2
2020-06-30,540.5,537.0,554.45,549.0
2020-07-01,555.55,546.15,560.0,549.65
2020-07-02,549.5,545.7,552.5,547.95
2020-07-03,564.95,558.0,589.6,572.15
2020-07-06,581.0,576.4,591.85,584.7
2020-07-07,589.7,572.1,591.0,582.6
2020-07-08,581.5,578.0,596.9,581.95
2020-07-09,584.1,582.95,589.9,585.2
2020-07-10,586.0,585.25,600.0,592.5
2020-07-13,593.95,584.0,603.75,600.3
2020-07-14,592.5,592.5,609.0,598.45
2020-07-15,600.0,593.0,604.7,594.8
2020-07-16,594.0,589.25,603.75,599.85
2020-07-17,600.8,600.05,616.0,614.5
2020-07-20,619.7,612.3,628.2,616.45
2020-07-21,622.0,601.35,632.5,627.45
2020-07-22,627.0,605.9,627.0,609.65
