Date,Open,Low,High,Close
2020-01-15,211.1,210.0,215.0,213.65
2020-01-16,214.0,209.0,214.75,209.65
2020-01-17,209.5,208.15,212.0,210.05
2020-01-20,210.1,206.75,210.8,207.3
2020-01-21,206.0,204.65,208.5,205.15
2020-01-22,205.6,203.0,207.8,203.6
2020-01-23,203.6,202.75,205.35,204.6
2020-01-24,204.5,202.25,207.7,205.4
2020-01-27,203.55,197.4,203.55,198.25
2020-01-28,199.4,194.2,199.4,196.0
2020-01-29,197.65,197.1,200.4,197.75
2020-01-30,197.3,192.7,197.75,193.45
2020-01-31,194.8,188.25,195.15,189.35
2020-02-01,187.65,182.8,189.85,184.4
2020-02-03,183.9,180.3,185.6,181.8
2020-02-04,183.0,183.0,190.35,189.25
2020-02-05,190.1,188.3,197.55,196.3
2020-02-06,196.4,192.65,197.35,194.0
2020-02-07,194.0,192.85,198.4,197.4
2020-02-10,195.9,189.6,196.95,190.85
2020-02-11,192.4,192.0,196.95,193.65
2020-02-12,194.25,191.2,196.4,193.65
2020-02-13,194.7,192.4,197.0,195.25
2020-02-14,195.5,193.45,197.0,194.0
2020-02-17,194.0,189.75,194.7,190.25
2020-02-18,189.15,181.75,189.45,184.35
2020-02-19,186.0,184.4,188.6,188.1
2020-02-20,187.8,185.4,191.0,189.95
2020-02-24,186.9,177.9,186.9,179.05
2020-02-25,181.0,174.05,181.45,174.45
2020-02-26,172.95,167.75,173.2,169.9
2020-02-27,169.95,166.15,170.3,168.35
2020-02-28,162.0,154.1,162.2,155.9
2020-03-02,160.55,146.85,161.45,149.75
2020-03-03,152.1,150.8,160.45,159.3
2020-03-04,160.0,156.9,161.7,160.6
2020-03-05,162.7,154.85,167.9,155.5
2020-03-06,148.95,140.0,151.45,150.1
2020-03-09,143.9,140.3,145.8,143.45
2020-03-11,142.0,137.1,142.35,137.8
2020-03-12,130.0,118.15,130.0,120.2
2020-03-13,113.9,103.1,130.0,127.45
2020-03-16,120.8,114.45,129.05,115.65
2020-03-17,117.0,113.85,120.85,115.4
2020-03-18,119.0,108.15,119.0,109.2
2020-03-19,103.0,97.55,107.9,99.75
2020-03-20,101.2,98.7,107.7,105.5
2020-03-23,94.95,84.9,99.95,87.9
2020-03-24,89.05,85.0,94.8,88.75
2020-03-25,88.95,88.05,97.2,94.55
2020-03-26,97.5,92.25,97.6,94.55
2020-03-27,97.5,90.3,99.3,91.55
2020-03-30,88.1,86.55,91.45,88.8
2020-03-31,91.95,91.0,97.25,95.7
2020-04-01,94.95,91.0,95.4,91.65
2020-04-03,92.1,88.4,93.45,88.8
2020-04-07,92.15,90.0,106.55,103.95
2020-04-08,99.5,98.9,111.8,100.85
2020-04-09,105.0,101.85,109.0,107.55
2020-04-13,109.0,105.1,114.35,113.8
2020-04-15,120.0,113.8,124.0,115.1
2020-04-16,118.9,114.45,121.9,120.55
2020-04-17,124.0,119.1,125.7,124.15
2020-04-20,125.0,115.75,125.15,116.45
2020-04-21,113.65,105.8,113.7,107.1
2020-04-22,106.5,102.75,108.75,108.3
2020-04-23,109.0,108.35,113.3,111.25
2020-04-24,109.95,102.85,109.95,103.65
2020-04-27,106.4,105.3,109.7,108.2
2020-04-28,109.2,106.7,110.65,108.75
2020-04-29,109.0,108.3,117.65,116.3
2020-04-30,120.0,119.5,132.2,130.2
2020-05-04,121.4,114.6,123.0,115.9
2020-05-05,120.0,115.0,120.75,115.9
2020-05-06,116.0,115.5,120.7,118.6
2020-05-07,117.0,116.7,122.0,117.65
2020-05-08,122.9,115.85,123.0,117.1
2020-05-11,118.95,117.55,121.4,119.75
2020-05-12,118.9,116.4,122.25,121.1
2020-05-13,125.5,121.6,126.95,123.55
2020-05-14,119.0,117.0,120.9,117.2
2020-05-15,118.4,117.4,120.9,119.25
2020-05-18,120.55,114.3,121.0,115.35
2020-05-19,117.75,116.55,120.4,117.3
