Date,Open,Low,High,Close
2020-01-15,535.1,530.65,536.95,535.6
2020-01-16,533.9,533.2,540.0,537.15
2020-01-17,534.5,530.6,538.0,532.05
2020-01-20,533.0,531.0,544.0,534.85
2020-01-21,532.95,530.2,540.25,531.05
2020-01-22,531.5,520.75,534.95,522.85
2020-01-23,521.4,517.05,530.25,527.7
2020-01-24,529.25,527.0,537.4,533.85
2020-01-27,538.5,531.5,545.0,537.25
2020-01-28,538.1,524.45,540.6,528.2
2020-01-29,531.55,525.3,534.8,526.6
2020-01-30,527.65,524.15,533.95,532.2
2020-01-31,530.0,522.4,532.75,525.65
2020-02-01,524.0,501.85,528.0,504.6
2020-02-03,504.0,502.0,519.15,515.55
2020-02-04,520.0,516.65,534.65,530.8
2020-02-05,529.05,525.7,540.4,539.1
2020-02-06,540.35,536.25,547.0,541.6
2020-02-07,540.95,535.15,541.75,536.45
2020-02-10,538.65,530.5,542.25,533.95
2020-02-11,537.7,537.5,544.8,539.75
2020-02-12,545.8,542.7,550.7,549.3
2020-02-13,549.0,538.0,549.0,541.0
2020-02-14,541.25,536.55,548.65,545.8
2020-02-17,543.0,537.75,545.35,541.6
2020-02-18,541.0,536.0,544.4,541.2
2020-02-19,543.5,540.5,546.5,544.8
2020-02-20,545.5,541.8,549.35,547.0
2020-02-24,539.5,527.55,541.85,529.85
2020-02-25,532.45,525.3,538.8,530.95
2020-02-26,526.85,522.2,529.35,523.7
2020-02-27,522.8,512.65,523.3,515.35
2020-02-28,501.6,492.2,506.85,497.25
2020-03-02,508.25,498.45,520.55,506.1
2020-03-03,509.85,508.5,519.5,514.75
2020-03-04,517.5,497.05,517.5,508.35
2020-03-05,509.75,500.0,511.15,504.5
2020-03-06,485.0,477.3,496.8,486.35
2020-03-09,475.0,442.95,475.0,457.75
2020-03-11,450.0,449.6,471.75,465.65
2020-03-12,438.0,416.0,445.95,425.65
2020-03-13,401.0,395.2,464.75,447.2
2020-03-16,424.2,397.45,424.2,402.9
2020-03-17,407.0,364.0,408.45,367.25
2020-03-18,369.1,342.3,375.5,355.05
2020-03-19,336.1,323.0,369.6,338.55
2020-03-20,328.0,323.0,359.8,345.7
2020-03-23,311.15,280.0,313.7,284.0
2020-03-24,295.3,268.3,305.0,296.5
2020-03-25,284.0,281.6,334.15,316.9
2020-03-26,322.0,314.25,364.4,330.25
2020-03-27,355.8,326.0,359.55,339.85
2020-03-30,330.1,311.1,333.9,313.4
2020-03-31,324.7,316.0,334.85,323.75
2020-04-01,319.0,308.1,323.75,311.15
2020-04-03,309.5,281.5,309.5,286.65
