Date,Open,Low,High,Close
2020-01-15,1463.4,1391.35,1463.4,1400.5
2020-01-16,1405.0,1377.1,1415.0,1386.45
2020-01-17,1350.0,1317.05,1377.0,1352.25
2020-01-20,1367.9,1323.0,1367.9,1331.95
2020-01-21,1332.0,1320.0,1350.0,1336.35
2020-01-22,1346.35,1323.0,1348.0,1327.4
2020-01-23,1330.0,1320.1,1339.8,1331.8
2020-01-24,1334.0,1307.65,1345.0,1316.1
2020-01-27,1311.5,1265.0,1312.0,1271.2
2020-01-28,1281.0,1240.25,1284.9,1254.75
2020-01-29,1268.9,1251.0,1276.7,1258.25
2020-01-30,1252.0,1221.55,1254.0,1231.5
2020-01-31,1245.0,1242.1,1271.6,1258.85
2020-02-01,1249.95,1195.2,1262.75,1211.1
2020-02-03,1222.0,1216.05,1268.45,1263.1
2020-02-04,1273.0,1256.25,1284.0,1272.65
2020-02-05,1280.0,1265.2,1288.65,1272.8
2020-02-06,1280.0,1262.4,1339.4,1334.25
2020-02-07,1345.0,1294.75,1346.05,1298.8
2020-02-10,1304.0,1268.5,1304.0,1274.95
2020-02-11,1290.0,1285.05,1309.9,1292.65
2020-02-12,1260.0,1251.7,1302.9,1277.4
2020-02-13,1281.75,1225.25,1281.75,1230.75
2020-02-14,1233.9,1171.2,1241.1,1176.0
2020-02-17,1176.0,1164.5,1209.0,1172.95
2020-02-18,1172.7,1108.45,1172.7,1140.7
2020-02-19,1155.0,1116.0,1168.0,1142.15
2020-02-20,1145.05,1145.05,1203.85,1182.2
2020-02-24,1170.0,1146.55,1189.5,1170.25
2020-02-25,1181.0,1138.8,1182.8,1153.85
2020-02-26,1145.0,1125.2,1150.0,1135.0
2020-02-27,1139.0,1101.0,1139.4,1115.55
2020-02-28,1100.0,1085.05,1118.0,1104.05
2020-03-02,1130.0,1070.05,1136.95,1079.25
2020-03-03,1085.0,1073.0,1117.95,1108.05
2020-03-04,1114.45,1051.0,1114.45,1065.95
2020-03-05,1075.0,1063.0,1094.95,1075.0
2020-03-06,998.0,913.8,1030.95,1014.8
2020-03-09,950.0,887.05,969.95,903.1
2020-03-11,889.9,845.0,929.0,853.55
2020-03-12,775.2,770.0,831.95,784.65
2020-03-13,724.0,551.1,834.7,803.75
2020-03-16,747.0,655.0,758.7,664.15
2020-03-17,670.0,585.4,707.45,604.15
2020-03-18,629.0,374.8,638.85,460.8
2020-03-19,414.75,391.75,472.0,444.05
2020-03-20,444.05,405.25,478.9,440.35
2020-03-23,396.35,330.1,405.0,336.45
2020-03-24,355.05,235.55,360.0,312.35
2020-03-25,292.0,281.15,324.0,301.3
2020-03-26,316.35,311.65,451.95,435.9
2020-03-27,479.45,392.35,538.55,411.1
2020-03-30,370.0,370.0,427.7,413.4
2020-03-31,398.0,330.75,399.0,351.3
2020-04-01,386.4,320.0,390.0,342.25
2020-04-03,350.0,310.2,350.0,313.2
2020-04-07,344.5,344.5,391.5,383.85
2020-04-08,382.0,362.0,441.4,399.15
2020-04-09,425.0,384.0,425.0,395.4
2020-04-13,388.0,371.25,421.8,410.4
2020-04-15,425.0,414.05,445.0,424.1
2020-04-16,424.1,413.25,442.0,435.4
2020-04-17,472.0,442.6,478.9,474.45
2020-04-20,479.5,453.0,481.0,456.7
2020-04-21,430.0,396.0,432.95,400.85
2020-04-22,397.0,384.6,420.5,415.9
2020-04-23,420.0,407.0,427.5,409.95
2020-04-24,392.25,380.0,399.9,382.9
2020-04-27,394.2,387.0,410.85,407.4
2020-04-28,445.0,430.0,484.4,468.05
2020-04-29,453.5,443.0,489.0,471.1
2020-04-30,486.25,461.6,491.85,468.15
2020-05-04,444.0,416.0,444.05,423.05
2020-05-05,433.0,415.95,438.9,418.7
2020-05-06,420.0,408.5,429.35,425.5
2020-05-07,420.0,415.5,461.5,454.35
2020-05-08,463.0,435.45,477.7,440.35
2020-05-11,450.0,428.8,458.75,433.4
2020-05-12,429.8,425.0,450.0,446.2
2020-05-13,475.0,444.5,480.0,448.6
2020-05-14,439.0,425.0,442.0,428.0
2020-05-15,430.4,417.1,431.0,418.7
2020-05-18,418.5,374.05,418.7,376.75
2020-05-19,385.1,361.0,387.0,367.8
2020-05-20,364.0,350.8,370.85,357.3
2020-05-21,362.3,343.2,364.0,346.8
2020-05-22,342.0,330.0,353.7,338.35
2020-05-26,344.9,342.0,353.95,348.2
2020-05-27,350.9,347.65,375.45,368.95
2020-05-28,375.0,371.6,405.8,386.85
2020-05-29,376.0,373.5,400.0,393.65
2020-06-01,402.3,401.05,416.8,410.1
2020-06-02,414.0,404.25,438.9,434.7
2020-06-03,445.0,426.1,452.25,432.35
2020-06-04,424.85,405.0,434.85,415.05
2020-06-05,417.2,411.2,427.3,422.35
2020-06-08,455.0,444.0,463.7,451.6
2020-06-09,459.95,452.35,478.0,463.9
2020-06-10,464.0,463.15,510.25,499.6
2020-06-11,510.25,505.1,548.5,523.15
2020-06-12,490.0,483.3,534.7,528.45
2020-06-15,525.0,483.5,525.0,490.55
2020-06-16,510.0,456.3,515.0,481.8
2020-06-17,472.6,468.0,502.0,491.15
2020-06-18,489.5,482.15,502.95,499.2
2020-06-19,503.0,472.15,510.5,483.65
2020-06-22,490.05,485.85,502.05,489.9
2020-06-23,499.0,497.2,524.0,520.4
2020-06-24,530.0,476.1,530.45,481.7
2020-06-25,480.0,461.0,490.95,475.15
2020-06-26,483.0,481.05,501.0,492.55
2020-06-29,482.0,472.5,487.0,480.0
2020-06-30,489.0,472.0,494.0,474.8
2020-07-01,480.5,475.15,494.6,492.45
2020-07-02,498.0,493.0,508.0,494.8
2020-07-03,499.85,484.35,500.0,487.2
2020-07-06,498.0,493.55,509.0,495.9
2020-07-07,497.0,492.45,530.0,526.3
2020-07-08,534.0,532.0,577.5,552.6
2020-07-09,557.95,550.3,569.95,556.55
2020-07-10,552.3,532.4,554.45,539.25
2020-07-13,549.7,534.5,555.0,539.65
2020-07-14,535.0,505.05,535.0,510.8
2020-07-15,517.85,500.0,527.8,503.55
2020-07-16,508.0,490.25,522.0,518.6
2020-07-17,522.3,512.0,526.5,520.8
2020-07-20,524.95,521.65,541.65,528.75
2020-07-21,535.7,520.7,539.75,523.5
2020-07-22,528.0,508.0,528.55,513.55
2020-07-23,515.5,510.1,521.0,513.9
2020-07-24,505.8,500.0,536.7,522.25
2020-07-27,522.55,505.0,523.85,506.65
2020-07-28,512.0,511.4,529.0,526.95
2020-07-29,534.0,532.25,564.75,550.5
2020-07-30,545.0,515.5,545.95,519.85
2020-07-31,525.2,515.75,528.5,523.75
2020-08-03,521.95,501.0,521.95,503.05
2020-08-04,508.0,483.25,508.0,492.6
2020-08-05,499.2,490.15,506.0,492.75
2020-08-06,497.8,485.75,501.95,494.9
2020-08-07,496.0,492.0,513.35,509.0
2020-08-10,512.0,506.55,517.55,509.35
2020-08-11,511.0,509.35,524.9,522.0
2020-08-12,518.5,512.35,530.45,520.65
2020-08-13,524.0,516.35,527.55,518.75
2020-08-14,520.0,500.15,523.5,507.2
2020-08-17,510.0,502.5,514.8,513.15
2020-08-18,512.45,506.5,524.75,521.6
2020-08-19,523.0,519.15,530.0,522.15
2020-08-20,515.6,511.1,520.55,513.4
2020-08-21,520.0,512.5,521.4,513.55
2020-08-24,518.0,516.0,535.45,529.15
2020-08-25,535.0,530.2,546.4,536.5
2020-08-26,541.45,538.45,572.2,567.65
2020-08-27,572.4,572.0,619.75,605.85
2020-08-28,600.0,595.5,689.0,665.65
2020-08-31,705.0,620.75,712.0,630.2
2020-09-01,638.1,588.7,662.5,627.45
2020-09-02,632.0,614.1,651.1,640.55
2020-09-03,644.0,625.0,648.25,631.85
2020-09-04,611.05,603.55,642.0,616.15
2020-09-07,621.5,597.55,624.95,608.7
2020-09-08,609.0,599.0,612.9,600.4
2020-09-09,590.0,588.65,609.7,604.6
2020-09-10,614.0,610.0,627.8,620.45
2020-09-11,618.0,603.25,622.4,610.35
2020-09-14,617.1,603.85,620.0,609.35
2020-09-15,609.35,601.2,639.0,633.4
2020-09-16,641.0,613.65,641.0,621.65
2020-09-17,614.75,610.2,624.8,617.35
2020-09-18,622.95,600.0,624.65,613.2
2020-09-21,612.9,553.85,617.4,560.6
2020-09-22,564.0,537.0,578.0,544.0
2020-09-23,551.0,519.1,553.85,528.05
2020-09-24,517.15,485.0,519.0,490.25
2020-09-25,499.9,491.2,521.3,514.85
2020-09-28,522.9,516.15,563.3,555.1
2020-09-29,559.0,528.95,561.85,536.25
2020-09-30,536.25,520.25,539.7,527.4
2020-10-01,540.0,537.0,597.05,592.2
2020-10-05,593.2,592.0,630.7,601.55
2020-10-06,615.95,606.2,628.35,622.8
2020-10-07,620.95,606.1,625.8,619.1
2020-10-08,620.0,614.05,638.5,617.7
2020-10-09,618.05,615.0,633.0,623.05
2020-10-12,628.2,610.5,632.0,614.45
2020-10-13,611.6,602.45,620.75,608.2
2020-10-14,600.0,597.5,626.45,622.65
2020-10-15,622.65,593.35,632.5,598.0
