Date,Open,Low,High,Close
2020-01-15,773.85,762.15,773.85,767.55
2020-01-16,770.7,760.25,772.5,767.0
2020-01-17,770.7,762.25,772.9,767.85
2020-01-20,771.6,762.95,774.4,768.45
2020-01-21,768.45,760.75,770.5,762.5
2020-01-22,768.45,766.0,778.0,770.2
2020-01-23,777.1,776.7,785.5,784.35
2020-01-24,775.75,773.6,786.5,782.75
2020-01-27,779.05,774.4,784.8,778.1
2020-01-28,781.0,772.0,781.8,778.0
2020-01-29,786.6,784.25,792.8,789.7
2020-01-30,789.7,778.0,789.7,780.7
2020-01-31,780.55,771.6,784.95,775.95
2020-02-01,775.1,769.25,791.25,779.5
2020-02-03,782.0,764.5,790.95,767.4
2020-02-04,770.1,770.1,789.9,787.85
2020-02-05,781.0,774.4,786.0,784.55
2020-02-06,784.35,770.0,786.8,771.35
2020-02-07,775.95,771.0,778.85,777.3
2020-02-10,774.0,769.75,778.0,773.2
2020-02-11,779.0,769.2,779.1,773.55
2020-02-12,775.8,775.1,783.25,781.05
2020-02-13,785.0,782.2,794.0,792.25
2020-02-14,794.5,784.6,799.2,786.45
2020-02-17,790.3,783.3,793.45,789.45
2020-02-18,785.0,783.65,799.05,797.65
2020-02-19,800.0,796.15,804.85,800.45
2020-02-20,803.25,793.85,806.1,797.0
2020-02-24,800.1,792.15,811.6,795.85
2020-02-25,799.0,795.4,806.0,798.4
2020-02-26,793.95,780.5,801.45,782.75
2020-02-27,778.0,772.2,780.75,777.85
2020-02-28,750.0,722.05,756.8,731.7
2020-03-02,737.0,733.75,765.9,741.05
2020-03-03,755.0,741.25,759.0,747.0
2020-03-04,753.9,745.55,761.5,758.75
2020-03-05,763.75,751.75,773.55,754.6
2020-03-06,741.0,729.1,744.0,738.95
2020-03-09,724.5,697.0,725.85,704.45
2020-03-11,690.65,669.05,695.95,686.0
2020-03-12,668.0,627.5,670.0,631.2
2020-03-13,592.0,570.0,667.0,642.35
2020-03-16,622.0,580.0,622.15,583.15
2020-03-17,588.1,550.0,592.0,554.95
2020-03-18,568.0,528.0,578.0,534.3
2020-03-19,509.25,509.25,558.0,545.55
2020-03-20,549.5,548.0,617.45,585.2
2020-03-23,540.0,515.9,560.95,526.45
2020-03-24,522.0,522.0,601.15,589.8
2020-03-25,597.0,565.7,635.0,606.2
2020-03-26,615.0,612.1,650.85,643.0
2020-03-27,665.05,642.25,674.9,652.7
2020-03-30,625.1,621.1,663.5,626.7
2020-03-31,650.0,633.7,662.0,641.5
2020-04-01,634.35,594.0,637.5,602.8
2020-04-03,603.5,582.15,606.0,585.7
2020-04-07,615.0,612.9,644.25,639.0
2020-04-08,630.0,626.35,655.65,631.6
2020-04-09,646.8,632.1,652.8,636.25
2020-04-13,629.0,626.05,651.7,637.4
2020-04-15,651.4,635.6,653.3,639.05
2020-04-16,619.95,603.5,634.9,623.85
2020-04-17,644.0,626.0,646.0,628.75
2020-04-20,640.0,639.0,661.0,653.3
2020-04-21,627.8,627.8,646.5,633.2
2020-04-22,633.2,628.05,645.0,641.85
2020-04-23,647.05,638.1,683.65,679.3
2020-04-24,668.55,654.8,675.0,658.0
2020-04-27,661.05,661.05,681.0,664.6
2020-04-28,673.0,653.05,677.0,660.7
2020-04-29,666.0,658.0,682.0,676.55
2020-04-30,700.0,698.1,720.0,715.5
2020-05-04,689.8,670.35,701.2,673.7
2020-05-05,681.75,670.0,685.6,673.7
2020-05-06,676.9,664.05,681.45,665.9
2020-05-07,665.55,662.45,674.35,664.95
2020-05-08,672.25,668.5,680.9,674.2
2020-05-11,682.5,678.0,698.55,682.9
2020-05-12,678.5,675.5,691.0,687.65
2020-05-13,694.8,683.75,699.9,694.15
2020-05-14,659.0,652.6,671.75,658.15
2020-05-15,664.8,646.7,664.8,652.3
2020-05-18,659.85,653.0,670.55,663.9
2020-05-19,664.0,655.0,674.8,668.6
2020-05-20,668.5,659.65,673.0,669.55
2020-05-21,666.5,665.4,679.45,672.2
2020-05-22,675.0,673.5,695.85,692.35
2020-05-26,693.0,679.0,699.45,680.55
2020-05-27,686.05,675.0,709.2,705.45
2020-05-28,707.0,690.0,710.0,707.4
2020-05-29,692.5,674.95,700.8,691.0
2020-06-01,698.75,691.5,706.65,699.55
2020-06-02,700.5,697.55,711.65,708.1
2020-06-03,710.7,696.0,711.9,701.55
2020-06-04,702.0,697.5,709.45,707.75
2020-06-05,707.0,700.6,711.7,703.55
2020-06-08,707.65,704.0,725.8,720.85
2020-06-09,720.0,715.05,729.6,717.6
2020-06-10,715.0,709.2,719.45,715.85
2020-06-11,712.0,700.25,713.4,703.95
2020-06-12,675.8,675.5,695.15,692.05
2020-06-15,693.0,685.25,704.4,687.55
2020-06-16,702.0,699.15,712.0,701.2
2020-06-17,699.9,698.0,710.3,703.65
2020-06-18,708.2,706.0,716.6,713.9
2020-06-19,709.0,701.0,711.9,705.55
2020-06-22,707.1,700.0,708.7,703.7
2020-06-23,695.7,692.1,724.5,720.65
2020-06-24,716.9,709.4,726.8,714.15
2020-06-25,704.85,693.5,705.6,700.5
2020-06-26,710.2,710.0,751.6,748.2
2020-06-29,735.4,730.1,744.7,731.75
2020-06-30,732.8,724.25,738.95,735.95
2020-07-01,737.25,729.75,742.3,731.9
2020-07-02,737.35,735.4,765.45,756.6
2020-07-03,755.0,752.5,764.0,762.7
2020-07-06,765.2,761.5,775.0,764.0
2020-07-07,769.4,765.55,796.95,794.15
2020-07-08,784.9,772.2,784.9,774.7
2020-07-09,780.0,775.0,790.0,781.7
2020-07-10,773.5,773.5,789.9,781.85
2020-07-13,788.0,786.05,805.35,797.05
2020-07-14,792.95,781.35,806.4,783.25
2020-07-15,799.0,794.8,848.45,830.95
2020-07-16,900.1,894.25,955.5,911.0
2020-07-17,911.0,892.15,919.9,903.15
2020-07-20,908.5,906.75,945.0,934.3
2020-07-21,945.0,929.2,949.7,936.75
2020-07-22,938.95,910.0,939.0,917.9
2020-07-23,915.65,900.65,915.8,907.95
2020-07-24,903.25,903.25,925.75,922.85
2020-07-27,921.55,918.65,952.8,948.45
2020-07-28,946.0,941.2,967.55,962.85
2020-07-29,953.25,943.6,960.0,954.15
2020-07-30,962.0,958.75,972.65,961.45
2020-07-31,969.25,953.3,986.45,966.0
2020-08-03,960.0,947.45,965.4,956.9
2020-08-04,960.45,940.55,970.7,949.85
2020-08-05,952.0,938.3,960.95,944.7
2020-08-06,953.5,942.5,974.4,970.85
2020-08-07,969.45,949.0,969.45,950.9
2020-08-10,948.9,945.3,956.8,951.35
2020-08-11,949.9,946.1,962.0,948.45
2020-08-12,948.0,942.2,958.8,954.95
2020-08-13,954.8,948.25,968.5,951.2
2020-08-14,955.85,952.05,963.0,953.6
2020-08-17,954.1,954.1,972.45,957.5
2020-08-18,963.9,958.7,969.2,967.55
2020-08-19,970.9,957.45,971.55,959.3
2020-08-20,958.9,951.3,965.5,955.15
2020-08-21,963.05,946.55,963.45,948.8
2020-08-24,947.0,939.2,952.0,947.4
2020-08-25,947.5,933.6,948.65,938.1
2020-08-26,941.25,938.4,954.25,950.8
2020-08-27,960.0,945.2,960.95,947.05
2020-08-28,951.45,933.05,952.5,935.25
2020-08-31,935.25,914.6,950.5,928.6
2020-09-01,926.25,912.1,935.0,914.15
2020-09-02,915.0,913.5,926.4,924.0
2020-09-03,926.5,924.0,949.4,935.55
2020-09-04,915.0,914.45,929.5,919.15
2020-09-07,918.9,913.05,927.55,925.05
2020-09-08,929.95,925.55,952.0,939.3
2020-09-09,935.0,926.0,946.0,927.75
2020-09-10,935.3,924.8,942.0,940.05
2020-09-11,934.9,931.0,954.15,945.7
2020-09-14,957.0,948.3,991.05,978.4
2020-09-15,979.5,971.65,994.0,982.45
2020-09-16,986.0,982.0,1005.65,1001.75
2020-09-17,995.0,995.0,1021.0,1011.0
2020-09-18,1011.0,999.1,1018.8,1002.15
2020-09-21,1001.0,1000.5,1031.0,1009.9
2020-09-22,1009.0,991.2,1022.5,1007.5
2020-09-23,1020.15,1008.1,1037.0,1019.75
2020-09-24,1003.0,970.0,1009.0,975.4
2020-09-25,975.8,975.0,1014.9,1011.45
2020-09-28,1014.8,998.5,1016.15,1010.4
2020-09-29,1018.0,1004.1,1028.0,1009.0
2020-09-30,1009.0,1005.0,1023.95,1008.25
2020-10-01,1020.6,1011.75,1026.5,1017.65
2020-10-05,1018.05,1018.05,1054.9,1048.7
