Date,Open,Low,High,Close
2020-01-15,242.55,241.1,243.0,242.4
2020-01-16,242.5,240.1,243.9,240.75
2020-01-17,240.75,239.4,242.1,239.95
2020-01-20,240.05,240.05,243.25,241.9
2020-01-21,241.45,238.0,241.45,238.45
2020-01-22,239.6,237.1,239.6,238.05
2020-01-23,238.1,236.9,238.75,237.9
2020-01-24,237.4,237.0,239.1,238.15
2020-01-27,237.0,234.3,237.4,234.6
2020-01-28,234.75,230.5,235.9,230.75
2020-01-29,231.5,231.15,237.65,236.65
2020-01-30,236.95,233.0,237.0,234.05
2020-01-31,235.75,234.05,238.4,235.15
2020-02-01,236.9,215.5,239.25,219.0
2020-02-03,215.0,205.0,216.9,207.6
2020-02-04,210.8,209.15,217.6,215.65
2020-02-05,216.3,211.5,217.5,216.45
2020-02-06,218.0,211.8,219.9,213.55
2020-02-07,213.8,212.75,215.7,213.4
2020-02-10,214.0,210.05,214.05,210.55
2020-02-11,216.5,211.8,216.95,212.6
2020-02-12,213.4,211.8,214.8,213.05
2020-02-13,213.05,211.2,213.45,211.9
2020-02-14,212.25,206.8,212.9,207.7
2020-02-17,208.0,204.0,208.65,204.8
2020-02-18,204.55,200.5,204.6,203.85
2020-02-19,205.25,203.85,207.15,206.7
2020-02-20,207.0,205.45,208.55,207.45
2020-02-24,207.0,201.8,207.45,203.0
2020-02-25,203.8,201.5,205.4,201.8
2020-02-26,200.65,196.3,201.95,198.6
2020-02-27,198.4,195.9,199.15,197.55
2020-02-28,195.0,192.05,199.9,197.55
2020-03-02,199.5,193.65,203.45,195.3
2020-03-03,197.0,192.55,197.45,193.85
2020-03-04,194.95,186.55,195.55,187.5
2020-03-05,187.55,186.55,191.2,188.05
2020-03-06,184.85,179.75,184.85,181.75
2020-03-09,179.0,174.5,179.0,177.2
2020-03-11,174.0,172.35,176.75,175.65
2020-03-12,169.0,150.55,169.15,155.8
2020-03-13,150.0,134.6,164.0,162.25
2020-03-16,158.0,145.25,158.1,147.25
2020-03-17,148.0,146.05,155.8,149.15
