Date,Open,Low,High,Close
2020-01-15,279.85,276.25,283.4,282.5
2020-01-16,282.5,276.15,282.85,277.45
2020-01-17,276.8,272.85,279.55,273.35
2020-01-20,273.5,268.65,275.0,271.35
2020-01-21,270.0,264.35,270.9,267.25
2020-01-22,268.3,264.75,269.3,265.85
2020-01-23,266.0,264.1,268.95,266.65
2020-01-24,266.7,265.3,273.9,271.9
2020-01-27,265.45,258.3,265.9,262.8
2020-01-28,260.8,251.6,261.75,255.25
2020-01-29,259.0,258.3,264.6,261.25
2020-01-30,261.3,255.25,262.1,256.95
2020-01-31,258.15,249.1,259.0,250.7
2020-02-01,249.0,242.6,257.3,244.75
2020-02-03,245.5,243.75,253.0,251.5
2020-02-04,253.25,248.7,259.7,258.35
2020-02-05,259.5,256.35,271.65,269.25
2020-02-06,271.1,267.75,277.5,276.45
2020-02-07,275.4,272.75,280.0,279.3
2020-02-10,276.0,273.2,279.8,277.9
2020-02-11,280.05,278.6,293.5,288.75
2020-02-12,288.65,288.5,295.4,293.7
2020-02-13,292.2,288.4,294.6,293.35
2020-02-14,291.6,288.3,296.75,289.15
2020-02-17,289.15,285.3,290.9,288.15
2020-02-18,289.0,281.1,289.15,284.8
2020-02-19,287.2,279.9,290.0,280.85
2020-02-20,280.7,277.0,285.85,281.8
2020-02-24,277.95,256.0,277.95,258.95
2020-02-25,264.0,258.4,266.8,262.6
2020-02-26,256.0,255.55,263.7,260.8
2020-02-27,259.0,248.3,259.0,252.1
2020-02-28,245.5,232.65,245.5,235.7
2020-03-02,242.2,230.85,246.5,235.0
2020-03-03,239.25,238.65,249.1,246.45
2020-03-04,246.55,236.85,248.8,245.6
2020-03-05,248.7,244.35,252.75,247.15
2020-03-06,235.0,228.2,240.0,238.8
2020-03-09,229.05,225.1,231.65,229.05
2020-03-11,227.0,220.1,228.5,223.5
2020-03-12,210.0,199.05,214.3,203.2
2020-03-13,188.0,175.2,217.95,214.9
2020-03-16,202.0,181.55,207.15,186.0
2020-03-17,188.9,175.15,193.5,176.45
2020-03-18,180.05,156.45,181.15,164.35
2020-03-19,157.8,151.7,168.7,163.3
2020-03-20,167.0,164.65,179.1,175.75
2020-03-23,158.2,136.1,164.25,144.4
2020-03-24,149.25,140.35,155.0,147.1
2020-03-25,145.0,142.55,156.0,151.8
2020-03-26,151.0,144.5,157.45,149.8
2020-03-27,152.1,146.2,156.45,151.45
2020-03-30,148.45,136.5,148.45,142.4
2020-03-31,145.95,144.5,152.4,146.25
2020-04-01,145.95,139.05,145.95,143.0
2020-04-03,143.25,132.5,148.15,140.7
2020-04-07,148.05,145.45,159.85,158.1
2020-04-08,155.0,152.15,170.75,154.6
2020-04-09,159.0,158.0,170.0,166.3
2020-04-13,167.5,161.15,172.4,167.65
2020-04-15,170.0,165.85,174.95,171.4
2020-04-16,169.3,167.4,174.6,170.65
2020-04-17,175.0,170.35,179.85,177.3
2020-04-20,183.0,166.1,183.0,167.5
2020-04-21,164.0,156.8,164.4,159.6
2020-04-22,158.0,155.5,163.0,161.2
2020-04-23,162.4,158.7,166.3,159.95
2020-04-24,157.5,152.6,159.5,153.25
2020-04-27,156.0,155.0,160.65,157.3
2020-04-28,159.4,157.0,160.3,159.4
2020-04-29,160.8,159.0,166.4,164.1
2020-04-30,168.6,167.5,188.7,180.65
2020-05-04,170.95,162.35,170.95,163.55
2020-05-05,167.5,162.8,171.65,163.9
2020-05-06,165.5,163.15,169.3,165.8
2020-05-07,164.2,162.5,174.0,172.2
2020-05-08,175.55,167.5,176.6,168.65
2020-05-11,170.0,168.75,176.4,174.55
2020-05-12,172.0,167.05,179.6,178.2
2020-05-13,189.0,180.6,189.0,182.35
2020-05-14,179.0,174.2,180.4,175.2
2020-05-15,176.9,173.25,179.4,174.3
2020-05-18,175.8,162.1,176.2,163.25
2020-05-19,167.0,165.9,172.95,169.3
2020-05-20,169.3,168.3,173.0,171.05
2020-05-21,172.0,168.95,174.85,169.9
2020-05-22,168.4,163.5,169.5,166.15
2020-05-26,168.0,168.0,178.25,176.25
2020-05-27,176.05,174.15,189.0,184.8
2020-05-28,186.2,183.2,188.75,184.15
2020-05-29,181.0,180.05,185.45,184.2
2020-06-01,188.0,187.15,199.4,193.95
2020-06-02,195.0,190.35,197.75,192.15
2020-06-03,195.0,191.55,197.8,192.7
2020-06-04,193.0,189.8,195.2,192.0
2020-06-05,195.95,194.05,202.4,197.05
2020-06-08,202.0,192.25,202.0,194.95
2020-06-09,195.95,188.6,198.9,190.05
2020-06-10,188.0,184.55,191.9,190.95
2020-06-11,188.0,183.55,190.85,184.65
2020-06-12,177.0,175.45,190.2,188.95
2020-06-15,185.95,179.95,186.45,183.75
2020-06-16,189.0,185.75,195.95,190.05
2020-06-17,188.75,185.8,194.45,191.85
2020-06-18,189.0,188.0,194.05,193.4
2020-06-19,195.1,192.7,197.35,194.3
2020-06-22,194.9,193.0,199.9,197.95
2020-06-23,198.1,198.1,203.9,201.65
2020-06-24,206.95,192.35,207.75,193.9
2020-06-25,192.15,191.0,197.35,193.55
2020-06-26,195.65,191.55,197.5,192.65
2020-06-29,192.5,185.65,192.95,190.7
2020-06-30,191.15,187.8,195.6,189.35
2020-07-01,190.3,188.55,193.05,191.45
2020-07-02,192.35,190.05,195.0,194.45
2020-07-03,195.7,190.5,196.5,190.95
2020-07-06,192.15,190.5,195.25,193.75
2020-07-07,194.7,190.25,194.75,190.85
2020-07-08,191.0,191.0,202.0,195.35
2020-07-09,196.35,196.1,202.75,197.45
2020-07-10,196.0,191.0,196.0,193.3
2020-07-13,195.4,195.25,199.8,198.4
2020-07-14,198.0,191.65,198.4,194.05
2020-07-15,196.0,193.4,199.85,194.9
2020-07-16,194.0,192.6,201.9,201.15
2020-07-17,203.2,202.65,211.8,206.75
2020-07-20,207.5,204.0,208.85,206.8
2020-07-21,208.0,204.15,210.75,209.95
2020-07-22,211.0,204.1,214.0,207.0
2020-07-23,206.9,205.45,210.5,209.35
2020-07-24,206.0,203.25,211.6,205.0
2020-07-27,202.05,200.1,208.5,206.95
2020-07-28,208.1,207.45,215.75,214.9
2020-07-29,214.05,213.85,220.95,217.55
2020-07-30,218.65,213.15,221.95,214.35
2020-07-31,214.5,213.3,221.25,220.25
2020-08-03,221.0,218.65,225.45,220.55
2020-08-04,221.55,219.15,229.25,228.1
2020-08-05,228.5,228.15,236.2,235.15
2020-08-06,235.0,232.5,239.95,239.5
2020-08-07,236.8,235.8,241.0,240.2
2020-08-10,241.0,238.55,246.35,245.2
2020-08-11,246.5,246.3,255.5,253.75
2020-08-12,252.0,249.05,257.9,256.8
2020-08-13,258.1,255.85,264.0,258.6
2020-08-14,259.0,257.55,267.3,265.35
2020-08-17,266.9,263.2,271.25,269.6
2020-08-18,270.6,267.35,279.2,277.15
2020-08-19,278.0,274.2,279.9,278.55
2020-08-20,273.0,271.15,284.5,282.65
2020-08-21,284.35,280.35,288.0,281.9
2020-08-24,284.15,282.6,287.25,285.75
2020-08-25,286.55,280.15,287.25,284.9
2020-08-26,285.5,283.15,286.85,286.2
2020-08-27,285.35,283.8,290.75,289.3
2020-08-28,285.5,280.05,289.75,280.7
2020-08-31,281.0,268.45,281.75,269.8
2020-09-01,269.8,269.05,288.5,286.8
2020-09-02,288.5,285.05,294.0,293.0
2020-09-03,293.0,290.85,295.85,293.4
2020-09-04,286.05,280.55,291.25,282.35
2020-09-07,281.0,278.85,287.75,286.5
