Date,Open,Low,High,Close
2020-01-15,1675.95,1665.9,1686.6,1675.6
2020-01-16,1678.9,1678.9,1705.6,1701.55
2020-01-17,1703.9,1690.1,1705.85,1698.1
2020-01-20,1709.0,1611.0,1709.0,1617.9
2020-01-21,1605.0,1585.2,1630.6,1625.1
2020-01-22,1633.2,1576.0,1637.9,1585.5
2020-01-23,1588.0,1581.3,1608.4,1605.85
2020-01-24,1605.45,1587.0,1649.0,1642.95
2020-01-27,1628.7,1608.4,1629.0,1618.35
2020-01-28,1620.0,1610.25,1638.0,1626.05
2020-01-29,1633.0,1623.05,1646.2,1640.45
2020-01-30,1637.8,1617.5,1640.3,1628.25
2020-01-31,1709.65,1683.15,1729.0,1691.75
2020-02-01,1684.0,1630.05,1689.45,1647.95
2020-02-03,1645.6,1634.0,1680.8,1676.25
2020-02-04,1684.05,1670.15,1702.8,1698.3
2020-02-05,1702.0,1677.1,1707.45,1689.75
2020-02-06,1693.9,1668.0,1697.9,1674.0
2020-02-07,1675.75,1644.0,1677.95,1653.05
2020-02-10,1660.0,1645.7,1674.6,1669.3
2020-02-11,1682.45,1666.55,1685.8,1677.45
2020-02-12,1680.1,1675.0,1720.0,1714.9
2020-02-13,1714.7,1682.3,1714.7,1689.8
2020-02-14,1696.0,1663.6,1703.0,1680.95
2020-02-17,1685.0,1672.25,1699.2,1691.1
2020-02-18,1682.5,1678.3,1699.8,1691.0
2020-02-19,1740.0,1695.4,1740.0,1701.1
2020-02-20,1697.3,1676.2,1699.25,1685.95
2020-02-24,1672.0,1662.3,1683.75,1678.25
2020-02-25,1676.2,1668.35,1689.7,1675.8
2020-02-26,1670.1,1657.0,1677.7,1666.5
2020-02-27,1666.0,1660.6,1688.9,1682.75
2020-02-28,1654.9,1613.75,1660.1,1620.35
2020-03-02,1631.0,1584.2,1637.3,1599.0
2020-03-03,1603.8,1587.0,1636.35,1626.3
2020-03-04,1632.2,1577.6,1633.1,1607.95
2020-03-05,1615.0,1608.0,1676.5,1651.35
2020-03-06,1605.2,1598.2,1644.0,1631.05
2020-03-09,1595.0,1542.6,1609.95,1578.15
2020-03-11,1575.95,1542.5,1604.9,1589.3
2020-03-12,1509.9,1350.95,1546.45,1465.05
2020-03-13,1400.0,1172.05,1505.0,1470.05
2020-03-16,1417.0,1375.0,1444.75,1383.7
2020-03-17,1392.0,1303.1,1402.95,1322.7
2020-03-18,1326.0,1162.1,1329.0,1171.95
2020-03-19,1095.05,1001.0,1253.6,1210.85
2020-03-20,1217.0,1146.5,1283.6,1262.35
2020-03-23,1137.5,1078.15,1204.45,1098.25
2020-03-24,1153.15,1041.1,1185.0,1152.9
2020-03-25,1140.0,1125.05,1324.0,1290.15
2020-03-26,1300.0,1252.8,1390.0,1372.95
2020-03-27,1436.0,1374.55,1450.0,1399.1
2020-03-30,1345.2,1275.8,1380.0,1293.7
2020-03-31,1328.3,1285.0,1330.0,1296.05
2020-04-01,1294.9,1158.0,1294.9,1181.65
2020-04-03,1181.65,1087.0,1183.0,1140.85
2020-04-07,1221.0,1171.0,1229.05,1198.05
2020-04-08,1184.8,1160.35,1242.55,1187.65
2020-04-09,1215.0,1190.1,1281.2,1272.9
