Date,Open,Low,High,Close
2020-01-15,1325.6,1320.0,1336.15,1323.6
2020-01-16,1327.7,1317.4,1332.9,1319.3
2020-01-17,1320.6,1302.0,1325.95,1304.2
2020-01-20,1313.95,1306.5,1319.9,1309.6
2020-01-21,1304.75,1300.45,1313.9,1302.35
2020-01-22,1311.0,1292.0,1312.0,1294.2
2020-01-23,1307.0,1306.0,1339.85,1332.3
2020-01-24,1332.0,1332.0,1367.85,1359.2
2020-01-27,1340.0,1340.0,1364.9,1348.6
2020-01-28,1350.9,1338.0,1355.0,1346.65
2020-01-29,1353.1,1352.1,1374.95,1365.7
2020-01-30,1365.95,1353.0,1376.8,1370.2
2020-01-31,1375.95,1360.45,1377.0,1369.3
2020-02-01,1372.6,1280.0,1383.7,1287.4
2020-02-03,1290.0,1272.0,1303.9,1286.65
2020-02-04,1296.0,1287.55,1307.3,1291.75
2020-02-05,1297.9,1295.0,1325.0,1310.05
2020-02-06,1322.9,1309.05,1325.0,1317.6
2020-02-07,1313.05,1296.0,1314.4,1299.0
2020-02-10,1300.0,1273.1,1302.45,1285.3
2020-02-11,1292.0,1284.0,1298.95,1286.9
2020-02-12,1289.1,1280.0,1299.85,1297.3
2020-02-13,1299.0,1285.0,1299.85,1292.25
2020-02-14,1295.0,1290.6,1304.95,1295.15
2020-02-17,1297.0,1277.0,1297.85,1280.2
2020-02-18,1281.5,1266.45,1289.8,1286.35
2020-02-19,1298.0,1276.6,1299.0,1281.4
2020-02-20,1279.9,1275.3,1288.9,1280.6
2020-02-24,1271.9,1252.65,1271.9,1259.7
2020-02-25,1262.2,1240.15,1265.65,1242.05
2020-02-26,1235.0,1206.0,1238.0,1211.15
2020-02-27,1212.35,1200.0,1216.95,1210.35
2020-02-28,1189.65,1162.0,1196.45,1187.55
2020-03-02,1205.0,1150.55,1212.35,1160.9
2020-03-03,1166.0,1162.05,1186.8,1181.3
2020-03-04,1185.0,1158.0,1187.85,1176.65
2020-03-05,1180.1,1166.2,1187.25,1182.45
2020-03-06,1148.0,1130.85,1164.0,1158.9
2020-03-09,1135.8,1067.3,1135.8,1101.95
2020-03-11,1090.0,1085.8,1120.95,1116.95
2020-03-12,1070.0,1004.1,1070.05,1016.55
2020-03-13,950.0,890.0,1060.45,1051.45
2020-03-16,1014.25,961.9,1042.0,968.7
2020-03-17,972.0,940.15,1005.0,956.75
2020-03-18,968.0,900.0,974.75,904.55
2020-03-19,873.9,837.7,884.0,843.1
2020-03-20,849.0,831.3,877.8,864.7
2020-03-23,809.0,706.0,809.95,724.05
2020-03-24,755.0,672.0,755.75,707.9
2020-03-25,697.2,661.0,775.0,765.75
2020-03-26,787.75,754.15,842.3,838.0
2020-03-27,867.9,812.0,890.0,837.05
2020-03-30,801.0,791.0,815.0,798.65
2020-03-31,820.0,791.2,823.0,808.5
2020-04-01,806.85,766.55,812.4,774.35
2020-04-03,791.1,762.8,791.1,774.65
2020-04-07,805.0,791.0,813.0,801.65
2020-04-08,804.0,797.7,832.0,807.1
2020-04-09,834.35,804.4,834.35,812.8
2020-04-13,812.8,807.95,872.4,865.45
2020-04-15,890.95,869.0,926.6,880.15
2020-04-16,875.95,870.15,919.8,911.65
2020-04-17,930.0,916.0,940.0,932.9
2020-04-20,940.8,911.0,943.0,915.6
2020-04-21,897.0,863.0,906.6,870.35
2020-04-22,873.0,850.0,885.5,852.6
2020-04-23,860.0,835.0,869.5,840.6
2020-04-24,838.0,834.15,869.0,851.2
2020-04-27,861.95,852.25,874.9,855.25
2020-04-28,863.8,852.1,867.7,857.15
2020-04-29,862.0,854.0,883.05,875.35
2020-04-30,890.2,884.1,916.8,897.55
2020-05-04,880.0,845.0,880.0,850.65
2020-05-05,861.0,835.0,869.8,836.9
2020-05-06,838.0,817.6,848.0,837.3
2020-05-07,833.0,820.1,836.05,822.85
2020-05-08,833.0,810.0,834.85,815.95
2020-05-11,821.2,816.35,827.5,821.6
2020-05-12,817.0,804.0,819.25,814.8
2020-05-13,863.7,850.5,871.95,862.9
2020-05-14,858.9,841.5,879.6,871.65
2020-05-15,881.95,854.0,885.0,864.4
2020-05-18,869.9,810.0,870.0,813.35
2020-05-19,827.1,791.7,833.8,796.35
2020-05-20,800.0,800.0,841.0,835.0
2020-05-21,835.95,818.1,845.0,820.5
2020-05-22,815.0,810.1,826.5,815.7
2020-05-26,821.9,821.0,842.7,825.55
2020-05-27,831.95,827.0,857.2,850.85
2020-05-28,855.0,855.0,912.0,905.5
2020-05-29,893.2,891.0,937.5,932.25
2020-06-01,944.65,924.0,974.15,928.15
2020-06-02,935.0,913.05,953.0,945.45
2020-06-03,955.95,955.0,972.85,961.3
2020-06-04,961.05,928.6,968.0,930.7
2020-06-05,940.0,936.6,959.9,955.25
2020-06-08,979.5,949.0,995.0,961.35
2020-06-09,964.5,949.7,970.25,953.3
2020-06-10,957.0,935.7,959.5,946.55
2020-06-11,944.0,928.2,952.0,930.45
2020-06-12,890.0,890.0,929.9,926.4
2020-06-15,921.8,894.1,929.45,899.9
2020-06-16,920.0,891.15,924.7,895.05
2020-06-17,892.7,881.1,899.75,884.8
2020-06-18,876.0,874.0,900.0,896.65
2020-06-19,902.0,895.1,915.9,898.2
2020-06-22,905.0,896.0,916.0,907.45
2020-06-23,910.0,909.0,970.0,967.6
2020-06-24,979.0,952.0,989.9,955.55
2020-06-25,949.9,936.25,964.8,943.1
2020-06-26,955.0,940.5,976.1,962.2
2020-06-29,950.0,930.0,956.1,936.6
2020-06-30,948.7,931.4,952.15,943.65
2020-07-01,941.0,917.0,941.0,924.3
2020-07-02,936.0,926.0,950.7,941.3
2020-07-03,948.0,941.6,955.4,944.25
2020-07-06,953.1,946.65,959.5,951.2
2020-07-07,955.0,940.0,961.9,943.6
2020-07-08,944.95,938.0,964.4,941.25
2020-07-09,945.0,940.0,952.0,944.95
2020-07-10,940.0,930.55,952.0,932.15
2020-07-13,940.0,925.0,944.8,928.15
2020-07-14,928.0,905.85,934.95,912.9
2020-07-15,918.05,909.3,925.0,912.2
2020-07-16,913.0,898.45,924.0,921.15
2020-07-17,922.1,918.0,929.95,925.55
2020-07-20,929.0,915.0,931.9,919.6
2020-07-21,927.0,920.6,942.3,938.05
2020-07-22,939.2,910.0,941.0,920.9
2020-07-23,912.0,911.35,937.95,916.55
2020-07-24,914.4,898.05,914.5,904.4
2020-07-27,908.0,896.3,915.0,903.8
2020-07-28,908.8,899.0,917.0,913.5
2020-07-29,919.6,917.25,940.85,921.95
2020-07-30,929.0,904.2,932.7,908.25
2020-07-31,913.9,907.05,922.9,913.45
2020-08-03,913.0,903.55,919.75,915.9
2020-08-04,918.0,916.6,930.0,924.25
2020-08-05,923.95,920.8,934.5,925.75
2020-08-06,926.05,920.25,933.7,922.15
2020-08-07,922.55,914.1,926.85,915.65
2020-08-10,925.0,925.0,970.0,960.05
2020-08-11,969.6,957.1,979.7,961.9
2020-08-12,952.0,945.0,956.0,949.75
2020-08-13,957.0,951.55,993.65,990.7
2020-08-14,999.95,973.4,1017.0,982.8
2020-08-17,1002.0,987.7,1007.0,1000.8
2020-08-18,1005.95,995.4,1008.0,1004.55
2020-08-19,1017.25,1005.4,1024.95,1009.1
2020-08-20,986.0,981.0,1005.0,995.75
2020-08-21,1010.0,992.0,1010.0,994.15
2020-08-24,996.0,990.0,1001.4,991.35
2020-08-25,993.0,977.8,999.9,980.4
2020-08-26,987.0,965.0,988.0,968.95
2020-08-27,975.25,965.3,980.0,975.6
2020-08-28,988.0,978.2,1004.7,981.85
2020-08-31,988.1,940.4,995.4,944.95
2020-09-01,964.95,943.3,966.0,955.2
2020-09-02,956.45,948.0,959.8,955.55
2020-09-03,960.0,953.3,971.0,961.15
2020-09-04,948.0,940.0,956.15,942.5
2020-09-07,947.15,916.25,950.75,932.15
2020-09-08,936.0,912.95,936.0,916.7
2020-09-09,907.55,901.0,928.0,909.5
2020-09-10,917.7,912.0,923.0,920.95
2020-09-11,920.0,912.0,921.55,917.4
2020-09-14,922.4,901.0,923.35,902.1
2020-09-15,910.0,900.0,915.2,909.95
2020-09-16,915.0,911.35,924.0,921.8
2020-09-17,915.0,905.05,917.95,906.3
2020-09-18,911.2,897.0,914.1,900.7
2020-09-21,901.0,874.3,903.8,881.85
2020-09-22,887.95,852.0,887.95,856.5
2020-09-23,866.2,854.55,873.7,860.6
2020-09-24,856.0,843.0,859.9,850.7
2020-09-25,860.1,852.0,895.4,889.25
2020-09-28,898.0,893.0,917.5,902.85
2020-09-29,909.95,892.4,912.85,895.45
2020-09-30,897.8,884.1,904.5,901.6
2020-10-01,909.95,900.7,913.6,902.8
2020-10-05,907.95,895.05,908.55,896.95
2020-10-06,901.05,888.25,904.55,892.6
2020-10-07,895.0,876.05,895.0,887.9
2020-10-08,890.3,879.05,894.0,881.05
2020-10-09,887.4,885.6,914.95,908.45
2020-10-12,916.95,902.05,925.75,905.75
2020-10-13,907.95,888.85,915.7,896.45
2020-10-14,897.0,887.2,917.0,915.2
2020-10-15,913.0,885.4,919.0,888.8
2020-10-16,894.0,889.5,903.5,894.1
2020-10-19,899.0,884.0,906.0,902.9
2020-10-20,919.0,913.0,935.5,917.3
2020-10-21,924.95,908.65,931.0,924.45
2020-10-22,922.0,920.15,939.0,936.3
2020-10-23,940.0,928.0,948.5,941.25
2020-10-26,949.85,943.0,959.25,951.75
2020-10-27,960.0,955.15,986.0,981.95
2020-10-28,989.95,974.2,994.65,982.85
2020-10-29,951.1,926.0,958.8,934.5
2020-10-30,941.0,924.2,946.8,929.5
2020-11-02,930.0,920.65,937.95,929.3
2020-11-03,944.9,932.5,952.9,947.75
2020-11-04,934.25,930.0,950.65,939.85
2020-11-05,952.0,944.3,959.8,958.1
2020-11-06,959.0,950.1,967.5,960.75
2020-11-09,971.0,962.4,974.6,965.85
2020-11-10,975.0,971.6,1036.9,1033.7
2020-11-11,1040.0,1021.25,1062.8,1059.45
2020-11-12,1054.9,1052.45,1075.85,1073.2
2020-11-13,1065.05,1038.1,1068.15,1051.5
2020-11-14,1060.05,1054.0,1067.8,1059.2
2020-11-17,1063.0,1061.05,1096.85,1080.9
2020-11-18,1080.9,1079.15,1154.25,1148.15
2020-11-19,1125.05,1107.7,1177.0,1134.25
2020-11-20,1140.0,1118.5,1161.0,1132.3
2020-11-23,1138.8,1122.85,1147.85,1125.85
2020-11-24,1135.0,1128.3,1144.0,1135.5
2020-11-25,1141.5,1112.45,1147.8,1116.0
2020-11-26,1130.0,1101.55,1134.95,1118.85
2020-11-27,1129.0,1092.0,1139.8,1122.4
2020-12-01,1140.0,1111.2,1140.0,1115.95
2020-12-02,1120.05,1104.1,1132.05,1113.75
2020-12-03,1135.0,1120.3,1137.45,1125.15
2020-12-04,1130.0,1128.75,1162.0,1149.5
2020-12-07,1154.8,1144.0,1171.9,1169.7
2020-12-08,1174.95,1148.05,1182.5,1171.4
2020-12-09,1178.0,1166.35,1185.0,1181.0
2020-12-10,1182.0,1170.05,1193.75,1190.35
2020-12-11,1188.0,1182.0,1216.8,1194.3
2020-12-14,1198.1,1198.1,1263.9,1249.65
2020-12-15,1250.0,1216.1,1252.0,1246.25
2020-12-16,1256.25,1247.05,1278.0,1268.25
2020-12-17,1270.0,1254.05,1284.0,1278.8
2020-12-18,1283.95,1270.0,1301.0,1281.55
2020-12-21,1276.25,1154.0,1338.5,1234.85
2020-12-22,1235.25,1213.55,1268.0,1262.7
2020-12-23,1268.0,1248.35,1271.3,1264.8
2020-12-24,1275.0,1253.5,1281.0,1262.2
2020-12-28,1275.0,1266.5,1291.0,1289.4
2020-12-29,1294.95,1267.7,1295.05,1284.85
2020-12-30,1288.2,1271.0,1296.35,1292.05
2020-12-31,1293.0,1282.0,1304.0,1287.6
2021-01-01,1283.0,1283.0,1299.95,1297.0
2021-01-04,1305.0,1302.0,1322.55,1314.6
2021-01-05,1307.0,1295.05,1313.0,1306.3
2021-01-06,1308.0,1300.0,1330.0,1314.0
2021-01-07,1330.0,1325.0,1346.8,1338.95
2021-01-08,1349.8,1347.0,1382.95,1373.4
2021-01-11,1382.0,1345.0,1384.95,1350.0
2021-01-12,1354.0,1344.05,1366.85,1349.8
2021-01-13,1354.0,1344.3,1373.0,1352.5
2021-01-14,1358.0,1356.25,1389.7,1376.6
2021-01-15,1376.7,1345.05,1384.5,1354.15
2021-01-18,1345.2,1326.15,1353.85,1336.05
2021-01-19,1340.05,1337.0,1382.0,1369.85
2021-01-20,1369.0,1362.55,1393.05,1382.65
2021-01-21,1395.0,1361.05,1396.0,1371.3
2021-01-22,1362.0,1348.5,1375.0,1362.1
2021-01-25,1370.0,1342.0,1396.4,1361.3
2021-01-27,1368.8,1330.1,1392.7,1359.85
2021-01-28,1344.7,1340.0,1365.1,1345.35
2021-01-29,1362.0,1325.1,1369.0,1334.7
2021-02-01,1345.75,1337.2,1462.0,1448.85
2021-02-02,1474.0,1474.0,1593.0,1520.2
2021-02-03,1530.0,1505.0,1558.0,1528.55
2021-02-04,1525.0,1510.0,1550.0,1529.8
2021-02-05,1534.4,1511.1,1547.0,1516.5
2021-02-08,1521.15,1520.0,1570.0,1551.8
2021-02-09,1557.0,1545.0,1574.5,1566.45
2021-02-10,1560.0,1528.7,1564.0,1552.85
2021-02-11,1549.4,1526.55,1559.9,1530.5
2021-02-12,1535.0,1516.1,1544.0,1521.35
2021-02-15,1527.0,1521.35,1544.0,1537.65
2021-02-16,1540.0,1539.0,1574.0,1549.45
2021-02-17,1544.0,1533.0,1567.0,1548.35
2021-02-18,1542.2,1515.15,1551.2,1524.6
2021-02-19,1523.85,1498.85,1547.0,1508.8
2021-02-22,1510.9,1447.1,1511.95,1452.2
2021-02-23,1462.0,1460.0,1498.0,1486.3
2021-02-24,1486.7,1486.7,1532.0,1526.6
2021-02-25,1534.0,1502.0,1540.6,1506.45
2021-02-26,1482.0,1435.15,1493.5,1442.5
2021-03-01,1456.0,1438.2,1486.0,1472.85
2021-03-02,1479.3,1458.15,1489.65,1485.65
2021-03-03,1493.5,1481.35,1510.0,1496.9
2021-03-04,1473.0,1458.0,1494.35,1462.6
2021-03-05,1453.6,1439.1,1477.2,1463.55
2021-03-08,1478.0,1470.0,1525.0,1515.2
2021-03-09,1525.0,1491.8,1532.3,1508.3
2021-03-10,1523.0,1507.5,1534.75,1524.2
2021-03-12,1526.3,1503.15,1565.0,1514.0
2021-03-15,1520.0,1463.3,1528.1,1483.75
2021-03-16,1488.3,1457.0,1497.0,1461.8
2021-03-17,1476.0,1431.75,1492.95,1437.65
2021-03-18,1455.55,1420.0,1469.7,1428.1
2021-03-19,1415.0,1378.6,1421.85,1411.25
2021-03-22,1409.0,1392.25,1417.4,1400.05
2021-03-23,1401.9,1398.1,1416.5,1404.35
2021-03-24,1400.0,1360.05,1407.0,1369.15
2021-03-25,1361.0,1361.0,1389.0,1371.1
2021-03-26,1386.3,1382.0,1408.0,1398.3
2021-03-30,1408.0,1395.55,1428.2,1423.55
2021-03-31,1423.6,1410.4,1431.6,1418.9
2021-04-01,1432.0,1420.5,1447.85,1444.6
2021-04-05,1439.0,1381.4,1439.0,1403.8
2021-04-06,1405.9,1393.3,1416.3,1401.0
2021-04-07,1402.0,1389.25,1417.2,1404.15
2021-04-08,1410.0,1410.0,1434.8,1419.15
2021-04-09,1414.0,1397.1,1417.0,1404.1
2021-04-12,1393.95,1332.0,1393.95,1345.15
2021-04-13,1347.25,1347.25,1382.0,1373.7
2021-04-15,1378.95,1358.1,1391.1,1374.65
2021-04-16,1360.5,1355.3,1393.3,1359.15
2021-04-19,1340.0,1306.0,1346.2,1310.45
2021-04-20,1320.0,1317.7,1339.45,1331.5
2021-04-22,1310.0,1307.25,1339.5,1336.8
2021-04-23,1330.0,1314.45,1344.65,1322.9
2021-04-26,1330.05,1323.0,1341.2,1335.9
2021-04-27,1339.0,1335.9,1388.45,1380.65
2021-04-28,1384.85,1372.5,1399.95,1375.9
2021-04-29,1383.95,1353.5,1389.55,1358.65
2021-04-30,1350.0,1336.1,1365.0,1340.45
2021-05-03,1325.5,1319.15,1351.3,1342.5
2021-05-04,1350.0,1331.0,1350.9,1337.6
2021-05-05,1342.2,1324.0,1346.75,1338.65
2021-05-06,1344.0,1335.75,1356.55,1339.9
2021-05-07,1347.0,1339.0,1359.9,1342.7
2021-05-10,1347.0,1347.0,1398.85,1395.0
2021-05-11,1380.0,1376.1,1399.9,1383.6
2021-05-12,1380.0,1377.0,1425.0,1385.3
