Date,Open,Low,High,Close
2020-01-15,7388.95,7353.0,7505.0,7482.95
2020-01-16,7456.5,7421.2,7521.0,7462.65
2020-01-17,7469.0,7432.55,7569.9,7520.15
2020-01-20,7521.25,7421.05,7529.5,7449.6
2020-01-21,7411.5,7287.8,7434.65,7302.65
2020-01-22,7340.0,7107.95,7374.95,7135.6
2020-01-23,7145.4,7123.15,7220.0,7147.1
2020-01-24,7148.8,7111.25,7210.0,7128.45
2020-01-27,7101.5,7061.0,7225.0,7148.8
2020-01-28,7179.95,6963.0,7219.95,6997.05
2020-01-29,7010.0,6975.0,7116.25,7010.3
2020-01-30,7020.0,6981.0,7049.0,7020.45
2020-01-31,7035.0,6895.55,7064.0,6913.5
2020-02-01,6915.0,6740.3,7109.8,6812.65
2020-02-03,6780.0,6780.0,7044.85,7011.3
2020-02-04,7020.0,7001.0,7215.0,7199.6
2020-02-05,7215.0,7025.6,7231.6,7040.9
2020-02-06,7075.0,6976.8,7120.35,7021.6
2020-02-07,7039.0,6935.0,7050.0,6971.75
2020-02-10,6975.0,6851.1,6989.1,6892.9
2020-02-11,6950.0,6912.3,7089.0,7033.75
2020-02-12,7056.1,7007.95,7110.0,7043.3
2020-02-13,7050.0,6925.0,7056.0,7005.05
2020-02-14,7000.05,6901.0,7088.95,6913.8
2020-02-17,6920.0,6880.0,6980.0,6906.75
2020-02-18,6925.0,6735.8,6930.0,6781.1
2020-02-19,6850.0,6624.6,6854.95,6756.6
2020-02-20,6761.0,6720.0,6807.55,6757.6
2020-02-24,6710.0,6439.8,6710.0,6470.4
2020-02-25,6505.4,6376.55,6510.0,6414.55
2020-02-26,6350.0,6186.05,6368.85,6234.85
2020-02-27,6230.0,6166.8,6338.05,6289.8
2020-02-28,6163.05,6103.2,6367.35,6283.1
2020-03-02,6400.95,6250.0,6439.55,6285.15
2020-03-03,6318.0,6280.5,6422.15,6386.05
2020-03-04,6390.0,6209.0,6424.0,6384.35
2020-03-05,6411.9,6330.2,6464.0,6365.95
2020-03-06,6196.4,6100.15,6480.0,6445.95
2020-03-09,6301.0,6079.4,6374.0,6201.1
2020-03-11,6160.0,6105.0,6310.95,6146.3
2020-03-12,5939.3,5555.55,5939.3,5643.15
2020-03-13,5325.2,4803.05,6063.5,5838.6
2020-03-16,5638.6,5400.0,5688.0,5480.25
2020-03-17,5502.0,5502.0,5746.95,5603.95
2020-03-18,5671.0,5312.55,5688.8,5352.65
2020-03-19,4870.0,4652.55,5096.6,4819.55
2020-03-20,4869.0,4812.6,5225.0,5079.2
2020-03-23,4575.0,4141.0,4790.0,4220.35
2020-03-24,4341.0,4030.0,4570.0,4486.45
2020-03-25,4439.0,4310.1,5159.4,5005.95
2020-03-26,5024.45,4750.0,5120.0,4878.0
2020-03-27,5100.0,4555.0,5136.5,4646.1
2020-03-30,4587.45,4270.0,4639.95,4328.45
2020-03-31,4450.0,4210.0,4468.05,4288.3
2020-04-01,4290.0,4190.1,4424.85,4246.35
2020-04-03,4250.0,4001.1,4267.0,4011.5
2020-04-07,4150.0,4120.0,4612.9,4553.65
2020-04-08,4406.5,4406.5,4925.0,4698.1
2020-04-09,4794.45,4736.2,5399.0,5326.65
2020-04-13,5285.0,5001.0,5343.4,5283.15
2020-04-15,5307.5,5041.0,5350.0,5094.3
2020-04-16,5017.0,4970.0,5228.0,5130.8
2020-04-17,5325.0,5211.7,5602.95,5505.0
2020-04-20,5512.0,5280.0,5573.95,5331.35
2020-04-21,5131.3,4884.5,5131.3,5001.1
2020-04-22,5009.0,4991.0,5248.25,5180.85
2020-04-23,5169.0,5045.0,5244.6,5156.35
2020-04-24,5100.0,5030.0,5140.0,5045.65
2020-04-27,5150.1,4991.55,5225.0,5056.35
2020-04-28,5090.0,4990.25,5120.0,5052.7
2020-04-29,5100.0,5011.05,5100.0,5068.45
2020-04-30,5122.0,5122.0,5425.0,5358.8
2020-05-04,5096.0,4840.0,5130.25,4886.3
2020-05-05,4995.0,4800.0,5029.55,4829.85
2020-05-06,4841.2,4710.0,5000.0,4843.25
2020-05-07,4899.5,4735.0,4935.35,4749.3
2020-05-08,4874.0,4637.5,4879.0,4654.15
2020-05-11,4750.0,4730.15,5014.6,4937.8
2020-05-12,4914.0,4690.05,4985.0,4951.3
2020-05-13,5250.0,4986.25,5317.45,5036.1
2020-05-14,4905.0,4852.15,5145.0,5114.05
2020-05-15,5110.0,4961.15,5123.2,5100.4
2020-05-18,5080.4,4680.55,5095.0,4720.95
2020-05-19,4842.0,4755.75,4900.0,4805.3
2020-05-20,4754.0,4745.5,4920.0,4891.95
2020-05-21,4890.0,4851.05,5073.8,5050.1
2020-05-22,5010.0,4930.75,5150.0,5134.3
2020-05-26,5200.0,5160.65,5285.8,5246.15
2020-05-27,5270.0,5135.4,5291.0,5244.4
2020-05-28,5267.0,5220.0,5495.0,5468.35
2020-05-29,5375.0,5375.0,5666.75,5610.8
2020-06-01,5690.0,5666.9,5864.65,5793.6
2020-06-02,5797.75,5625.1,5849.0,5690.1
2020-06-03,5730.0,5606.0,5832.0,5624.0
2020-06-04,5658.0,5572.0,5719.95,5690.2
2020-06-05,5728.3,5671.1,5785.0,5746.2
2020-06-08,5850.0,5701.5,5850.0,5734.8
2020-06-09,5754.0,5620.0,5787.0,5662.3
2020-06-10,5655.0,5615.0,5740.0,5675.6
2020-06-11,5637.0,5400.3,5689.0,5426.15
2020-06-12,5201.0,5201.0,5608.3,5561.75
2020-06-15,5520.0,5391.05,5585.0,5475.75
2020-06-16,5590.0,5400.0,5612.55,5502.2
2020-06-17,5445.0,5445.0,5813.45,5726.2
2020-06-18,5695.0,5641.0,5758.0,5714.4
2020-06-19,5751.0,5707.0,5935.0,5897.35
2020-06-22,5900.0,5806.35,5975.0,5896.0
2020-06-23,5900.0,5862.55,6007.2,5886.5
2020-06-24,5938.0,5730.0,5938.0,5755.35
2020-06-25,5677.0,5651.0,5846.8,5762.3
2020-06-26,5800.0,5695.0,5810.0,5754.9
2020-06-29,5730.0,5650.0,5800.0,5678.7
2020-06-30,5750.0,5681.45,5874.5,5838.3
2020-07-01,5838.3,5775.0,5885.0,5803.1
2020-07-02,5850.0,5762.8,5960.0,5948.45
2020-07-03,5948.45,5883.05,5988.6,5932.1
2020-07-06,5963.45,5925.0,6147.7,6123.6
2020-07-07,6140.0,6092.65,6250.0,6226.75
2020-07-08,6226.75,6022.6,6235.0,6044.4
2020-07-09,6080.0,5931.35,6096.0,6002.35
2020-07-10,5980.0,5921.0,6085.1,5955.65
2020-07-13,6000.0,5927.8,6059.25,5988.85
2020-07-14,5951.0,5750.0,5958.75,5771.75
2020-07-15,5810.0,5755.0,5879.8,5801.3
2020-07-16,5809.0,5752.0,5920.0,5875.35
2020-07-17,5898.0,5851.0,5956.0,5919.5
2020-07-20,5935.0,5812.0,5936.0,5867.5
2020-07-21,5919.5,5900.0,6150.0,6130.85
2020-07-22,6117.0,5939.7,6129.0,6003.4
2020-07-23,6013.0,5967.95,6090.0,6065.95
2020-07-24,6010.0,5932.1,6047.35,6000.7
2020-07-27,6008.0,5928.05,6062.85,6043.3
2020-07-28,6050.0,6031.15,6320.35,6282.8
2020-07-29,6269.95,6118.95,6295.0,6185.15
2020-07-30,6184.05,6170.05,6393.65,6265.4
2020-07-31,6265.0,6209.0,6379.85,6262.75
2020-08-03,6380.0,6125.05,6437.45,6165.2
2020-08-04,6199.0,6185.0,6376.85,6358.95
2020-08-05,6388.9,6380.0,6597.7,6526.25
2020-08-06,6534.95,6434.4,6585.85,6555.75
2020-08-07,6498.0,6481.85,6749.5,6679.0
2020-08-10,6690.0,6576.0,6728.7,6608.9
2020-08-11,6665.0,6611.0,6713.5,6649.2
2020-08-12,6609.95,6592.1,6778.05,6730.3
2020-08-13,6729.95,6655.0,6772.0,6731.65
2020-08-14,6740.0,6552.05,6745.15,6588.2
2020-08-17,6660.0,6588.2,6789.95,6768.4
2020-08-18,6768.4,6760.9,6924.9,6893.1
2020-08-19,6924.0,6885.05,7014.7,6990.3
2020-08-20,6891.1,6880.05,6999.0,6974.7
2020-08-21,7048.0,6951.0,7065.0,6973.0
2020-08-24,6985.0,6955.0,7100.0,7082.5
2020-08-25,7100.0,7075.65,7175.7,7109.95
2020-08-26,7110.0,6972.0,7158.0,7008.65
2020-08-27,7043.0,6960.8,7127.7,7098.0
2020-08-28,7125.0,7028.45,7156.0,7104.1
2020-08-31,7138.0,6790.45,7160.0,6839.95
2020-09-01,6860.45,6802.0,7018.7,6905.65
2020-09-02,6905.5,6852.4,6980.0,6920.75
2020-09-03,6925.0,6920.75,7116.9,7072.6
2020-09-04,6985.0,6965.05,7324.0,7190.1
2020-09-07,7225.0,7129.25,7300.0,7209.15
2020-09-08,7220.0,7137.65,7278.0,7224.0
2020-09-09,7200.0,7121.2,7256.35,7215.25
2020-09-10,7264.0,7168.0,7299.4,7231.65
2020-09-11,7279.95,7175.0,7349.9,7193.6
2020-09-14,7219.0,7085.0,7239.6,7128.85
2020-09-15,7164.0,7005.0,7175.0,7052.8
2020-09-16,7074.0,7041.0,7169.0,7057.95
2020-09-17,7049.5,6941.0,7112.9,7085.85
2020-09-18,7148.0,6931.6,7149.0,6964.75
2020-09-21,6964.75,6590.0,6986.9,6626.95
2020-09-22,6675.0,6312.35,6685.95,6440.55
2020-09-23,6462.0,6380.0,6549.95,6501.3
2020-09-24,6435.0,6270.15,6486.8,6297.7
2020-09-25,6395.0,6331.0,6518.55,6497.7
2020-09-28,6579.0,6542.3,6720.0,6703.0
2020-09-29,6749.0,6671.0,6813.3,6742.75
2020-09-30,6710.0,6671.0,6779.95,6743.45
2020-10-01,6838.2,6775.4,6909.0,6796.3
2020-10-05,6865.0,6745.0,6877.6,6818.85
2020-10-06,6858.0,6830.0,6939.8,6892.4
2020-10-07,6920.0,6865.55,7070.0,7046.9
2020-10-08,7090.0,7021.0,7140.0,7079.85
2020-10-09,7060.0,7001.0,7159.0,7062.4
2020-10-12,7110.0,7005.0,7155.0,7136.65
2020-10-13,7135.0,7022.0,7185.0,7032.9
2020-10-14,7040.0,6927.45,7075.0,7002.35
2020-10-15,7029.0,6857.7,7049.9,6892.6
2020-10-16,6895.0,6863.0,6980.0,6894.9
2020-10-19,6975.0,6825.0,6980.0,6851.95
2020-10-20,6817.0,6810.0,6949.0,6844.6
2020-10-21,6904.0,6764.65,6947.6,6861.85
2020-10-22,6828.0,6775.2,6860.0,6811.55
2020-10-23,6858.0,6832.0,7124.7,7103.25
2020-10-26,7100.0,6935.05,7161.3,7054.8
2020-10-27,7067.0,7053.0,7209.75,7158.4
2020-10-28,7194.95,7110.0,7332.0,7186.05
2020-10-29,7114.0,6986.7,7199.0,7117.7
2020-10-30,7079.05,6881.0,7110.0,6965.15
