Date,Open,Low,High,Close
2020-01-15,868.0,847.2,901.7,887.85
2020-01-16,887.0,877.6,900.0,897.6
2020-01-17,897.6,881.15,903.25,883.55
2020-01-20,884.0,879.2,896.0,892.75
2020-01-21,890.1,885.2,907.25,897.75
2020-01-22,898.0,897.8,917.9,906.25
2020-01-23,910.0,895.0,919.05,900.75
2020-01-24,902.0,889.1,902.15,892.75
2020-01-27,897.2,881.1,907.7,885.05
2020-01-28,890.5,873.65,894.95,876.0
2020-01-29,880.45,879.0,888.8,886.55
2020-01-30,887.6,881.6,898.0,888.1
2020-01-31,892.75,878.7,903.2,887.9
2020-02-01,892.35,867.2,911.9,883.15
2020-02-03,879.0,868.15,909.9,902.75
2020-02-04,906.0,901.1,917.05,907.6
2020-02-05,916.0,902.45,919.85,909.75
2020-02-06,910.95,898.0,949.8,902.35
2020-02-07,902.0,891.35,925.95,921.8
2020-02-10,922.0,903.35,931.1,920.3
2020-02-11,924.0,915.35,932.0,926.95
2020-02-12,922.0,918.5,936.7,922.85
2020-02-13,928.6,916.0,940.0,936.55
2020-02-14,942.4,938.0,973.7,959.9
2020-02-17,965.85,956.2,996.4,981.95
2020-02-18,985.45,982.8,1000.7,997.0
2020-02-19,1002.0,997.45,1021.65,1013.6
2020-02-20,1017.4,1004.6,1055.55,1049.5
2020-02-24,1044.8,1010.15,1049.0,1015.55
2020-02-25,1008.2,1008.2,1062.8,1050.3
2020-02-26,1045.0,1018.25,1050.0,1029.4
2020-02-27,995.0,979.7,1011.0,985.7
2020-02-28,955.0,926.4,990.0,944.0
2020-03-02,936.0,936.0,1033.7,998.1
2020-03-03,1005.0,954.0,1021.0,989.05
2020-03-04,991.0,969.05,999.0,990.5
2020-03-05,995.5,956.65,1007.9,961.6
2020-03-06,945.55,918.5,985.0,977.6
2020-03-09,950.1,874.85,954.45,905.15
2020-03-11,900.0,868.0,912.8,891.1
2020-03-12,821.0,800.25,844.95,816.0
2020-03-13,735.0,700.15,889.5,859.55
2020-03-16,800.2,771.45,878.25,831.95
2020-03-17,829.9,808.5,880.0,853.0
2020-03-18,854.0,781.95,854.2,804.3
2020-03-19,750.0,703.05,776.2,720.5
2020-03-20,712.5,711.0,893.45,842.45
2020-03-23,758.25,720.0,809.0,733.9
2020-03-24,755.0,750.0,843.95,792.05
2020-03-25,760.0,760.0,858.9,822.2
2020-03-26,816.0,772.7,858.8,837.65
2020-03-27,848.8,809.0,868.8,825.65
2020-03-30,802.0,768.65,859.9,846.4
2020-03-31,845.0,812.0,856.0,828.7
2020-04-01,803.0,706.0,820.0,753.5
2020-04-03,754.0,692.0,757.2,701.1
2020-04-07,717.0,717.0,756.4,735.75
2020-04-08,731.75,722.1,779.0,732.1
2020-04-09,743.0,730.0,760.75,733.75
2020-04-13,734.15,708.25,750.0,739.65
2020-04-15,739.65,732.85,787.85,771.9
2020-04-16,752.3,732.6,791.0,776.85
2020-04-17,795.0,748.8,795.0,752.65
2020-04-20,752.1,752.1,791.95,783.05
2020-04-21,775.0,728.3,775.0,736.35
2020-04-22,740.0,721.25,750.55,731.5
2020-04-23,737.3,734.75,777.9,765.05
2020-04-24,770.75,755.0,785.0,780.35
2020-04-27,820.0,811.85,897.4,879.65
2020-04-28,904.0,862.05,904.0,867.3
2020-04-29,866.0,853.5,892.8,881.6
2020-04-30,891.0,883.0,921.8,915.95
2020-05-04,885.0,875.9,909.65,903.4
2020-05-05,925.0,866.0,927.65,875.3
2020-05-06,877.0,863.0,913.65,907.85
2020-05-07,906.0,868.0,907.0,877.7
2020-05-08,889.4,880.0,904.0,891.1
2020-05-11,890.0,885.0,920.0,890.6
2020-05-12,890.85,867.75,903.0,887.4
2020-05-13,900.0,874.2,900.0,885.65
2020-05-14,874.0,831.35,878.85,835.85
2020-05-15,829.0,815.6,865.2,852.15
2020-05-18,854.6,846.9,882.35,879.55
2020-05-19,884.25,883.0,923.45,918.9
2020-05-20,916.0,883.1,916.4,904.4
2020-05-21,905.0,877.3,919.0,882.0
2020-05-22,882.0,873.25,906.0,890.7
2020-05-26,902.45,878.75,910.0,881.8
2020-05-27,889.65,866.55,898.0,891.45
2020-05-28,891.0,882.45,903.9,896.5
2020-05-29,896.5,889.25,917.0,894.6
2020-06-01,895.2,888.0,911.95,892.4
2020-06-02,900.0,890.5,942.5,920.4
2020-06-03,936.0,904.2,936.0,908.35
2020-06-04,910.0,904.7,939.9,935.35
2020-06-05,940.0,916.3,946.55,919.15
2020-06-08,933.0,908.55,933.0,918.6
2020-06-09,920.0,886.65,926.9,895.95
2020-06-10,902.0,858.55,916.5,909.1
2020-06-11,914.0,895.05,924.9,918.7
2020-06-12,890.0,881.05,919.0,914.0
2020-06-15,904.1,902.15,931.4,923.0
2020-06-16,931.0,907.85,935.0,912.45
2020-06-17,910.0,902.2,924.85,906.85
2020-06-18,907.0,900.6,919.7,907.4
2020-06-19,910.1,898.55,934.55,915.1
2020-06-22,908.4,898.65,922.0,909.05
2020-06-23,905.0,905.0,938.5,928.05
2020-06-24,921.0,914.6,942.3,924.4
