Date,Open,Low,High,Close
2019-05-15,618.0,606.95,628.4,609.65
2019-05-16,610.0,597.2,612.65,605.25
2019-05-17,607.0,607.0,622.5,619.65
2019-05-20,635.0,632.25,662.5,653.25
2019-05-21,660.0,634.4,662.7,639.15
2019-05-22,643.85,631.25,643.85,640.55
2019-05-23,650.0,635.1,655.0,639.5
2019-05-24,644.75,637.85,667.5,665.45
2019-05-27,667.7,665.0,683.0,679.35
2019-05-28,680.0,667.25,682.25,670.55
2019-05-29,668.0,660.85,677.5,672.15
2019-05-30,660.0,656.35,667.5,661.7
2019-05-31,659.7,645.1,665.95,647.05
2019-06-03,647.05,635.05,659.0,653.4
2019-06-04,654.8,647.8,659.4,650.75
2019-06-06,654.3,631.35,655.5,634.1
2019-06-07,640.0,630.05,645.7,644.05
2019-06-10,643.4,638.2,649.4,646.95
2019-06-11,647.95,636.0,647.95,636.85
2019-06-12,633.0,629.45,638.9,632.2
2019-06-13,632.0,628.1,642.7,641.05
2019-06-14,640.05,633.4,641.0,637.25
2019-06-17,641.0,622.25,641.95,625.05
2019-06-18,624.0,620.1,629.8,625.9
2019-06-19,629.85,608.0,632.35,615.15
2019-06-20,614.8,611.25,630.95,627.15
2019-06-21,627.0,622.25,633.45,627.45
2019-06-24,626.0,626.0,637.0,634.85
2019-06-25,635.0,635.0,644.65,641.65
2019-06-26,640.0,640.0,647.5,643.5
2019-06-27,645.0,645.0,660.8,657.9
2019-06-28,659.8,651.5,662.45,655.35
2019-07-01,657.3,654.45,663.45,660.0
2019-07-02,661.0,656.3,668.5,666.25
2019-07-03,668.95,663.3,675.0,669.25
2019-07-04,671.5,665.3,674.2,672.15
2019-07-05,672.0,638.5,675.3,642.05
2019-07-08,640.35,626.2,645.2,635.85
2019-07-09,632.0,630.0,638.5,632.7
2019-07-10,630.0,619.1,636.1,621.65
2019-07-11,625.4,623.6,635.65,634.15
2019-07-12,634.1,628.5,637.0,631.9
2019-07-15,632.05,625.45,638.0,631.85
2019-07-16,624.7,618.85,627.9,622.9
2019-07-17,623.0,615.3,626.45,617.95
2019-07-18,613.9,595.0,616.45,597.4
2019-07-19,601.15,570.0,601.5,571.3
2019-07-22,571.3,559.9,576.7,564.9
2019-07-23,566.1,555.85,567.0,559.1
2019-07-24,557.0,546.0,557.9,550.0
2019-07-25,550.0,541.9,553.0,547.55
2019-07-26,545.9,545.0,566.4,564.45
2019-07-29,564.0,552.15,565.0,553.15
2019-07-30,551.8,547.55,561.3,548.75
2019-07-31,546.6,541.75,553.8,550.0
2019-08-01,546.0,539.3,551.8,548.55
2019-08-02,544.9,542.15,563.85,556.45
2019-08-05,550.45,542.35,554.25,545.45
2019-08-06,543.0,543.0,552.25,549.45
2019-08-07,551.5,515.0,551.5,518.3
2019-08-08,518.5,516.35,541.5,539.55
2019-08-09,540.9,530.0,548.3,545.55
2019-08-13,545.0,510.25,545.0,512.4
2019-08-14,515.9,502.55,525.85,523.55
2019-08-16,524.7,515.55,531.9,527.85
2019-08-19,527.0,518.0,535.75,520.55
2019-08-20,522.9,517.5,535.0,527.8
2019-08-21,528.3,518.1,535.6,520.9
2019-08-22,521.55,509.85,523.75,511.8
2019-08-23,511.0,509.25,536.3,533.25
2019-08-26,552.7,528.9,552.7,544.3
2019-08-27,547.0,544.5,559.0,554.05
2019-08-28,556.7,534.75,559.9,539.7
2019-08-29,536.0,524.25,544.2,528.0
2019-08-30,530.6,519.05,532.9,528.8
2019-09-03,518.65,513.0,521.9,515.45
2019-09-04,516.0,503.15,519.75,505.7
2019-09-05,506.85,506.7,519.5,517.0
2019-09-06,519.45,514.6,531.0,529.5
2019-09-09,523.65,522.0,536.75,532.55
2019-09-11,533.2,533.2,548.25,545.75
2019-09-12,546.1,540.25,551.95,543.6
2019-09-13,542.0,541.5,552.8,551.25
2019-09-16,545.0,535.65,550.5,536.95
2019-09-17,537.5,520.0,539.5,521.95
2019-09-18,525.0,518.2,531.35,527.0
2019-09-19,529.0,513.0,529.45,519.3
2019-09-20,524.45,518.65,574.0,568.9
2019-09-23,576.25,552.0,602.2,565.0
2019-09-24,563.9,554.6,575.4,558.75
2019-09-25,558.7,528.0,558.7,534.7
2019-09-26,537.9,536.0,569.75,566.95
2019-09-27,562.8,549.15,567.8,555.1
2019-09-30,557.75,540.3,558.55,547.15
2019-10-01,551.0,536.6,566.1,556.7
2019-10-03,558.0,547.1,564.95,562.7
2019-10-04,565.05,555.45,575.0,564.25
2019-10-07,561.1,546.5,562.9,552.95
2019-10-09,556.0,550.95,578.8,576.55
2019-10-10,576.0,559.25,576.0,566.05
2019-10-11,568.55,554.1,574.3,560.1
2019-10-14,562.9,554.55,572.35,568.65
2019-10-15,568.0,565.2,586.55,583.4
2019-10-16,582.5,575.35,586.9,584.25
2019-10-17,581.1,578.75,596.35,593.3
2019-10-18,589.0,583.6,595.5,593.3
2019-10-22,593.4,587.45,601.2,595.8
2019-10-23,596.9,587.15,599.65,591.85
2019-10-24,592.0,578.6,595.5,581.05
2019-10-25,585.7,570.25,585.7,577.7
2019-10-27,584.45,580.0,595.0,591.5
2019-10-29,595.45,592.5,618.0,611.8
2019-10-30,617.2,605.0,619.9,616.55
2019-10-31,617.6,603.75,621.65,606.45
2019-11-01,609.0,581.0,609.75,589.75
2019-11-04,591.0,581.9,594.55,586.4
2019-11-05,583.3,577.1,590.6,580.15
2019-11-06,590.25,577.1,590.3,579.8
2019-11-07,579.8,572.0,583.5,580.35
2019-11-08,578.0,576.85,596.5,580.0
2019-11-11,581.7,570.0,586.95,575.0
2019-11-13,574.0,572.0,580.9,574.7
2019-11-14,575.2,567.75,579.65,578.45
2019-11-15,583.75,579.75,590.85,583.05
2019-11-18,580.1,571.8,582.6,573.7
2019-11-19,573.75,559.65,575.0,560.65
2019-11-20,562.25,557.5,568.45,560.45
2019-11-21,560.5,550.2,562.65,551.8
2019-11-22,554.75,539.2,555.0,546.0
2019-11-25,547.5,546.25,552.85,547.8
2019-11-26,550.0,536.95,552.9,538.6
2019-11-27,542.0,535.0,554.5,539.95
2019-11-28,541.9,536.25,543.3,541.95
2019-11-29,543.0,528.25,543.8,530.55
2019-12-02,525.0,523.5,537.5,534.15
2019-12-03,537.25,522.0,537.25,522.9
2019-12-04,522.8,519.15,529.25,525.55
2019-12-05,525.55,522.0,531.15,524.75
2019-12-06,527.8,508.1,527.9,510.2
2019-12-09,510.2,510.05,518.5,513.65
2019-12-10,514.6,503.75,514.85,505.75
2019-12-11,507.65,502.65,511.4,507.75
2019-12-12,511.0,508.2,514.25,511.9
2019-12-13,514.55,513.75,522.8,516.2
2019-12-16,516.0,507.6,519.8,508.85
2019-12-17,509.9,505.0,512.75,505.85
2019-12-18,506.9,506.5,524.9,522.65
2019-12-19,524.5,524.5,538.8,535.4
2019-12-20,533.5,528.5,539.65,530.6
2019-12-23,529.95,524.7,535.9,525.9
2019-12-24,529.0,526.2,532.65,527.5
2019-12-26,530.0,527.05,536.2,528.35
2019-12-27,529.9,525.05,532.75,530.15
2019-12-30,531.35,531.35,539.85,536.9
2019-12-31,538.65,530.6,538.65,531.55
2020-01-01,532.9,529.55,538.0,536.6
2020-01-02,537.0,533.5,541.0,539.85
2020-01-03,538.95,530.4,539.0,532.75
2020-01-06,529.9,520.5,530.0,524.5
2020-01-07,528.9,523.05,532.0,526.65
2020-01-08,520.9,519.0,526.45,524.65
2020-01-09,529.85,525.7,542.45,541.25
2020-01-10,544.1,539.25,547.6,546.6
2020-01-13,548.9,546.6,557.0,554.95
2020-01-14,554.95,554.95,563.75,562.5
2020-01-15,562.0,556.7,571.0,569.75
2020-01-16,569.25,564.05,569.8,567.45
2020-01-17,566.8,565.15,574.0,569.3
2020-01-20,569.0,564.35,574.0,567.2
2020-01-21,564.0,550.1,564.9,552.8
2020-01-22,553.5,549.0,556.5,553.6
2020-01-23,553.5,549.55,567.4,566.5
2020-01-24,566.1,564.1,572.0,567.75
2020-01-27,565.0,563.0,582.5,578.3
2020-01-28,581.25,568.5,589.75,572.5
2020-01-29,577.5,572.15,580.7,577.75
2020-01-30,578.0,563.85,587.55,567.85
2020-01-31,570.8,565.3,577.0,567.15
2020-02-01,566.0,528.95,581.2,545.2
2020-02-03,545.0,535.2,565.75,558.7
2020-02-04,562.0,558.8,578.8,576.9
2020-02-05,580.25,577.4,589.85,584.35
2020-02-06,585.0,576.05,589.15,580.15
2020-02-07,579.0,561.3,581.5,569.1
2020-02-10,566.8,526.05,567.0,528.4
2020-02-11,533.2,522.7,537.7,524.05
2020-02-12,526.65,523.9,534.3,531.0
2020-02-13,530.45,528.3,538.0,533.6
2020-02-14,535.25,520.65,536.95,523.0
2020-02-17,524.1,516.0,525.4,522.75
2020-02-18,520.5,514.1,524.9,523.2
2020-02-19,528.15,521.8,529.65,526.4
2020-02-20,525.9,523.0,533.0,524.85
2020-02-24,522.0,511.1,522.0,513.2
2020-02-25,515.55,506.1,519.5,508.95
2020-02-26,507.7,500.0,512.45,503.0
2020-02-27,504.0,487.55,504.0,493.5
2020-02-28,485.0,453.6,485.0,457.05
2020-03-02,453.55,444.35,472.45,458.3
2020-03-03,462.0,455.25,471.0,466.25
2020-03-04,466.05,457.5,477.0,474.65
2020-03-05,472.7,469.0,482.5,479.3
2020-03-06,458.85,456.5,473.75,471.0
2020-03-09,453.55,441.0,465.7,463.2
2020-03-11,462.85,449.7,469.65,451.6
2020-03-12,427.9,399.65,435.95,423.35
2020-03-13,400.5,345.65,449.75,428.85
2020-03-16,421.0,388.8,428.6,391.8
2020-03-17,392.0,369.95,408.0,373.4
2020-03-18,379.0,339.1,383.7,346.4
2020-03-19,331.75,302.0,331.8,314.2
2020-03-20,316.0,308.25,328.2,322.6
2020-03-23,299.0,280.6,303.9,293.4
2020-03-24,300.0,264.4,309.9,269.0
2020-03-25,263.4,245.4,288.35,277.85
2020-03-26,277.85,273.1,294.0,285.5
2020-03-27,297.0,280.8,305.0,294.5
2020-03-30,281.7,270.0,284.85,274.4
2020-03-31,283.85,277.8,287.2,284.95
2020-04-01,281.0,265.5,283.0,272.85
2020-04-03,274.0,271.35,290.0,280.7
2020-04-07,295.5,292.75,323.8,321.0
2020-04-08,315.0,312.8,350.4,326.4
2020-04-09,335.75,332.4,391.65,381.4
2020-04-13,380.0,355.0,380.0,362.85
2020-04-15,373.05,349.3,379.9,353.15
2020-04-16,343.1,343.0,360.45,356.7
2020-04-17,370.75,355.55,370.75,363.2
2020-04-20,367.0,354.0,367.45,355.85
2020-04-21,349.05,323.5,349.05,332.05
2020-04-22,327.0,320.6,345.75,340.2
2020-04-23,338.0,331.55,349.65,347.5
2020-04-24,342.0,332.0,344.75,334.3
2020-04-27,337.55,328.15,343.35,330.3
2020-04-28,334.45,328.5,338.0,335.95
2020-04-29,337.0,336.25,351.8,348.0
2020-04-30,355.65,355.0,368.0,366.65
2020-05-04,350.05,341.1,362.4,357.05
2020-05-05,363.75,361.45,381.8,368.15
2020-05-06,371.5,358.25,393.0,387.15
2020-05-07,387.5,385.1,403.45,400.65
2020-05-08,405.0,380.7,407.9,386.7
2020-05-11,388.5,384.35,402.0,390.1
2020-05-12,388.9,380.2,395.2,393.05
2020-05-13,415.0,404.25,418.9,413.05
2020-05-14,401.5,396.0,407.5,400.45
2020-05-15,402.75,373.2,403.95,381.3
2020-05-18,382.1,367.25,383.5,377.2
2020-05-19,384.0,371.2,391.0,382.9
2020-05-20,382.9,379.7,413.7,405.05
2020-05-21,400.15,397.8,412.2,408.3
2020-05-22,404.0,398.7,430.35,426.35
2020-05-26,427.0,421.65,435.2,429.15
2020-05-27,426.5,415.0,434.95,432.5
2020-05-28,429.5,423.85,444.0,440.4
2020-05-29,434.0,431.1,450.0,436.35
2020-06-01,441.85,441.5,470.5,461.1
2020-06-02,465.1,460.85,478.85,462.85
2020-06-03,470.0,466.5,492.6,485.1
2020-06-04,485.3,469.4,486.25,478.45
2020-06-05,479.0,475.4,489.45,484.2
2020-06-08,485.5,468.25,494.15,470.85
2020-06-09,473.8,463.3,482.8,478.75
2020-06-10,476.15,468.85,483.7,472.05
2020-06-11,472.0,469.5,480.0,474.55
2020-06-12,457.0,456.1,512.9,508.45
2020-06-15,505.15,498.7,520.95,508.15
2020-06-16,517.1,501.3,519.0,506.75
2020-06-17,504.9,492.5,504.9,497.6
2020-06-18,496.9,492.0,508.9,506.6
2020-06-19,506.6,496.4,506.6,500.05
2020-06-22,501.75,494.1,502.25,498.75
2020-06-23,500.0,497.6,519.9,516.4
2020-06-24,520.0,512.55,527.65,515.35
2020-06-25,509.9,503.35,516.35,507.25
2020-06-26,515.0,498.7,515.25,501.4
2020-06-29,494.1,493.05,510.95,507.45
2020-06-30,509.0,507.1,515.5,510.7
2020-07-01,513.75,494.25,521.4,498.95
2020-07-02,506.5,504.4,532.0,529.7
2020-07-03,531.4,524.2,535.5,530.5
