Date,Open,Low,High,Close
2020-01-15,123.0,122.35,125.0,123.85
2020-01-16,123.4,120.95,123.4,121.45
2020-01-17,121.45,120.6,121.7,121.2
2020-01-20,121.0,117.8,121.75,118.25
2020-01-21,118.4,116.95,119.55,117.15
2020-01-22,114.95,111.5,115.75,112.15
2020-01-23,112.6,112.3,114.45,113.5
2020-01-24,114.0,113.55,116.3,114.75
2020-01-27,115.0,112.6,115.3,113.15
2020-01-28,113.75,110.9,113.75,112.05
2020-01-29,112.1,111.75,114.9,113.2
2020-01-30,113.45,112.05,114.8,113.65
2020-01-31,113.75,111.5,115.25,112.85
2020-02-01,112.85,108.05,112.85,109.3
2020-02-03,109.45,107.2,111.65,110.25
2020-02-04,110.35,110.25,112.3,112.0
2020-02-05,111.3,110.5,112.6,111.2
2020-02-06,110.5,110.5,112.5,112.0
2020-02-07,112.4,112.3,116.25,115.6
2020-02-10,115.8,112.05,115.9,113.5
2020-02-11,114.5,114.1,117.55,116.85
2020-02-12,117.0,116.4,118.9,116.8
2020-02-13,116.8,114.7,117.1,115.15
2020-02-14,114.8,111.9,115.5,112.7
2020-02-17,113.1,109.2,113.75,110.3
2020-02-18,109.6,103.8,110.9,109.6
2020-02-19,112.3,110.4,113.75,112.05
2020-02-20,111.7,110.95,112.4,111.35
2020-02-24,110.75,108.85,110.75,109.7
2020-02-25,110.9,109.65,112.45,110.1
2020-02-26,110.0,108.25,111.55,109.1
2020-02-27,109.2,106.65,110.3,109.05
2020-02-28,106.65,105.35,110.2,106.55
2020-03-02,109.35,102.7,110.0,103.9
2020-03-03,104.65,104.3,109.95,108.9
2020-03-04,108.65,107.5,111.0,107.95
2020-03-05,108.1,107.05,109.65,107.85
2020-03-06,104.75,102.9,107.2,105.15
2020-03-09,104.0,99.55,104.4,102.9
2020-03-11,103.0,101.5,104.8,103.05
2020-03-12,99.0,93.25,100.0,94.35
2020-03-13,90.0,81.25,100.75,98.05
2020-03-16,96.0,88.25,96.0,90.8
2020-03-17,91.0,86.35,95.9,88.1
2020-03-18,89.0,74.9,90.35,80.55
2020-03-19,78.55,75.05,84.95,78.35
2020-03-20,78.5,76.35,82.35,81.25
2020-03-23,74.9,73.2,80.0,76.4
2020-03-24,78.1,75.05,79.6,77.55
2020-03-25,78.0,75.3,80.5,79.7
2020-03-26,82.0,76.4,82.2,79.65
2020-03-27,82.5,80.25,84.4,83.0
2020-03-30,79.9,79.2,83.5,81.75
2020-03-31,82.75,81.15,84.8,84.2
2020-04-01,84.3,80.6,84.35,81.0
2020-04-03,82.05,78.85,82.1,79.55
2020-04-07,81.6,80.1,82.05,81.55
2020-04-08,81.55,80.3,86.8,85.2
2020-04-09,88.35,85.3,88.35,87.1
2020-04-13,87.1,84.75,89.15,88.65
2020-04-15,88.95,88.7,94.2,89.9
2020-04-16,87.25,87.0,96.3,95.1
2020-04-17,101.0,95.0,101.0,95.5
2020-04-20,97.0,93.4,99.3,98.9
2020-04-21,96.5,95.55,98.4,97.3
2020-04-22,97.3,94.9,98.65,97.6
2020-04-23,97.45,94.55,97.7,95.2
2020-04-24,94.75,91.95,96.35,93.4
2020-04-27,94.4,91.9,94.4,92.35
2020-04-28,92.15,88.65,92.9,90.35
2020-04-29,91.45,89.75,92.35,90.2
2020-04-30,91.35,90.4,97.0,95.05
2020-05-04,91.05,90.5,93.65,91.45
2020-05-05,92.2,91.35,94.95,92.6
2020-05-06,92.95,92.2,95.45,94.7
2020-05-07,94.1,90.15,94.4,90.45
2020-05-08,91.0,85.75,92.45,87.0
2020-05-11,88.2,85.85,89.45,86.65
2020-05-12,86.5,85.65,93.25,91.65
2020-05-13,94.95,92.65,98.5,93.05
2020-05-14,93.3,87.5,93.5,89.35
2020-05-15,90.0,89.2,91.8,90.85
2020-05-18,90.5,87.85,90.5,88.9
2020-05-19,89.6,88.2,91.9,91.05
2020-05-20,89.9,89.3,93.4,92.9
2020-05-21,92.15,89.8,92.65,90.25
2020-05-22,89.9,88.35,91.2,90.95
2020-05-26,90.15,90.15,93.4,93.0
2020-05-27,93.0,91.15,95.2,94.7
2020-05-28,95.25,94.5,96.5,95.7
2020-05-29,94.7,94.3,98.85,97.85
2020-06-01,98.4,97.15,99.65,97.9
2020-06-02,98.75,96.05,98.95,96.75
2020-06-03,97.75,94.4,97.8,94.7
2020-06-04,94.15,92.75,95.5,95.15
2020-06-05,95.0,94.15,98.2,97.95
2020-06-08,98.95,97.75,100.2,98.55
2020-06-09,99.0,97.2,99.7,98.0
2020-06-10,98.15,97.25,100.15,98.15
2020-06-11,98.15,96.8,99.7,98.05
2020-06-12,94.5,94.3,97.95,96.9
2020-06-15,96.7,92.6,96.95,93.2
2020-06-16,94.95,92.25,95.1,92.8
2020-06-17,92.95,90.85,93.1,91.5
2020-06-18,91.8,89.9,94.3,92.7
2020-06-19,93.05,92.4,94.05,93.0
2020-06-22,94.1,93.35,95.85,95.3
2020-06-23,95.1,95.0,101.15,100.75
2020-06-24,102.0,96.75,103.8,97.05
2020-06-25,97.05,94.35,98.55,96.1
2020-06-26,96.4,95.55,97.4,97.0
2020-06-29,97.65,94.45,98.05,94.9
2020-06-30,97.0,95.2,97.75,95.8
2020-07-01,94.7,92.3,94.7,93.6
2020-07-02,94.5,93.15,94.5,93.4
2020-07-03,93.6,92.75,95.35,94.5
2020-07-06,95.9,94.85,96.4,95.2
2020-07-07,95.4,92.25,95.45,92.55
2020-07-08,92.85,90.85,92.85,91.0
2020-07-09,91.3,90.8,92.0,91.2
2020-07-10,91.2,89.75,91.3,90.4
2020-07-13,91.05,89.5,92.85,89.9
2020-07-14,89.8,87.4,89.9,87.65
2020-07-15,88.3,87.75,89.75,88.05
2020-07-16,88.2,85.85,88.4,86.75
2020-07-17,87.2,87.0,88.65,88.3
2020-07-20,88.9,87.0,88.9,87.15
2020-07-21,88.0,86.8,88.65,88.35
2020-07-22,88.75,88.7,92.6,90.35
2020-07-23,90.9,90.25,91.6,90.55
2020-07-24,90.3,88.55,90.5,89.4
2020-07-27,89.55,87.25,89.6,87.65
2020-07-28,87.9,86.9,88.8,88.55
2020-07-29,88.5,87.9,89.65,88.15
2020-07-30,88.55,86.1,89.0,86.6
2020-07-31,86.9,86.3,87.6,87.0
2020-08-03,87.2,85.0,87.2,85.6
2020-08-04,86.5,85.35,87.0,85.6
2020-08-05,85.9,85.4,86.6,85.9
2020-08-06,86.5,85.6,87.45,86.15
2020-08-07,86.2,85.35,86.7,85.8
2020-08-10,86.8,86.15,88.7,88.2
2020-08-11,89.0,87.8,89.6,88.25
2020-08-12,88.0,87.05,89.15,88.7
2020-08-13,87.4,86.5,87.5,87.25
2020-08-14,87.35,86.7,89.85,88.4
2020-08-17,89.4,89.4,96.5,95.3
2020-08-18,96.2,94.05,97.8,95.05
2020-08-19,96.0,94.25,96.5,94.65
2020-08-20,94.6,94.25,101.9,101.1
2020-08-21,102.7,101.6,107.85,105.95
2020-08-24,107.1,103.75,108.0,105.4
2020-08-25,106.0,103.2,107.4,103.8
2020-08-26,104.6,101.6,104.6,102.8
2020-08-27,103.2,102.0,103.9,102.6
2020-08-28,103.15,101.25,104.25,101.55
2020-08-31,102.6,95.5,102.7,96.4
2020-09-01,97.5,96.5,101.15,99.8
2020-09-02,99.8,98.3,100.5,98.95
2020-09-03,99.0,96.9,99.7,97.7
2020-09-04,96.05,94.0,97.45,94.7
2020-09-07,94.8,92.05,96.0,92.4
2020-09-08,93.25,90.3,93.25,90.65
2020-09-09,90.1,88.5,91.25,90.4
2020-09-10,91.0,89.25,91.5,90.55
2020-09-11,90.2,89.45,90.9,90.1
2020-09-14,90.4,89.75,91.95,90.85
2020-09-15,90.9,90.55,92.75,91.1
2020-09-16,91.6,89.3,91.6,89.65
2020-09-17,89.05,88.3,89.45,88.65
2020-09-18,89.05,88.7,91.1,90.55
2020-09-21,91.15,87.35,91.35,88.3
2020-09-22,88.3,85.3,89.55,87.7
2020-09-23,87.65,84.2,88.15,85.1
2020-09-24,84.1,82.15,85.65,82.65
2020-09-25,83.35,82.35,85.15,84.8
2020-09-28,85.6,85.1,88.25,87.5
2020-09-29,88.5,84.65,88.9,85.15
2020-09-30,85.6,83.4,85.85,85.1
2020-10-01,85.8,84.5,85.8,84.9
2020-10-05,85.0,83.8,85.45,84.45
2020-10-06,84.45,83.65,84.65,84.15
2020-10-07,84.2,82.25,84.25,82.8
2020-10-08,83.1,82.35,83.35,82.6
2020-10-09,82.85,81.65,83.15,82.9
2020-10-12,83.65,82.4,84.55,82.75
2020-10-13,82.8,82.4,83.4,82.65
2020-10-14,82.8,78.1,83.05,79.1
2020-10-15,79.1,78.5,80.5,79.0
2020-10-16,79.0,78.45,80.5,80.3
2020-10-19,80.95,80.5,83.15,81.65
2020-10-20,81.65,80.3,81.95,80.65
2020-10-21,81.45,80.65,83.8,82.3
2020-10-22,82.3,81.4,85.9,84.65
2020-10-23,86.0,84.5,86.6,86.25
2020-10-26,87.1,84.3,88.0,85.95
2020-10-27,88.8,87.05,90.05,89.45
2020-10-28,89.45,87.5,90.65,88.1
2020-10-29,87.0,86.0,88.5,86.5
2020-10-30,86.9,86.3,88.75,87.6
2020-11-02,88.3,87.95,89.6,89.2
2020-11-03,91.45,83.05,92.0,85.95
2020-11-04,86.15,84.5,87.1,85.1
2020-11-05,85.85,85.6,87.0,86.8
2020-11-06,87.2,86.9,88.75,87.3
2020-11-09,88.65,87.7,89.85,89.45
2020-11-10,89.8,89.55,91.75,91.5
2020-11-11,92.0,91.7,93.5,92.9
2020-11-12,92.4,90.4,92.6,90.8
2020-11-13,90.0,89.2,92.35,91.45
2020-11-14,90.55,90.3,92.4,90.9
2020-11-17,91.75,88.25,92.4,88.7
2020-11-18,88.7,88.1,89.55,88.3
2020-11-19,88.4,88.0,91.9,89.8
2020-11-20,90.25,89.9,92.1,91.8
2020-11-23,92.9,92.0,94.4,93.65
2020-11-24,94.25,93.75,94.8,94.15
2020-11-25,94.45,92.85,94.9,93.95
2020-11-26,93.95,93.4,94.8,94.1
2020-11-27,95.75,91.8,97.05,94.7
2020-12-01,94.7,93.45,96.2,93.75
2020-12-02,94.65,93.8,95.2,94.8
2020-12-03,95.85,95.3,99.15,98.55
2020-12-04,99.2,97.5,99.8,98.55
2020-12-07,99.0,98.7,101.15,99.75
2020-12-08,100.55,97.8,100.85,98.2
2020-12-09,99.25,97.9,99.9,98.3
2020-12-10,98.4,96.5,99.35,97.15
2020-12-11,97.9,97.65,102.9,102.4
2020-12-14,103.45,103.0,105.35,104.6
2020-12-15,105.1,102.85,106.4,105.85
2020-12-16,106.95,104.55,107.25,104.9
2020-12-17,105.65,104.0,105.65,104.45
2020-12-18,104.55,102.85,104.8,103.75
2020-12-21,103.7,94.75,103.95,97.5
2020-12-22,97.35,96.5,99.8,98.9
2020-12-23,99.05,97.8,99.4,98.55
2020-12-24,99.3,99.0,101.5,99.95
2020-12-28,100.85,100.0,101.55,100.45
2020-12-29,100.5,97.95,101.05,98.6
2020-12-30,99.0,98.2,99.65,99.1
2020-12-31,98.1,98.0,100.25,99.35
2021-01-01,99.95,98.8,100.2,99.05
2021-01-04,99.75,98.5,100.0,99.05
2021-01-05,98.4,97.0,98.4,97.6
2021-01-06,98.0,97.25,99.0,97.85
2021-01-07,98.1,96.85,98.5,97.0
2021-01-08,97.6,97.35,100.5,100.15
2021-01-11,100.75,98.7,101.25,99.0
2021-01-12,99.0,98.3,101.0,100.15
2021-01-13,100.25,100.15,104.35,102.55
2021-01-14,103.7,101.7,103.85,102.2
2021-01-15,102.5,99.9,103.6,100.45
2021-01-18,100.45,96.8,100.9,97.55
2021-01-19,98.0,97.55,100.85,99.65
2021-01-20,99.6,98.0,99.7,98.3
2021-01-21,98.7,95.6,99.15,96.1
2021-01-22,96.3,92.9,96.5,94.05
2021-01-25,95.05,92.7,95.3,93.2
2021-01-27,93.0,90.8,93.1,91.3
2021-01-28,90.8,90.35,92.65,91.6
2021-01-29,92.0,88.15,92.6,88.95
2021-02-01,89.35,88.4,92.4,92.0
2021-02-02,92.9,92.9,95.35,94.15
2021-02-03,95.1,94.3,98.1,96.95
2021-02-04,97.3,97.0,100.2,99.05
2021-02-05,100.4,98.15,102.0,99.5
2021-02-08,96.2,96.1,100.95,100.3
2021-02-09,100.4,99.5,101.2,99.95
2021-02-10,100.0,98.65,100.5,99.85
2021-02-11,97.9,96.25,97.9,97.3
2021-02-12,97.8,94.8,97.9,95.95
2021-02-15,96.45,95.0,96.7,95.2
2021-02-16,95.85,95.5,99.15,98.0
2021-02-17,97.85,97.0,100.15,99.35
2021-02-18,99.7,99.55,104.25,103.4
2021-02-19,103.65,101.4,106.75,104.2
2021-02-22,104.3,101.4,106.3,102.05
2021-02-23,102.15,100.55,104.15,103.4
2021-02-24,104.5,102.1,104.7,103.2
2021-02-25,103.6,103.0,110.2,108.0
2021-02-26,107.1,104.8,110.95,107.3
2021-03-01,109.5,107.15,109.8,108.45
2021-03-02,108.45,107.9,113.7,112.55
2021-03-03,114.45,112.0,114.7,112.7
2021-03-04,111.5,110.5,113.0,110.8
2021-03-05,111.0,108.4,112.35,108.7
2021-03-08,110.65,109.5,113.3,110.55
2021-03-09,111.4,107.45,111.85,109.5
2021-03-10,110.35,108.95,110.6,109.65
2021-03-12,111.0,108.6,112.1,109.1
2021-03-15,109.95,107.7,111.0,110.5
2021-03-16,110.55,109.3,111.45,109.55
2021-03-17,109.7,106.15,109.9,106.55
2021-03-18,107.4,103.2,108.25,103.8
2021-03-19,102.35,102.0,109.55,108.5
2021-03-22,108.8,106.85,110.55,109.85
2021-03-23,110.0,108.1,110.2,108.65
2021-03-24,108.0,105.6,109.4,106.0
2021-03-25,106.0,102.65,106.5,103.0
2021-03-26,105.75,103.7,105.75,104.2
2021-03-30,105.85,104.6,108.7,107.7
2021-03-31,107.7,106.1,109.0,106.55
2021-04-01,107.5,106.95,108.75,107.9
2021-04-05,107.4,103.75,107.8,106.3
2021-04-06,107.75,105.8,108.1,106.05
2021-04-07,106.9,105.25,107.35,105.45
2021-04-08,106.0,104.7,106.45,105.0
2021-04-09,105.95,102.4,105.95,102.8
2021-04-12,101.5,98.05,101.5,99.05
2021-04-13,99.6,99.25,101.15,100.6
2021-04-15,101.2,99.3,103.0,101.35
2021-04-16,101.9,100.5,102.9,102.45
2021-04-19,100.0,98.65,100.4,99.05
2021-04-20,99.2,98.15,100.9,99.05
2021-04-22,98.05,97.05,99.75,98.95
2021-04-23,98.0,98.0,103.0,102.55
2021-04-26,103.95,100.85,103.95,102.4
2021-04-27,102.05,101.7,103.55,102.05
2021-04-28,102.85,102.15,103.95,103.6
2021-04-29,104.6,102.65,105.0,103.05
2021-04-30,102.25,102.05,105.65,102.45
2021-05-03,101.4,101.05,104.6,104.25
2021-05-04,104.3,103.5,106.05,103.75
2021-05-05,104.75,102.8,105.65,103.9
2021-05-06,105.0,102.65,105.1,103.05
2021-05-07,104.0,103.35,105.5,105.05
2021-05-10,106.0,105.6,108.0,107.7
2021-05-11,108.0,106.7,113.4,112.7
2021-05-12,114.2,111.75,116.75,113.3
2021-05-14,113.95,110.15,113.95,111.4
2021-05-17,111.2,109.95,112.25,111.55
2021-05-18,112.6,111.75,114.2,112.1
2021-05-19,113.15,110.95,113.15,111.95
2021-05-20,112.0,110.9,112.75,111.75
2021-05-21,112.3,111.25,113.15,112.85
