Date,Open,Low,High,Close
2020-01-15,125.05,124.25,125.5,124.65
2020-01-16,125.0,124.05,125.2,124.5
2020-01-17,124.55,124.0,125.55,125.4
2020-01-20,126.0,120.0,126.75,122.9
2020-01-21,123.05,122.4,124.5,122.75
2020-01-22,122.0,116.0,122.0,116.4
2020-01-23,117.25,116.4,118.95,117.8
2020-01-24,118.0,117.3,119.8,118.35
2020-01-27,118.35,116.8,118.5,117.25
2020-01-28,117.55,115.6,117.7,116.6
2020-01-29,117.35,116.45,118.15,117.65
2020-01-30,117.55,115.0,117.55,115.6
2020-01-31,115.8,106.75,116.0,108.95
2020-02-01,109.0,102.7,109.55,104.35
2020-02-03,104.35,101.55,104.95,103.45
2020-02-04,104.1,103.8,106.9,106.15
2020-02-05,106.4,105.1,107.4,106.8
2020-02-06,106.8,106.3,107.8,107.25
2020-02-07,107.3,106.55,109.75,109.25
2020-02-10,109.15,105.75,109.15,106.2
2020-02-11,107.15,106.3,107.65,106.8
2020-02-12,107.0,106.5,107.8,106.7
2020-02-13,107.0,104.25,108.2,105.35
2020-02-14,105.55,103.0,106.3,103.3
2020-02-17,101.5,98.8,102.9,99.95
2020-02-18,99.95,96.55,100.25,99.3
2020-02-19,100.3,98.8,102.2,101.7
2020-02-20,102.0,101.7,104.1,102.8
2020-02-24,102.5,97.2,102.5,98.05
2020-02-25,98.7,97.25,100.25,97.55
2020-02-26,97.4,95.5,98.5,95.8
2020-02-27,95.7,92.05,96.2,93.35
2020-02-28,90.3,89.5,92.7,91.95
2020-03-02,94.0,88.25,95.0,89.1
2020-03-03,90.9,89.65,94.0,93.35
2020-03-04,94.2,90.7,94.9,92.8
2020-03-05,93.35,92.0,94.4,92.6
2020-03-06,89.5,87.65,91.5,88.5
2020-03-09,82.15,74.0,82.5,74.55
2020-03-11,76.75,71.05,77.4,71.7
2020-03-12,66.6,62.0,68.4,62.5
2020-03-13,59.4,50.0,67.0,65.9
2020-03-16,63.5,60.0,65.2,60.15
2020-03-17,61.1,59.65,63.0,60.0
2020-03-18,61.6,57.5,86.8,68.15
2020-03-19,62.15,58.1,64.0,61.05
2020-03-20,63.05,62.75,74.4,72.35
2020-03-23,60.65,60.0,65.5,60.4
2020-03-24,63.5,60.1,64.7,62.5
2020-03-25,61.2,60.0,63.0,61.55
2020-03-26,61.85,59.65,65.6,64.75
2020-03-27,66.0,62.8,66.0,64.45
2020-03-30,61.05,60.1,65.65,63.35
2020-03-31,65.0,63.55,69.65,68.3
2020-04-01,67.0,65.1,67.25,65.75
2020-04-03,69.0,66.5,71.0,69.85
2020-04-07,71.2,70.2,74.4,72.9
2020-04-08,72.4,71.0,76.35,74.45
2020-04-09,76.0,76.0,77.65,77.3
2020-04-13,78.8,72.65,78.8,75.05
2020-04-15,75.1,73.5,76.45,74.35
2020-04-16,74.0,73.4,76.5,75.45
2020-04-17,77.8,75.15,77.8,76.3
2020-04-20,75.35,73.8,75.65,74.0
2020-04-21,69.7,67.2,70.75,69.35
2020-04-22,65.9,60.8,66.35,65.35
2020-04-23,67.5,66.55,69.05,67.35
2020-04-24,67.15,66.6,69.5,67.6
2020-04-27,68.0,67.65,69.5,68.45
2020-04-28,67.8,67.1,69.7,69.2
2020-04-29,69.4,68.7,70.95,70.5
2020-04-30,72.6,71.5,81.05,79.9
2020-05-04,76.0,74.05,77.85,76.55
2020-05-05,78.9,78.15,81.9,78.45
2020-05-06,81.35,77.45,81.35,79.25
2020-05-07,78.3,75.1,78.3,75.6
2020-05-08,76.4,74.75,77.2,76.0
2020-05-11,76.0,74.5,78.15,77.05
2020-05-12,76.95,74.5,77.35,76.3
2020-05-13,79.0,76.25,79.05,78.2
2020-05-14,77.0,75.2,77.35,76.15
2020-05-15,77.25,75.9,78.5,76.15
2020-05-18,76.95,72.4,76.95,72.9
2020-05-19,74.4,74.1,78.7,77.15
2020-05-20,77.2,76.3,78.5,78.0
2020-05-21,78.75,76.4,79.0,77.0
2020-05-22,76.95,75.4,76.95,76.15
2020-05-26,77.0,76.6,78.2,77.0
2020-05-27,77.2,75.9,78.2,77.95
2020-05-28,77.5,77.4,80.95,78.85
2020-05-29,78.05,77.4,83.75,83.2
2020-06-01,85.0,83.65,86.5,83.95
2020-06-02,84.45,82.6,84.9,84.3
2020-06-03,86.05,85.3,87.45,86.3
2020-06-04,85.0,84.0,86.05,84.9
2020-06-05,85.1,85.0,88.8,86.95
2020-06-08,90.0,89.2,93.1,90.95
2020-06-09,91.95,89.35,92.4,90.0
2020-06-10,90.6,87.7,91.5,88.25
2020-06-11,88.3,86.5,89.55,86.9
2020-06-12,81.55,81.55,84.2,83.9
2020-06-15,84.0,83.0,85.9,84.1
2020-06-16,85.5,82.35,85.75,83.9
2020-06-17,83.6,83.2,84.75,84.2
2020-06-18,83.0,81.8,83.95,83.6
2020-06-19,85.5,84.3,86.3,85.75
2020-06-22,86.1,84.1,86.2,84.85
2020-06-23,85.5,84.4,86.5,85.65
2020-06-24,86.25,82.55,86.65,83.1
2020-06-25,82.25,80.0,84.0,81.6
2020-06-26,83.1,82.5,84.8,84.15
2020-06-29,83.95,81.6,84.1,82.4
2020-06-30,83.5,80.65,83.55,81.35
2020-07-01,79.0,78.3,80.95,80.45
2020-07-02,81.35,81.1,84.15,81.85
2020-07-03,82.45,81.6,83.35,82.4
2020-07-06,83.05,82.8,84.9,83.75
2020-07-07,83.75,81.8,83.8,81.95
2020-07-08,82.0,81.0,82.9,81.3
2020-07-09,81.6,79.9,82.25,80.2
2020-07-10,80.0,77.7,80.15,78.55
2020-07-13,79.2,78.4,79.55,78.9
2020-07-14,78.5,77.15,78.95,77.35
2020-07-15,78.0,75.85,78.2,76.25
2020-07-16,76.4,75.0,76.7,76.15
2020-07-17,76.3,76.3,80.65,80.35
2020-07-20,81.0,79.2,81.25,80.3
