Date,Open,Low,High,Close
2020-01-15,195.4,192.9,195.8,194.25
2020-01-16,194.1,194.1,197.7,196.45
2020-01-17,195.95,193.65,197.85,197.4
2020-01-20,204.4,203.25,211.0,204.65
2020-01-21,203.65,199.0,204.3,200.6
2020-01-22,200.5,193.05,202.35,200.05
2020-01-23,196.75,193.9,207.4,201.95
2020-01-24,196.45,194.25,198.15,196.95
2020-01-27,196.4,192.3,196.45,193.0
2020-01-28,193.0,189.1,193.0,190.45
2020-01-29,190.45,189.25,193.8,192.4
2020-01-30,192.4,191.4,195.25,194.4
2020-01-31,195.3,185.1,195.5,186.85
2020-02-01,186.8,176.95,186.8,182.4
2020-02-03,180.9,177.45,189.0,187.35
2020-02-04,188.35,188.0,195.3,194.35
2020-02-05,194.1,188.0,195.7,189.35
2020-02-06,189.95,188.65,193.75,192.9
2020-02-07,192.8,188.55,192.8,190.4
2020-02-10,190.7,184.75,191.1,186.6
2020-02-11,188.5,188.1,191.2,189.5
2020-02-12,190.05,188.55,191.9,189.35
2020-02-13,188.8,187.7,191.15,190.55
2020-02-14,190.5,183.4,191.4,184.1
2020-02-17,185.0,180.55,185.8,183.6
2020-02-18,182.6,180.85,186.35,185.0
2020-02-19,186.0,183.0,187.95,187.5
2020-02-20,187.5,185.9,190.7,189.25
2020-02-24,189.0,185.05,189.2,186.1
2020-02-25,186.1,185.35,187.7,186.15
2020-02-26,185.0,183.95,188.4,185.85
2020-02-27,185.1,181.3,187.7,186.45
2020-02-28,183.45,179.15,185.3,181.5
2020-03-02,183.75,181.75,187.2,183.5
2020-03-03,183.8,182.05,194.7,191.7
2020-03-04,190.7,188.55,198.0,197.05
2020-03-05,196.05,194.55,199.55,195.95
2020-03-06,190.5,188.15,192.6,190.6
2020-03-09,184.9,177.95,188.6,180.95
2020-03-11,179.5,177.25,183.9,181.4
2020-03-12,176.2,164.75,177.9,166.1
2020-03-13,162.8,149.5,172.6,167.9
2020-03-16,162.4,155.0,162.9,157.95
2020-03-17,156.55,155.75,170.35,162.0
2020-03-18,164.0,122.15,164.9,144.15
2020-03-19,145.4,140.1,151.9,147.15
2020-03-20,148.25,148.25,161.85,157.25
2020-03-23,141.55,141.55,155.85,153.0
2020-03-24,152.05,145.4,157.2,147.3
2020-03-25,148.5,148.35,156.95,150.25
2020-03-26,150.6,147.25,161.7,158.35
2020-03-27,158.6,156.65,166.25,160.0
2020-03-30,155.0,153.05,159.9,155.65
2020-03-31,158.4,156.4,161.8,159.1
2020-04-01,159.0,153.15,161.95,154.6
2020-04-03,154.55,151.75,160.45,156.2
2020-04-07,161.0,156.4,161.9,158.0
2020-04-08,157.9,155.25,162.7,158.35
2020-04-09,160.9,158.35,166.7,164.45
2020-04-13,164.0,157.25,164.9,159.95
2020-04-15,161.45,158.45,163.9,159.55
2020-04-16,158.2,157.5,166.7,163.4
2020-04-17,167.65,164.25,173.25,167.75
2020-04-20,169.2,162.15,169.2,165.5
2020-04-21,164.0,162.15,166.0,162.65
2020-04-22,160.0,156.6,162.75,162.2
2020-04-23,161.5,157.6,161.9,158.0
2020-04-24,157.0,155.75,160.1,159.15
2020-04-27,161.5,157.65,161.5,159.6
2020-04-28,160.05,156.8,160.4,157.2
2020-04-29,159.5,156.0,160.6,158.05
2020-04-30,159.6,157.2,163.45,162.05
2020-05-04,160.9,157.6,161.5,159.05
2020-05-05,161.45,160.2,165.85,163.65
2020-05-06,162.9,162.7,166.65,165.4
2020-05-07,163.65,161.0,165.0,161.75
2020-05-08,162.6,158.1,162.6,159.0
2020-05-11,159.3,158.35,162.4,158.8
2020-05-12,158.5,157.7,165.0,163.3
2020-05-13,171.45,162.05,171.9,166.65
2020-05-14,164.0,160.0,164.0,160.8
2020-05-15,159.2,158.25,161.75,159.8
2020-05-18,159.85,153.3,160.2,154.5
2020-05-19,155.0,154.0,159.3,158.05
2020-05-20,156.25,155.75,160.65,158.45
2020-05-21,157.55,157.0,159.85,158.9
2020-05-22,157.0,154.1,158.0,155.85
2020-05-26,156.15,155.5,158.7,157.35
2020-05-27,157.35,155.75,157.9,157.15
2020-05-28,158.35,156.05,158.35,157.25
2020-05-29,157.25,156.6,158.65,157.55
2020-06-01,158.55,157.7,161.05,158.85
2020-06-02,159.85,158.6,168.35,165.05
2020-06-03,165.5,163.85,167.5,164.55
2020-06-04,165.2,165.1,169.95,169.25
2020-06-05,167.0,164.55,174.3,171.45
2020-06-08,173.45,170.85,174.9,172.35
2020-06-09,174.0,170.0,174.05,170.55
2020-06-10,170.55,168.6,171.25,170.05
2020-06-11,168.05,167.85,178.3,171.0
2020-06-12,166.05,165.6,169.4,166.3
2020-06-15,165.2,162.6,166.0,163.25
2020-06-16,165.7,161.45,166.25,162.7
2020-06-17,160.85,158.35,161.8,159.5
2020-06-18,160.7,159.5,166.3,165.45
2020-06-19,165.85,165.05,172.3,171.4
2020-06-22,176.4,170.65,179.75,178.6
2020-06-23,181.5,179.05,189.0,187.45
2020-06-24,186.75,177.0,188.4,178.5
2020-06-25,178.4,174.35,183.3,179.35
2020-06-26,180.95,178.15,182.1,179.2
2020-06-29,178.0,177.15,180.3,178.25
2020-06-30,179.0,174.0,179.95,174.85
2020-07-01,175.0,171.9,175.4,173.45
2020-07-02,173.5,172.6,176.8,175.1
2020-07-03,176.0,175.1,179.4,177.6
2020-07-06,178.4,175.8,178.7,178.0
2020-07-07,178.5,171.7,178.5,173.1
2020-07-08,173.0,168.8,174.65,169.75
2020-07-09,170.5,169.5,172.5,171.55
2020-07-10,171.6,169.5,173.75,172.6
2020-07-13,172.6,168.2,174.2,169.1
2020-07-14,168.5,163.0,168.8,163.35
2020-07-15,165.05,163.1,166.3,163.55
2020-07-16,164.5,159.5,164.5,162.2
2020-07-17,161.65,161.65,163.85,163.3
2020-07-20,163.3,162.35,164.25,163.5
2020-07-21,164.1,164.1,174.45,173.65
2020-07-22,174.0,173.8,181.4,179.65
2020-07-23,178.0,177.45,182.55,181.75
2020-07-24,179.5,178.65,183.25,182.0
2020-07-27,181.3,178.75,181.55,180.9
2020-07-28,180.2,178.7,182.85,181.9
2020-07-29,181.3,180.5,184.5,181.75
2020-07-30,182.5,175.6,183.25,176.85
2020-07-31,176.6,176.2,179.35,178.3
2020-08-03,179.0,174.1,179.5,178.55
2020-08-04,177.85,175.6,179.05,178.25
2020-08-05,177.05,175.15,177.95,175.95
2020-08-06,176.65,175.4,177.75,175.9
2020-08-07,175.8,175.25,177.95,175.95
2020-08-10,176.85,176.25,178.8,177.25
2020-08-11,178.15,175.55,182.35,176.85
2020-08-12,176.2,173.2,179.45,178.05
2020-08-13,179.95,176.4,180.3,178.75
2020-08-14,180.65,174.1,180.65,175.4
2020-08-17,176.0,175.6,182.5,178.65
2020-08-18,179.85,176.55,179.9,177.75
2020-08-19,178.5,177.05,179.4,177.35
2020-08-20,177.2,176.45,188.1,181.2
2020-08-21,183.0,182.6,190.5,189.1
2020-08-24,189.65,184.4,190.65,185.25
2020-08-25,186.5,183.0,186.8,184.75
2020-08-26,187.0,184.1,189.65,185.35
2020-08-27,186.9,184.7,187.65,185.2
2020-08-28,186.5,181.8,186.75,182.3
2020-08-31,183.5,178.0,185.35,178.95
2020-09-01,179.05,178.6,182.3,180.4
2020-09-02,177.95,175.25,183.1,181.2
2020-09-03,180.4,177.65,181.45,178.5
2020-09-04,177.2,173.7,178.0,175.05
2020-09-07,175.05,173.05,176.95,176.15
2020-09-08,175.85,173.75,176.0,174.9
2020-09-09,175.0,173.4,177.95,175.25
2020-09-10,176.0,174.15,178.45,177.6
2020-09-11,178.1,174.1,178.3,175.15
2020-09-14,177.5,170.75,177.5,171.5
2020-09-15,171.85,171.0,173.9,173.3
2020-09-16,173.0,170.8,173.45,171.95
2020-09-17,171.35,167.9,171.4,168.3
2020-09-18,169.1,167.3,173.0,171.9
2020-09-21,171.0,167.65,171.7,170.5
2020-09-22,168.8,166.5,170.45,168.8
2020-09-23,169.9,162.8,169.9,163.9
2020-09-24,162.25,158.5,165.05,159.35
2020-09-25,161.0,159.7,162.5,160.75
2020-09-28,161.0,161.0,169.05,168.15
2020-09-29,169.0,162.5,169.4,163.3
2020-09-30,162.95,160.3,163.25,162.45
2020-10-01,164.75,162.8,166.0,164.6
2020-10-05,164.0,162.15,166.4,162.85
2020-10-06,163.1,161.85,164.4,163.2
2020-10-07,163.0,159.0,163.2,159.6
2020-10-08,160.2,158.0,161.1,158.3
2020-10-09,158.7,156.7,159.35,158.0
2020-10-12,159.2,158.55,162.8,159.8
2020-10-13,160.0,159.2,162.0,160.45
2020-10-14,160.45,156.3,160.8,157.05
2020-10-15,156.6,154.6,157.05,155.75
2020-10-16,156.1,155.35,161.2,158.95
2020-10-19,159.95,159.4,162.4,159.75
2020-10-20,160.0,156.9,160.4,157.2
2020-10-21,157.6,157.25,166.15,163.75
2020-10-22,162.15,161.2,165.9,165.1
2020-10-23,165.1,164.7,171.4,170.15
2020-10-26,170.05,169.65,172.95,172.05
2020-10-27,172.05,171.5,175.35,173.5
2020-10-28,174.55,171.55,174.55,172.85
2020-10-29,171.05,170.25,173.3,171.6
2020-10-30,170.5,169.3,172.0,171.0
2020-11-02,172.55,171.95,174.4,173.05
2020-11-03,174.0,173.85,180.7,179.95
2020-11-04,179.95,174.65,180.0,177.1
2020-11-05,178.0,176.6,179.8,179.05
2020-11-06,178.25,177.1,179.45,178.45
2020-11-09,179.9,179.1,184.7,184.05
2020-11-10,183.3,181.55,186.85,185.9
2020-11-11,183.9,183.9,191.0,189.65
2020-11-12,190.5,187.15,190.95,189.5
2020-11-13,188.6,186.2,189.95,188.85
2020-11-14,189.0,187.0,189.9,188.0
2020-11-17,187.0,185.85,189.25,186.8
2020-11-18,186.8,184.75,189.7,185.4
2020-11-19,178.5,178.4,197.2,189.8
2020-11-20,193.5,189.1,194.0,191.85
2020-11-23,192.0,190.5,195.9,194.75
2020-11-24,195.0,193.25,197.7,194.5
2020-11-25,194.5,193.55,197.45,195.3
2020-11-26,195.15,192.85,199.15,197.65
2020-11-27,197.65,188.7,197.65,192.4
2020-12-01,194.85,191.65,196.45,192.35
2020-12-02,192.85,189.55,195.2,194.15
2020-12-03,195.0,191.0,195.1,193.45
2020-12-04,194.2,192.75,196.95,194.35
2020-12-07,193.0,192.5,197.25,193.5
2020-12-08,194.0,191.1,194.6,191.6
2020-12-09,192.9,191.1,194.75,192.7
2020-12-10,193.0,191.5,195.4,192.75
2020-12-11,194.0,192.15,195.25,193.1
2020-12-14,196.0,192.8,197.0,194.3
2020-12-15,194.4,191.35,194.7,192.8
2020-12-16,194.7,192.55,196.85,196.2
2020-12-17,193.3,191.6,195.4,193.3
2020-12-18,193.3,192.05,194.8,193.9
2020-12-21,193.0,184.45,193.2,185.5
2020-12-22,185.45,185.0,191.05,190.3
2020-12-23,191.5,189.0,191.7,189.95
2020-12-24,190.25,189.45,192.25,190.0
2020-12-28,190.2,190.0,192.3,191.55
2020-12-29,191.6,189.0,192.65,189.7
2020-12-30,190.0,186.8,190.65,190.2
2020-12-31,190.5,188.05,191.0,189.85
2021-01-01,189.0,188.5,189.9,189.5
2021-01-04,190.0,188.0,190.4,188.45
2021-01-05,189.5,186.2,189.5,188.0
2021-01-06,188.0,187.0,197.6,196.15
2021-01-07,198.0,195.5,201.8,197.05
2021-01-08,198.75,197.55,204.0,203.55
2021-01-11,204.0,201.45,205.0,203.55
2021-01-12,201.05,199.95,204.75,203.7
2021-01-13,203.8,202.6,206.6,205.0
2021-01-14,205.95,203.6,207.5,205.1
2021-01-15,203.95,202.5,205.75,203.0
2021-01-18,201.25,194.55,202.0,195.75
2021-01-19,195.55,195.25,200.0,199.65
2021-01-20,200.0,195.15,200.6,196.15
2021-01-21,196.45,194.15,197.7,195.15
2021-01-22,195.0,193.0,196.3,194.2
2021-01-25,194.45,189.6,196.8,190.2
2021-01-27,190.0,189.3,194.35,192.35
2021-01-28,190.95,185.8,190.95,187.3
2021-01-29,188.7,183.0,189.0,184.45
2021-02-01,184.45,182.5,189.45,188.9
2021-02-02,191.0,189.2,195.65,194.2
2021-02-03,194.5,194.5,210.0,206.5
2021-02-04,206.5,204.2,207.65,205.35
2021-02-05,205.65,201.25,208.3,207.1
2021-02-08,206.5,205.7,213.4,212.55
2021-02-09,210.0,210.0,217.45,210.75
2021-02-10,210.55,207.0,214.0,210.45
2021-02-11,208.85,208.35,214.8,213.75
2021-02-12,219.0,210.55,219.0,212.65
2021-02-15,214.0,211.55,215.45,212.45
2021-02-16,213.4,213.3,229.9,225.55
2021-02-17,225.5,222.2,231.2,230.05
2021-02-18,231.0,228.5,238.3,236.5
2021-02-19,233.5,228.75,236.1,232.2
2021-02-22,232.45,223.6,233.9,224.95
2021-02-23,225.75,224.65,229.1,226.1
