Date,Open,Low,High,Close
2020-01-15,1535.85,1518.25,1539.9,1523.85
2020-01-16,1529.0,1528.0,1543.35,1537.9
2020-01-17,1553.5,1553.2,1584.95,1581.0
2020-01-20,1609.0,1526.4,1609.0,1532.35
2020-01-21,1528.6,1522.0,1545.85,1533.9
2020-01-22,1544.0,1531.1,1546.75,1533.35
2020-01-23,1536.5,1520.7,1541.95,1526.85
2020-01-24,1527.0,1518.55,1536.35,1521.55
2020-01-27,1514.9,1505.0,1524.45,1506.55
2020-01-28,1508.6,1463.6,1510.0,1471.75
2020-01-29,1474.05,1464.05,1494.4,1479.85
2020-01-30,1479.0,1440.0,1479.7,1443.75
2020-01-31,1453.0,1407.2,1453.25,1411.65
2020-02-01,1405.3,1371.1,1426.95,1383.35
2020-02-03,1369.9,1363.05,1399.95,1385.5
2020-02-04,1400.0,1397.8,1432.5,1426.4
2020-02-05,1434.9,1430.3,1452.8,1448.5
2020-02-06,1454.1,1440.1,1467.0,1457.8
2020-02-07,1451.0,1428.3,1452.35,1433.65
2020-02-10,1428.0,1410.45,1445.5,1435.6
2020-02-11,1447.4,1445.05,1466.2,1452.75
2020-02-12,1456.15,1455.0,1474.85,1470.3
2020-02-13,1477.75,1462.6,1477.75,1474.15
2020-02-14,1477.25,1453.1,1501.45,1487.6
2020-02-17,1489.0,1474.3,1506.15,1478.25
2020-02-18,1475.9,1457.4,1475.9,1467.4
2020-02-19,1479.35,1475.1,1506.45,1503.8
2020-02-20,1497.0,1483.8,1508.0,1485.95
2020-02-24,1469.75,1439.55,1477.0,1444.95
2020-02-25,1451.4,1410.0,1451.4,1416.4
2020-02-26,1410.0,1387.35,1412.35,1392.0
2020-02-27,1388.0,1369.0,1393.8,1386.25
2020-02-28,1354.9,1325.0,1357.0,1328.65
2020-03-02,1355.1,1301.1,1369.0,1316.15
2020-03-03,1329.7,1322.0,1353.9,1342.85
2020-03-04,1352.0,1307.9,1353.8,1339.7
2020-03-05,1352.2,1306.0,1357.95,1311.15
