Date,Open,Low,High,Close
2020-01-15,988.0,981.0,1002.0,998.15
2020-01-16,1000.0,992.0,1003.0,999.9
2020-01-17,999.8,985.25,1009.8,996.35
2020-01-20,1000.0,975.5,1001.0,981.5
2020-01-21,980.0,970.2,987.0,972.75
2020-01-22,980.0,972.0,992.6,981.7
2020-01-23,985.4,980.2,1004.0,985.95
2020-01-24,986.0,977.0,1020.0,999.8
2020-01-27,999.8,987.35,1014.7,992.15
2020-01-28,993.0,975.75,1007.0,987.85
2020-01-29,992.0,988.0,1012.15,1007.8
2020-01-30,1014.0,989.3,1017.0,998.25
2020-01-31,1005.0,983.15,1006.0,994.1
2020-02-01,998.0,885.0,1012.9,893.1
2020-02-03,895.0,856.65,921.85,912.65
2020-02-04,912.0,896.0,922.9,911.6
2020-02-05,913.6,898.5,915.8,910.55
2020-02-06,916.1,912.05,925.0,919.5
2020-02-07,920.0,915.55,955.45,947.3
2020-02-10,952.0,938.0,956.25,952.8
2020-02-11,960.45,935.8,960.45,939.75
2020-02-12,944.75,925.0,948.8,932.85
2020-02-13,937.0,916.0,937.0,927.55
2020-02-14,932.4,907.0,932.4,914.25
2020-02-17,915.5,904.0,919.45,914.4
2020-02-18,915.0,907.1,921.45,916.05
2020-02-19,918.1,918.1,942.45,938.2
2020-02-20,939.7,921.7,945.0,928.75
2020-02-24,923.6,910.0,941.5,916.6
2020-02-25,923.5,891.75,934.7,901.2
2020-02-26,893.8,881.5,914.8,891.35
2020-02-27,890.8,875.0,913.9,905.35
2020-02-28,886.0,875.0,895.0,890.4
2020-03-02,895.15,878.0,909.0,894.15
2020-03-03,903.05,892.05,914.0,899.85
2020-03-04,902.9,877.0,912.0,885.1
2020-03-05,891.35,876.55,901.45,884.45
2020-03-06,865.0,848.3,881.5,853.95
2020-03-09,836.2,803.0,861.9,825.3
2020-03-11,819.0,784.15,847.9,808.95
2020-03-12,761.0,700.0,775.7,751.7
2020-03-13,665.0,625.1,795.0,761.95
2020-03-16,701.0,661.6,772.85,731.55
2020-03-17,732.0,675.0,768.5,687.0
2020-03-18,695.05,588.15,696.95,596.25
2020-03-19,565.0,519.4,619.9,607.7
2020-03-20,627.0,606.0,680.75,633.5
2020-03-23,569.95,522.2,617.0,539.2
2020-03-24,551.4,535.0,589.95,546.25
2020-03-25,530.0,530.0,630.0,587.85
2020-03-26,603.5,595.35,665.0,618.15
2020-03-27,636.2,585.0,657.0,602.85
2020-03-30,598.9,575.0,634.5,622.0
2020-03-31,638.0,624.15,653.7,641.0
2020-04-01,641.9,628.0,659.0,635.1
2020-04-03,648.0,627.3,665.0,650.15
2020-04-07,665.0,653.0,748.3,735.3
2020-04-08,741.9,721.0,795.0,742.8
2020-04-09,755.0,735.05,773.95,739.45
2020-04-13,745.0,700.0,749.95,707.75
2020-04-15,720.0,695.1,724.95,700.9
2020-04-16,690.0,681.1,698.0,685.25
2020-04-17,703.55,687.0,721.0,702.45
2020-04-20,703.0,697.0,712.15,700.0
2020-04-21,688.0,667.0,691.15,671.3
2020-04-22,685.9,675.0,709.0,704.8
2020-04-23,712.0,709.0,732.5,717.65
2020-04-24,701.0,676.0,706.85,679.15
2020-04-27,694.75,688.15,727.0,714.1
2020-04-28,724.0,706.55,728.0,719.85
2020-04-29,723.0,708.4,723.0,713.35
2020-04-30,735.2,716.85,741.0,726.85
2020-05-04,710.0,675.5,726.0,687.65
2020-05-05,705.0,698.2,734.7,713.55
2020-05-06,716.95,706.0,749.0,731.15
2020-05-07,737.0,723.5,742.5,735.15
2020-05-08,742.0,738.5,768.85,760.05
2020-05-11,770.95,744.85,770.95,750.5
2020-05-12,747.0,735.1,755.6,744.6
2020-05-13,765.25,752.95,780.0,760.5
2020-05-14,756.8,741.1,770.5,746.75
2020-05-15,754.45,742.2,754.45,751.95
2020-05-18,750.0,694.45,750.0,700.75
2020-05-19,709.0,698.0,720.0,702.95
2020-05-20,701.0,700.0,717.7,715.8
2020-05-21,717.8,716.05,742.95,730.4
2020-05-22,732.0,723.5,744.0,729.95
2020-05-26,735.0,731.4,756.0,754.45
2020-05-27,752.0,737.2,754.4,741.15
2020-05-28,745.0,740.0,754.75,748.1
2020-05-29,747.95,745.4,783.0,768.65
2020-06-01,776.0,765.9,780.95,774.8
2020-06-02,783.8,774.3,791.0,779.5
2020-06-03,789.0,784.5,814.8,807.1
2020-06-04,809.75,788.8,820.5,794.8
2020-06-05,798.9,782.9,805.25,796.7
2020-06-08,802.0,776.0,808.0,779.3
2020-06-09,782.1,752.5,789.0,758.5
2020-06-10,759.0,739.7,760.0,741.7
2020-06-11,740.0,735.0,757.6,740.9
2020-06-12,730.0,728.75,760.9,750.45
2020-06-15,747.9,740.65,754.8,745.3
2020-06-16,751.0,742.4,770.7,764.1
2020-06-17,766.05,764.2,779.5,772.05
2020-06-18,769.4,767.6,786.4,771.6
2020-06-19,779.0,767.2,780.85,775.85
2020-06-22,781.1,761.5,790.4,777.95
2020-06-23,777.0,777.0,805.3,796.65
2020-06-24,800.65,775.55,810.0,780.75
2020-06-25,778.0,775.1,792.95,786.25
2020-06-26,791.1,782.0,802.0,784.35
2020-06-29,780.0,774.3,789.85,786.8
2020-06-30,789.0,789.0,811.0,806.45
2020-07-01,814.95,802.0,819.85,805.25
2020-07-02,802.15,802.15,819.35,814.05
2020-07-03,821.0,819.35,846.0,844.05
2020-07-06,853.0,851.4,875.0,863.5
2020-07-07,867.0,853.65,874.8,868.65
2020-07-08,870.0,846.1,871.9,850.75
2020-07-09,851.0,835.05,853.9,840.25
2020-07-10,850.0,850.0,871.9,860.2
2020-07-13,867.85,848.15,867.85,862.95
2020-07-14,861.9,856.1,886.5,859.75
2020-07-15,863.0,852.35,870.5,855.85
2020-07-16,856.05,851.25,869.5,865.2
2020-07-17,868.15,862.55,881.85,875.2
2020-07-20,879.05,851.0,888.1,854.45
2020-07-21,864.0,844.0,895.95,888.35
2020-07-22,892.5,856.1,892.75,859.2
2020-07-23,861.8,859.2,880.0,877.8
2020-07-24,873.9,863.0,877.0,867.4
2020-07-27,874.9,856.2,882.2,867.45
2020-07-28,865.0,863.35,888.9,883.35
2020-07-29,874.55,874.55,890.0,881.1
2020-07-30,887.85,881.65,916.0,913.55
2020-07-31,921.75,903.6,921.75,912.85
2020-08-03,911.0,872.6,911.0,875.1
2020-08-04,881.1,868.0,882.5,875.8
2020-08-05,876.8,858.45,880.65,860.9
2020-08-06,868.7,859.45,878.0,875.4
2020-08-07,879.9,862.15,883.85,868.6
2020-08-10,880.0,861.8,882.0,865.75
2020-08-11,868.0,857.5,878.0,860.6
2020-08-12,860.6,851.0,868.5,856.9
2020-08-13,860.9,855.1,868.0,861.5
2020-08-14,866.9,828.7,866.9,839.3
2020-08-17,845.0,838.2,847.15,842.35
2020-08-18,845.95,844.6,864.75,860.45
2020-08-19,860.65,860.45,875.6,863.65
2020-08-20,861.0,849.0,864.75,852.85
2020-08-21,881.05,859.0,889.8,861.25
2020-08-24,866.8,851.6,869.9,860.85
2020-08-25,862.35,837.85,865.95,847.9
2020-08-26,855.0,833.65,855.0,839.2
2020-08-27,843.95,835.1,845.8,841.25
2020-08-28,846.0,843.05,858.7,851.55
2020-08-31,855.5,818.55,864.0,827.75
2020-09-01,825.0,818.05,840.0,835.9
2020-09-02,843.0,841.3,865.0,850.3
2020-09-03,853.9,851.0,863.75,852.3
2020-09-04,842.0,833.0,845.8,834.55
2020-09-07,835.5,826.0,842.0,838.45
2020-09-08,840.95,830.2,850.85,845.0
2020-09-09,837.75,822.0,843.5,830.5
2020-09-10,833.9,833.1,848.0,845.2
2020-09-11,846.0,843.75,866.9,864.4
2020-09-14,871.0,850.0,876.0,857.1
2020-09-15,861.3,853.05,871.0,864.7
2020-09-16,865.0,861.3,873.5,867.65
2020-09-17,858.4,852.55,866.4,856.15
2020-09-18,856.95,845.05,861.8,848.1
2020-09-21,849.0,835.6,851.8,840.1
2020-09-22,840.0,801.6,840.0,831.85
2020-09-23,833.35,827.15,841.5,833.0
2020-09-24,830.6,782.35,832.15,804.4
2020-09-25,796.0,780.0,813.5,797.05
2020-09-28,803.0,800.0,816.25,813.0
2020-09-29,819.0,802.1,831.4,809.1
2020-09-30,809.4,802.4,814.55,811.45
2020-10-01,817.0,807.65,824.95,818.9
2020-10-05,822.0,815.0,835.0,824.95
2020-10-06,826.0,822.25,836.0,830.05
2020-10-07,832.5,825.05,836.0,827.95
2020-10-08,835.25,818.0,836.0,821.05
2020-10-09,826.15,803.5,827.3,805.9
2020-10-12,812.9,787.2,812.9,791.65
2020-10-13,790.0,781.0,795.0,786.55
2020-10-14,788.0,776.65,813.65,810.6
2020-10-15,810.6,801.75,821.8,804.75
2020-10-16,802.0,796.65,811.0,799.55
2020-10-19,800.5,795.0,808.55,798.3
2020-10-20,809.25,790.0,809.25,800.75
2020-10-21,801.0,780.8,804.0,785.35
2020-10-22,788.3,771.3,788.3,780.8
2020-10-23,783.15,767.0,789.75,770.7
2020-10-26,775.0,765.1,784.9,778.85
2020-10-27,791.0,771.1,791.8,774.45
2020-10-28,777.0,766.0,778.2,771.0
2020-10-29,764.45,755.25,773.0,761.5
2020-10-30,761.5,757.3,775.7,769.15
2020-11-02,771.0,762.2,778.5,766.05
2020-11-03,773.55,769.15,797.8,788.9
2020-11-04,796.75,783.8,796.75,791.0
2020-11-05,797.0,793.0,806.8,805.0
2020-11-06,805.45,795.0,808.9,801.25
2020-11-09,808.0,801.7,817.85,808.15
2020-11-10,816.2,811.35,832.9,829.4
2020-11-11,833.0,831.6,847.0,839.55
2020-11-12,840.0,825.1,844.4,837.75
2020-11-13,837.75,824.1,838.95,831.85
2020-11-14,844.7,836.15,844.7,840.45
2020-11-17,841.0,836.3,866.9,863.15
2020-11-18,863.75,846.8,868.7,857.95
2020-11-19,854.8,838.0,862.8,846.75
2020-11-20,848.8,835.0,850.0,845.45
2020-11-23,847.2,830.0,854.4,831.6
2020-11-24,831.95,831.95,840.0,838.95
2020-11-25,846.05,844.0,864.65,849.05
2020-11-26,853.3,848.3,858.65,851.5
2020-11-27,855.0,841.0,857.6,846.05
2020-12-01,849.9,840.2,855.0,851.35
2020-12-02,853.0,850.3,879.25,875.55
2020-12-03,880.0,851.4,881.0,858.15
2020-12-04,865.1,856.45,871.0,863.0
2020-12-07,863.5,848.0,866.0,851.75
2020-12-08,854.8,848.2,859.5,853.8
2020-12-09,858.0,854.8,864.0,858.0
2020-12-10,861.0,855.0,862.9,856.05
2020-12-11,860.9,845.4,862.8,849.7
2020-12-14,855.0,848.05,858.3,850.2
2020-12-15,851.2,842.05,858.45,856.2
2020-12-16,861.2,850.5,861.5,857.5
2020-12-17,857.5,851.6,865.9,856.35
2020-12-18,859.0,852.8,864.0,857.15
2020-12-21,858.0,832.55,864.0,840.85
2020-12-22,840.85,825.2,855.6,853.95
2020-12-23,855.5,847.65,859.0,854.95
2020-12-24,857.9,851.25,879.7,873.9
2020-12-28,882.9,877.5,904.5,901.65
2020-12-29,906.95,890.3,908.95,899.3
2020-12-30,902.0,890.8,911.0,902.95
2020-12-31,902.0,894.25,907.3,904.25
2021-01-01,903.0,894.0,907.05,895.4
2021-01-04,900.0,894.5,917.0,911.4
2021-01-05,906.45,899.0,919.9,905.55
2021-01-06,906.55,901.0,915.0,910.3
2021-01-07,916.2,904.25,916.5,914.15
2021-01-08,920.0,918.0,954.5,935.5
