Date,Open,Low,High,Close
2020-01-15,329.0,322.35,329.2,324.25
2020-01-16,324.0,322.35,326.9,323.3
2020-01-17,313.0,310.1,323.5,318.0
2020-01-20,321.0,313.4,321.45,314.0
2020-01-21,313.8,312.0,316.95,313.7
2020-01-22,317.0,313.7,317.0,316.15
2020-01-23,316.0,314.15,324.8,323.2
2020-01-24,323.5,321.15,327.3,324.05
2020-01-27,320.9,315.8,322.0,316.2
2020-01-28,317.95,311.05,320.0,315.1
2020-01-29,317.85,315.55,319.7,316.45
2020-01-30,316.75,305.65,316.75,310.7
2020-01-31,313.7,308.6,321.7,318.45
2020-02-01,317.95,296.3,322.65,302.6
2020-02-03,303.0,295.35,306.85,298.1
2020-02-04,302.9,297.1,307.55,306.25
2020-02-05,306.9,304.6,313.65,311.0
2020-02-06,311.2,310.1,323.5,321.95
2020-02-07,321.5,318.4,325.0,320.55
2020-02-10,319.8,316.5,322.8,318.5
2020-02-11,321.05,321.05,325.8,324.35
2020-02-12,329.9,319.25,329.9,320.2
2020-02-13,322.0,322.0,330.95,327.45
2020-02-14,328.1,318.55,331.9,319.4
2020-02-17,320.95,311.65,321.15,314.2
2020-02-18,315.4,309.4,319.2,317.55
2020-02-19,322.3,317.25,324.0,320.35
2020-02-20,319.35,318.75,329.2,327.65
2020-02-24,325.75,321.85,331.3,322.95
2020-02-25,325.9,322.2,328.15,326.8
2020-02-26,324.85,324.2,330.8,328.2
2020-02-27,328.0,318.0,330.0,321.95
2020-02-28,312.0,301.1,314.65,303.0
2020-03-02,311.0,284.05,312.0,287.4
2020-03-03,293.0,285.3,294.4,289.85
2020-03-04,291.8,275.1,293.0,285.3
2020-03-05,290.9,270.0,298.4,288.5
2020-03-06,268.0,253.95,274.4,270.5
2020-03-09,260.05,251.15,262.75,253.45
2020-03-11,253.0,243.1,258.5,245.1
2020-03-12,231.9,208.6,231.9,212.6
2020-03-13,200.0,184.65,248.8,242.0
2020-03-16,227.9,220.6,231.4,223.35
2020-03-17,227.2,212.05,229.9,215.15
2020-03-18,221.0,200.1,223.15,215.2
2020-03-19,202.95,198.15,219.75,203.65
2020-03-20,205.55,200.0,215.7,209.85
2020-03-23,190.0,180.25,199.5,181.6
2020-03-24,190.95,173.55,191.95,183.2
2020-03-25,178.0,176.45,195.25,189.9
2020-03-26,191.55,185.1,201.0,192.75
2020-03-27,202.0,195.0,211.9,195.95
2020-03-30,190.0,186.25,195.0,186.9
2020-03-31,192.0,188.05,198.5,196.85
2020-04-01,194.0,185.25,194.5,186.55
2020-04-03,187.55,175.0,188.2,175.5
2020-04-07,184.4,177.6,187.3,186.4
2020-04-08,182.9,180.45,194.4,183.0
2020-04-09,188.0,183.6,190.0,187.75
2020-04-13,186.8,183.1,188.7,183.5
2020-04-15,187.0,180.15,191.95,182.35
2020-04-16,182.0,180.25,189.9,188.5
2020-04-17,196.0,186.3,198.0,193.25
2020-04-20,194.0,190.05,197.35,192.5
2020-04-21,188.0,183.0,188.2,184.75
2020-04-22,185.5,181.35,189.5,188.7
2020-04-23,187.75,185.15,189.9,186.7
2020-04-24,184.0,179.0,184.0,179.75
2020-04-27,183.5,180.5,183.5,180.9
2020-04-28,182.0,181.2,185.35,184.3
2020-04-29,185.0,183.5,191.8,190.1
2020-04-30,193.5,189.7,195.9,190.5
2020-05-04,182.45,178.0,183.5,178.85
2020-05-05,181.0,168.8,181.25,170.4
2020-05-06,171.15,166.55,173.3,171.1
2020-05-07,170.85,168.8,172.55,170.75
2020-05-08,172.45,166.1,173.8,166.65
2020-05-11,167.95,165.0,168.9,165.45
2020-05-12,164.2,160.85,168.5,166.9
2020-05-13,178.55,170.5,178.55,174.1
2020-05-14,170.95,167.5,171.75,167.95
2020-05-15,167.95,164.7,168.25,166.4
2020-05-18,166.4,155.0,166.4,155.3
2020-05-19,157.5,152.4,157.85,152.8
2020-05-20,153.0,151.15,155.25,153.4
2020-05-21,153.65,151.5,156.15,151.95
2020-05-22,152.0,149.45,155.6,150.85
2020-05-26,152.4,150.2,153.2,151.4
2020-05-27,151.95,150.8,160.8,158.6
2020-05-28,159.45,156.7,162.4,158.2
2020-05-29,156.1,155.2,161.9,161.3
2020-06-01,164.0,163.35,171.4,170.05
2020-06-02,169.9,167.2,171.3,170.25
2020-06-03,172.5,172.0,179.9,174.9
2020-06-04,174.9,171.5,177.65,174.05
2020-06-05,176.55,176.0,189.8,187.8
2020-06-08,197.0,185.8,197.5,186.8
2020-06-09,187.7,183.35,191.0,184.45
2020-06-10,184.55,183.8,189.0,187.7
2020-06-11,188.0,176.35,190.4,177.15
2020-06-12,170.0,169.8,180.0,179.15
2020-06-15,177.85,172.0,177.85,173.7
2020-06-16,178.0,169.4,178.95,172.9
2020-06-17,171.0,169.25,176.2,172.95
2020-06-18,172.4,171.1,180.65,179.65
2020-06-19,180.3,179.5,184.95,184.5
2020-06-22,185.0,184.25,191.75,187.7
2020-06-23,189.6,187.85,193.1,192.45
2020-06-24,194.8,183.9,194.9,184.6
2020-06-25,182.2,180.4,186.8,185.25
2020-06-26,188.0,183.8,188.6,184.6
2020-06-29,183.0,178.5,183.1,179.25
2020-06-30,181.1,177.25,182.9,178.45
2020-07-01,179.45,178.6,185.4,184.8
2020-07-02,185.65,184.0,188.0,185.45
2020-07-03,186.65,183.4,186.85,184.7
2020-07-06,186.6,186.15,189.85,188.05
2020-07-07,187.0,184.05,189.2,188.6
2020-07-08,188.9,188.4,197.45,191.9
2020-07-09,192.8,192.55,201.0,199.1
2020-07-10,198.0,194.8,202.5,195.6
2020-07-13,198.8,191.6,199.8,192.7
2020-07-14,192.3,184.6,192.3,186.05
2020-07-15,187.95,183.0,189.95,183.8
2020-07-16,185.0,181.65,186.95,186.25
2020-07-17,186.8,185.0,189.5,188.2
2020-07-20,190.0,188.75,193.25,190.75
2020-07-21,192.45,191.5,196.2,194.4
2020-07-22,195.7,190.1,196.75,192.0
2020-07-23,192.4,191.15,199.1,198.25
2020-07-24,195.7,190.65,196.3,191.95
2020-07-27,193.0,186.5,193.2,187.15
2020-07-28,188.0,185.75,190.5,189.45
2020-07-29,187.6,187.0,195.25,191.2
2020-07-30,192.5,186.05,193.5,186.55
2020-07-31,188.0,186.7,194.85,191.45
2020-08-03,192.0,190.05,194.6,192.25
2020-08-04,193.35,190.5,193.8,191.6
2020-08-05,192.75,191.0,196.85,191.45
2020-08-06,192.3,190.25,194.5,190.95
2020-08-07,191.45,189.55,192.1,190.65
2020-08-10,191.85,191.7,195.5,193.8
2020-08-11,195.0,193.75,196.8,195.05
2020-08-12,196.0,194.6,204.25,203.3
2020-08-13,205.5,200.75,207.3,201.9
2020-08-14,203.0,194.6,204.0,196.5
2020-08-17,198.45,191.5,198.65,193.1
2020-08-18,193.8,191.7,195.75,195.1
2020-08-19,196.4,195.9,200.3,197.05
2020-08-20,194.0,193.25,196.35,194.75
2020-08-21,199.0,197.65,201.5,198.4
2020-08-24,200.0,198.6,202.8,201.45
2020-08-25,204.0,202.7,208.45,207.95
2020-08-26,208.5,206.15,210.35,209.85
2020-08-27,210.5,210.5,216.5,215.65
2020-08-28,217.0,216.8,225.9,224.85
2020-08-31,231.55,210.35,231.55,212.0
2020-09-01,213.1,211.2,218.9,218.1
2020-09-02,218.25,212.3,219.0,216.25
2020-09-03,217.5,212.3,218.25,213.15
2020-09-04,210.0,205.9,212.3,206.6
2020-09-07,207.5,205.4,209.65,207.9
2020-09-08,207.9,202.9,208.5,204.05
2020-09-09,201.1,192.5,201.4,194.85
2020-09-10,197.7,195.2,201.45,198.15
2020-09-11,198.55,197.0,203.85,202.7
2020-09-14,205.9,197.35,206.2,198.5
2020-09-15,199.9,197.1,201.0,200.15
2020-09-16,199.85,196.25,200.05,198.2
2020-09-17,197.0,195.0,198.0,195.45
2020-09-18,196.0,189.7,197.2,192.6
2020-09-21,193.05,184.25,193.5,185.8
2020-09-22,186.15,181.15,188.3,186.2
2020-09-23,188.15,181.0,188.95,183.8
2020-09-24,181.1,175.5,181.8,176.35
2020-09-25,179.0,176.15,182.75,182.2
2020-09-28,184.0,183.35,188.15,187.25
2020-09-29,188.5,183.25,188.95,185.05
2020-09-30,185.05,182.4,186.8,185.4
2020-10-01,187.0,186.9,191.2,190.3
2020-10-05,192.0,187.05,193.8,188.75
2020-10-06,191.1,188.3,192.1,191.6
2020-10-07,192.55,189.1,193.15,190.7
2020-10-08,191.35,190.55,195.8,191.5
2020-10-09,192.0,190.55,198.8,198.3
2020-10-12,199.7,197.25,205.95,198.7
2020-10-13,198.65,195.1,200.0,195.7
2020-10-14,194.05,193.05,200.9,200.05
2020-10-15,201.0,192.0,202.5,192.85
2020-10-16,194.0,191.6,196.75,195.95
2020-10-19,196.2,196.05,204.6,204.0
2020-10-20,201.0,200.7,204.35,203.05
2020-10-21,204.7,198.85,207.3,203.75
2020-10-22,201.9,201.1,204.6,203.3
2020-10-23,204.0,201.55,205.6,202.8
2020-10-26,202.7,195.6,204.0,196.7
2020-10-27,197.25,192.25,197.55,194.65
2020-10-28,195.0,189.05,195.0,190.45
2020-10-29,189.35,185.9,190.7,188.7
2020-10-30,189.35,186.15,192.0,189.25
2020-11-02,192.2,190.05,197.25,196.05
2020-11-03,198.0,197.6,205.8,204.75
2020-11-04,203.5,198.05,209.0,207.0
2020-11-05,216.0,214.75,221.0,218.65
2020-11-06,219.0,217.05,221.85,219.2
2020-11-09,222.5,217.05,222.65,219.5
2020-11-10,223.1,223.0,235.0,231.7
2020-11-11,232.75,227.75,239.35,234.2
2020-11-12,233.2,225.65,233.35,226.8
2020-11-13,225.0,220.1,230.65,229.45
2020-11-14,232.0,227.75,232.9,229.65
2020-11-17,231.85,231.0,241.6,240.2
2020-11-18,239.4,237.9,253.0,252.0
2020-11-19,248.0,239.0,251.8,239.75
2020-11-20,241.5,233.95,245.4,242.75
2020-11-23,243.5,238.1,246.15,238.7
2020-11-24,240.5,239.5,245.0,243.85
2020-11-25,245.45,241.6,249.9,243.0
2020-11-26,244.0,240.15,246.25,245.45
2020-11-27,245.45,242.05,246.25,244.25
2020-12-01,245.0,244.25,248.95,248.05
2020-12-02,248.35,244.1,250.85,246.95
2020-12-03,249.3,248.0,259.0,256.3
2020-12-04,257.0,253.55,264.35,263.5
2020-12-07,263.8,263.0,271.45,269.6
2020-12-08,270.95,265.25,273.7,271.9
2020-12-09,272.1,269.2,274.9,270.35
2020-12-10,269.0,265.55,271.0,269.55
2020-12-11,270.05,270.05,276.25,272.45
2020-12-14,274.0,272.35,276.15,274.2
2020-12-15,274.05,268.15,274.05,270.65
2020-12-16,272.8,268.5,273.65,269.4
2020-12-17,270.0,266.7,272.15,267.7
2020-12-18,267.7,265.0,271.95,271.45
2020-12-21,268.45,251.05,269.0,254.7
2020-12-22,254.8,248.25,258.7,257.45
2020-12-23,256.95,255.6,263.9,263.0
2020-12-24,265.0,264.65,268.85,266.85
2020-12-28,268.75,268.0,276.0,275.2
2020-12-29,276.3,274.7,279.9,277.9
2020-12-30,278.0,272.5,278.7,276.9
2020-12-31,275.0,272.6,277.25,274.95
2021-01-01,274.9,274.4,280.0,279.4
2021-01-04,281.85,277.75,283.9,281.05
2021-01-05,278.05,277.0,282.45,281.75
2021-01-06,283.0,281.4,289.15,285.05
2021-01-07,289.0,287.0,291.8,287.7
2021-01-08,290.1,285.2,291.4,286.0
2021-01-11,288.0,279.6,288.2,282.5
2021-01-12,280.0,277.9,293.85,292.5
2021-01-13,296.0,294.5,308.0,306.8
2021-01-14,306.7,303.8,309.25,307.25
2021-01-15,306.8,301.3,310.9,303.85
