Date,Open,Low,High,Close
2020-01-15,447.6,443.65,450.7,449.05
2020-01-16,452.25,447.4,456.35,449.05
2020-01-17,448.2,446.0,456.25,454.6
2020-01-20,454.2,446.15,456.2,449.45
2020-01-21,448.0,446.0,451.75,447.4
2020-01-22,448.4,445.35,453.85,446.3
2020-01-23,447.2,445.0,452.2,449.85
2020-01-24,450.0,446.8,452.85,447.8
2020-01-27,447.0,442.2,451.75,448.4
2020-01-28,448.25,448.05,462.5,452.9
2020-01-29,454.85,449.45,456.75,450.1
2020-01-30,451.5,440.3,453.75,442.1
2020-01-31,442.6,432.65,445.4,434.3
2020-02-01,432.95,419.4,437.4,422.8
2020-02-03,423.8,414.0,428.9,417.55
2020-02-04,416.95,412.85,426.9,425.65
2020-02-05,429.5,421.9,431.4,426.25
2020-02-06,428.2,424.0,438.0,430.65
2020-02-07,432.0,423.2,441.75,430.8
2020-02-10,428.55,418.3,432.75,420.3
2020-02-11,422.0,416.8,424.7,418.55
2020-02-12,418.8,414.0,421.3,414.6
2020-02-13,414.6,412.0,420.1,418.95
2020-02-14,420.0,416.5,424.75,418.55
2020-02-17,416.2,407.3,418.5,408.4
2020-02-18,407.0,399.05,410.85,408.65
2020-02-19,410.4,400.6,414.2,403.55
2020-02-20,403.85,403.55,411.5,404.95
2020-02-24,406.5,395.8,414.65,397.85
2020-02-25,402.4,385.3,402.4,388.9
2020-02-26,385.1,372.5,386.95,374.7
2020-02-27,375.0,369.45,390.7,388.5
2020-02-28,379.65,371.1,385.6,372.9
2020-03-02,378.0,363.35,383.65,369.5
2020-03-03,374.0,373.25,396.4,393.55
2020-03-04,398.0,387.35,412.9,405.45
2020-03-05,409.95,401.75,414.8,404.9
2020-03-06,390.05,390.05,403.2,400.9
2020-03-09,396.05,385.55,403.9,393.35
2020-03-11,394.4,380.05,395.25,385.95
2020-03-12,365.5,346.4,372.7,354.8
2020-03-13,341.0,325.0,402.95,384.2
2020-03-16,376.0,362.8,396.4,368.55
2020-03-17,376.0,364.2,395.6,370.15
2020-03-18,383.4,355.1,386.4,362.75
2020-03-19,351.7,347.65,374.45,360.4
2020-03-20,365.2,362.2,379.5,365.25
2020-03-23,345.0,315.05,354.7,324.5
2020-03-24,330.0,330.0,348.0,335.15
2020-03-25,332.0,329.55,350.8,347.65
2020-03-26,365.0,336.1,368.0,338.3
2020-03-27,347.0,333.0,352.5,338.25
2020-03-30,321.65,312.0,344.0,332.7
2020-03-31,340.1,328.25,355.0,352.3
2020-04-01,353.0,338.4,355.25,343.55
2020-04-03,343.95,340.0,389.8,375.95
2020-04-07,398.0,388.3,422.85,417.35
2020-04-08,419.0,413.15,448.75,436.7
2020-04-09,454.4,443.4,473.9,454.45
2020-04-13,462.95,443.1,477.9,462.35
2020-04-15,474.9,444.1,488.5,449.2
2020-04-16,450.0,449.2,467.6,463.7
2020-04-17,476.95,448.45,476.95,457.1
2020-04-20,457.35,450.55,475.0,473.4
2020-04-21,467.85,464.25,490.7,473.15
2020-04-22,474.95,469.0,482.4,474.35
2020-04-23,476.95,474.35,487.85,477.45
2020-04-24,476.95,473.55,497.0,485.55
2020-04-27,491.0,487.0,504.8,489.9
2020-04-28,495.0,470.3,495.4,473.95
2020-04-29,476.0,473.15,484.95,477.65
2020-04-30,484.0,458.4,485.0,464.45
2020-05-04,464.45,458.0,474.5,465.45
2020-05-05,469.8,454.0,472.5,456.3
2020-05-06,459.6,448.0,463.0,454.4
2020-05-07,462.0,450.2,465.7,452.2
2020-05-08,460.0,454.05,471.4,469.0
2020-05-11,473.7,461.3,475.55,463.85
2020-05-12,465.0,455.3,468.8,463.9
2020-05-13,469.0,450.2,469.45,452.35
2020-05-14,453.0,448.8,462.95,455.95
2020-05-15,455.95,445.55,458.9,448.6
2020-05-18,447.0,434.25,454.6,440.7
2020-05-19,443.8,438.6,456.0,441.7
2020-05-20,439.9,437.25,458.45,455.75
2020-05-21,455.5,453.0,469.0,466.45
2020-05-22,467.0,458.05,471.9,469.4
2020-05-26,471.0,457.0,475.5,459.15
2020-05-27,464.9,443.4,464.9,450.9
2020-05-28,453.9,444.7,461.65,459.1
2020-05-29,460.0,458.0,481.6,474.25
2020-06-01,483.5,458.3,483.7,465.4
2020-06-02,470.0,468.15,481.0,473.1
2020-06-03,474.95,473.0,481.6,476.15
2020-06-04,473.0,472.1,498.0,494.85
2020-06-05,501.0,492.2,511.0,494.25
2020-06-08,498.75,485.05,498.75,489.0
2020-06-09,492.0,492.0,512.7,500.75
2020-06-10,502.5,493.55,507.0,499.15
2020-06-11,490.0,469.1,493.8,473.65
2020-06-12,455.0,455.0,481.9,480.1
2020-06-15,481.0,472.7,489.4,485.8
2020-06-16,489.4,476.5,493.5,483.4
2020-06-17,484.15,479.1,489.75,485.65
2020-06-18,485.65,483.0,488.5,484.25
2020-06-19,486.8,485.2,491.95,488.1
2020-06-22,492.2,486.0,501.2,493.2
2020-06-23,493.2,489.5,503.0,500.45
2020-06-24,502.0,481.0,503.4,484.4
2020-06-25,480.3,477.0,492.5,487.65
2020-06-26,490.25,472.2,491.0,479.95
2020-06-29,475.5,475.0,487.35,482.0
2020-06-30,483.4,469.8,483.95,472.95
2020-07-01,473.5,466.15,475.8,468.15
2020-07-02,468.0,467.95,474.95,473.0
2020-07-03,477.0,472.0,479.35,476.85
2020-07-06,478.0,471.4,481.25,480.2
2020-07-07,480.0,476.15,486.0,479.25
2020-07-08,482.55,479.95,488.0,482.5
2020-07-09,484.55,480.35,487.2,481.95
2020-07-10,484.65,483.05,498.9,493.9
2020-07-13,495.0,492.3,501.7,499.7
2020-07-14,500.0,490.1,503.9,492.1
2020-07-15,494.2,492.2,499.4,495.1
2020-07-16,496.0,490.6,505.95,499.7
2020-07-17,499.6,497.35,509.55,503.6
2020-07-20,501.9,481.6,501.9,483.8
2020-07-21,488.0,475.0,488.2,477.25
2020-07-22,479.65,471.6,488.0,474.3
2020-07-23,477.95,474.05,481.85,476.0
2020-07-24,490.0,481.25,497.8,485.6
2020-07-27,484.85,469.0,487.6,475.5
2020-07-28,475.5,473.25,483.75,482.6
2020-07-29,485.7,484.15,496.3,493.0
2020-07-30,493.2,487.3,513.2,509.95
2020-07-31,514.25,507.5,541.0,531.7
2020-08-03,534.1,516.8,540.2,519.4
2020-08-04,522.0,517.25,532.4,528.95
2020-08-05,537.9,527.05,538.0,528.85
2020-08-06,533.9,526.15,541.45,532.25
2020-08-07,532.3,522.6,535.45,525.95
2020-08-10,526.0,526.0,550.8,543.85
2020-08-11,548.0,535.1,549.6,541.05
2020-08-12,540.75,529.75,540.75,532.15
2020-08-13,532.15,519.05,535.95,520.8
2020-08-14,523.5,522.0,536.0,531.35
2020-08-17,536.1,527.0,537.5,528.35
2020-08-18,531.7,524.15,533.9,526.0
2020-08-19,530.0,524.35,532.9,525.4
2020-08-20,524.5,521.05,529.9,522.3
2020-08-21,526.55,524.3,538.7,532.35
2020-08-24,538.65,528.05,538.65,533.45
2020-08-25,533.6,523.45,535.15,525.1
2020-08-26,526.05,522.25,530.0,525.15
2020-08-27,528.95,524.4,537.0,532.25
2020-08-28,538.1,534.75,564.75,555.75
2020-08-31,560.65,514.05,561.0,520.25
2020-09-01,521.2,506.2,527.65,521.45
2020-09-02,523.5,509.2,525.6,514.5
2020-09-03,518.55,512.55,526.85,523.45
2020-09-04,518.0,508.25,530.4,512.45
2020-09-07,516.0,504.25,518.2,513.25
2020-09-08,512.0,498.65,517.65,501.9
2020-09-09,497.0,493.6,512.8,509.3
2020-09-10,512.7,503.65,516.7,507.95
2020-09-11,507.0,502.6,512.35,505.55
2020-09-14,505.55,494.0,509.0,495.8
2020-09-15,498.0,496.0,512.4,506.4
2020-09-16,510.15,503.4,520.0,518.5
2020-09-17,516.8,510.5,521.9,512.0
2020-09-18,517.45,515.0,535.0,523.35
2020-09-21,523.8,499.0,528.25,503.65
2020-09-22,509.5,493.6,515.0,508.85
2020-09-23,520.5,498.25,521.0,502.9
2020-09-24,497.5,483.0,501.25,485.8
2020-09-25,496.0,483.85,496.0,489.65
2020-09-28,495.0,488.5,512.0,510.1
2020-09-29,517.85,504.5,517.85,506.15
2020-09-30,508.0,498.3,516.2,500.45
2020-10-01,505.1,501.3,510.5,506.9
2020-10-05,507.0,503.8,525.1,523.1
2020-10-06,526.0,519.0,527.6,521.05
2020-10-07,516.1,509.2,522.9,511.75
2020-10-08,514.6,511.75,526.0,524.1
2020-10-09,525.0,511.05,529.3,512.9
2020-10-12,514.9,509.3,517.35,513.9
2020-10-13,514.0,501.6,519.95,503.15
2020-10-14,503.15,493.3,507.5,502.2
2020-10-15,504.7,489.0,504.7,490.3
2020-10-16,491.0,485.25,494.75,486.9
2020-10-19,489.95,480.9,490.9,483.65
2020-10-20,484.95,480.4,488.55,486.35
2020-10-21,489.0,481.5,492.2,490.2
2020-10-22,491.2,481.7,491.4,485.55
2020-10-23,488.0,482.9,494.5,484.5
2020-10-26,487.4,471.1,487.4,474.5
2020-10-27,474.6,467.25,476.75,470.45
2020-10-28,473.0,461.4,475.75,463.4
2020-10-29,463.0,452.25,464.0,456.35
2020-10-30,458.65,455.85,469.0,465.75
2020-11-02,467.9,459.05,471.0,469.4
2020-11-03,472.05,465.75,490.6,485.6
2020-11-04,499.9,495.15,518.25,504.65
2020-11-05,508.0,502.5,514.0,512.5
2020-11-06,515.0,506.75,515.75,509.15
2020-11-09,512.5,504.45,518.0,510.15
2020-11-10,511.0,489.0,514.25,490.9
2020-11-11,495.0,492.0,508.35,506.05
2020-11-12,503.95,502.2,517.7,509.25
2020-11-13,511.95,504.55,515.8,508.45
2020-11-14,511.0,510.2,515.5,514.0
2020-11-17,517.0,514.05,523.4,518.4
2020-11-18,514.0,509.0,518.35,513.0
2020-11-19,512.0,505.0,516.15,507.35
2020-11-20,510.0,496.0,512.5,503.25
2020-11-23,504.0,501.0,516.4,512.85
2020-11-24,513.5,508.2,522.75,520.15
2020-11-25,521.2,504.15,526.0,506.2
