Date,Open,Low,High,Close
2020-01-15,389.5,385.0,395.95,391.45
2020-01-16,392.5,382.2,393.0,384.25
2020-01-17,383.7,376.6,384.0,380.3
2020-01-20,380.3,377.1,385.5,383.15
2020-01-21,382.0,379.05,389.4,385.8
2020-01-22,388.85,382.2,388.85,385.05
2020-01-23,385.0,383.4,399.45,393.25
2020-01-24,394.75,383.75,394.75,384.6
2020-01-27,383.8,380.45,389.4,382.4
2020-01-28,382.8,378.25,387.6,380.7
2020-01-29,384.9,382.25,393.3,383.45
2020-01-30,385.7,380.15,385.8,381.6
2020-01-31,382.6,380.0,386.65,383.4
2020-02-01,382.95,370.0,388.5,372.65
2020-02-03,373.75,367.5,382.0,378.85
2020-02-04,384.0,375.55,384.0,379.9
2020-02-05,382.0,381.0,408.0,394.6
2020-02-06,396.0,387.35,397.35,392.05
2020-02-07,391.1,390.55,404.0,396.7
2020-02-10,398.45,388.35,398.45,392.3
2020-02-11,395.0,389.25,399.0,390.6
2020-02-12,391.7,391.6,396.75,395.15
2020-02-13,394.55,389.55,397.85,392.55
2020-02-14,393.0,390.5,400.0,396.9
2020-02-17,397.7,375.85,401.9,381.05
2020-02-18,380.0,373.2,386.5,382.0
2020-02-19,383.0,377.6,386.35,383.15
2020-02-20,383.15,379.1,384.95,380.5
2020-02-24,378.9,367.75,379.85,369.1
2020-02-25,370.5,365.55,374.0,369.0
2020-02-26,367.6,361.2,370.15,365.65
2020-02-27,364.1,360.25,365.65,363.3
2020-02-28,357.95,341.55,357.95,346.15
2020-03-02,351.05,333.6,355.25,338.8
2020-03-03,340.6,340.6,357.7,355.3
2020-03-04,356.2,339.0,357.6,349.2
2020-03-05,353.75,347.0,357.1,348.5
2020-03-06,340.0,334.15,346.9,344.5
2020-03-09,338.0,319.15,340.85,330.1
2020-03-11,326.85,325.0,337.75,327.85
2020-03-12,320.0,297.2,320.0,303.45
2020-03-13,273.55,258.0,327.8,324.25
2020-03-16,305.3,296.6,314.3,300.3
2020-03-17,305.0,282.0,308.7,283.85
2020-03-18,285.0,262.0,288.6,267.45
2020-03-19,258.0,232.25,265.5,250.75
2020-03-20,247.0,244.5,273.4,264.2
2020-03-23,240.0,225.0,247.9,226.5
2020-03-24,249.15,213.7,256.1,249.05
2020-03-25,248.1,246.9,282.45,277.15
2020-03-26,279.5,263.45,293.55,279.05
2020-03-27,290.0,279.25,294.95,284.75
2020-03-30,282.5,272.65,284.0,281.4
2020-03-31,291.5,284.85,297.0,294.85
2020-04-01,292.85,277.35,304.0,280.0
2020-04-03,286.0,264.0,286.0,267.15
2020-04-07,280.0,271.0,286.75,284.55
2020-04-08,282.7,276.7,296.0,294.4
2020-04-09,301.4,300.2,319.0,309.05
2020-04-13,315.0,301.1,315.0,305.05
2020-04-15,311.1,305.0,322.75,315.65
2020-04-16,317.85,315.65,333.7,324.05
2020-04-17,334.95,316.85,336.4,324.5
2020-04-20,324.6,321.15,332.85,324.7
2020-04-21,318.0,311.0,320.0,312.4
2020-04-22,314.65,310.0,335.45,330.15
2020-04-23,338.0,325.3,339.8,329.95
2020-04-24,323.0,323.0,336.85,326.1
2020-04-27,331.95,331.25,351.35,349.35
2020-04-28,352.85,340.45,355.6,342.9
2020-04-29,343.0,343.0,356.0,354.0
2020-04-30,359.95,349.85,361.4,351.6
2020-05-04,340.0,333.0,347.2,334.95
2020-05-05,339.0,327.85,342.9,329.5
2020-05-06,331.45,325.65,341.2,335.55
2020-05-07,335.95,328.8,344.6,341.3
2020-05-08,347.0,344.1,355.5,348.75
2020-05-11,353.85,349.05,365.0,355.0
2020-05-12,354.45,346.65,363.3,358.7
2020-05-13,375.0,348.5,375.0,356.35
2020-05-14,350.0,350.0,364.5,362.8
2020-05-15,353.1,349.1,367.75,352.2
2020-05-18,351.2,343.4,355.8,347.1
2020-05-19,350.9,349.25,363.0,358.05
2020-05-20,359.6,356.55,363.8,360.75
2020-05-21,363.9,355.3,366.4,360.3
2020-05-22,361.55,356.2,366.95,362.45
2020-05-26,366.8,360.0,376.45,371.95
2020-05-27,374.6,362.2,375.7,368.55
2020-05-28,367.95,366.0,373.4,371.15
2020-05-29,370.55,357.35,382.8,366.9
2020-06-01,368.5,359.5,369.4,362.85
2020-06-02,362.85,361.3,370.0,367.45
2020-06-03,372.0,364.55,372.0,366.65
2020-06-04,369.5,366.0,383.5,381.5
2020-06-05,384.0,377.0,387.8,379.75
2020-06-08,384.0,377.55,385.95,379.45
2020-06-09,382.0,379.5,388.85,384.25
2020-06-10,385.95,380.2,393.95,384.65
2020-06-11,386.0,374.4,386.5,375.8
2020-06-12,365.1,365.1,373.05,371.0
2020-06-15,371.5,366.4,379.95,370.0
2020-06-16,376.0,360.25,377.95,369.05
2020-06-17,366.0,366.0,373.25,369.6
2020-06-18,367.8,365.0,374.0,372.15
2020-06-19,373.85,373.35,383.0,377.3
2020-06-22,383.0,377.6,385.15,381.1
2020-06-23,383.9,382.0,391.9,390.85
2020-06-24,391.9,379.35,394.9,383.1
2020-06-25,380.0,377.6,389.4,384.0
2020-06-26,387.1,382.5,388.95,385.65
2020-06-29,387.05,382.15,392.3,386.55
2020-06-30,388.0,385.9,391.8,387.45
2020-07-01,385.0,380.5,388.5,384.5
2020-07-02,385.0,384.55,395.0,390.8
2020-07-03,395.0,392.65,402.3,396.45
2020-07-06,400.05,397.3,408.45,405.7
2020-07-07,408.4,403.7,414.4,412.7
2020-07-08,416.15,414.85,436.3,432.4
2020-07-09,433.05,428.85,437.3,433.35
2020-07-10,429.55,428.65,437.75,430.1
2020-07-13,430.1,422.0,433.55,424.45
2020-07-14,420.0,417.5,426.45,419.35
2020-07-15,422.85,411.35,423.1,413.05
2020-07-16,415.4,407.15,415.8,410.3
2020-07-17,411.4,411.0,424.5,423.0
2020-07-20,426.7,417.95,426.7,423.1
2020-07-21,424.0,408.4,424.75,409.45
2020-07-22,410.0,404.0,417.4,407.0
2020-07-23,409.6,402.7,412.35,404.4
2020-07-24,404.7,402.35,415.0,408.45
2020-07-27,408.45,404.3,414.0,408.45
2020-07-28,409.95,409.0,416.4,413.05
2020-07-29,417.0,417.0,429.9,427.7
2020-07-30,430.4,421.55,432.0,424.9
2020-07-31,425.0,425.0,434.0,428.05
2020-08-03,428.95,427.7,440.0,434.1
2020-08-04,439.4,436.0,452.3,449.75
2020-08-05,465.0,440.3,471.8,447.6
2020-08-06,450.0,449.05,489.0,484.75
2020-08-07,487.6,482.7,529.95,518.6
2020-08-10,520.95,510.7,526.0,520.3
2020-08-11,524.5,514.3,527.9,515.9
2020-08-12,515.2,509.15,522.0,517.55
2020-08-13,520.0,518.55,543.0,539.05
2020-08-14,541.95,530.55,544.5,537.5
2020-08-17,541.15,538.3,548.0,543.75
2020-08-18,545.55,542.5,553.4,545.75
2020-08-19,547.45,542.35,551.1,548.2
2020-08-20,541.4,540.05,553.2,549.25
2020-08-21,553.0,544.15,556.95,545.8
2020-08-24,546.5,543.55,550.0,545.55
2020-08-25,547.4,541.25,547.7,545.55
2020-08-26,544.9,544.7,561.4,549.15
2020-08-27,552.8,543.5,553.85,544.65
2020-08-28,547.9,544.0,555.85,547.05
2020-08-31,549.0,528.2,552.35,532.35
2020-09-01,526.0,526.0,549.8,548.5
2020-09-02,552.0,542.1,556.0,549.85
2020-09-03,548.5,548.5,591.95,578.5
2020-09-04,568.95,566.6,587.4,569.05
2020-09-07,570.0,542.0,572.0,545.3
2020-09-08,547.2,533.65,548.7,538.35
2020-09-09,534.0,529.15,540.9,534.75
2020-09-10,538.0,534.15,548.9,546.55
2020-09-11,549.8,540.95,553.0,548.4
2020-09-14,552.0,543.4,555.2,546.5
2020-09-15,547.0,540.5,550.5,542.35
2020-09-16,541.95,537.55,546.35,542.4
2020-09-17,542.0,533.15,552.0,548.3
2020-09-18,551.05,537.3,553.25,540.6
2020-09-21,540.6,502.0,542.3,507.75
2020-09-22,504.45,490.4,511.7,504.4
2020-09-23,506.0,490.0,510.9,493.55
2020-09-24,489.9,478.0,492.85,488.65
2020-09-25,498.8,495.3,512.0,509.8
2020-09-28,514.0,503.55,522.0,517.0
2020-09-29,519.6,500.1,527.0,503.25
2020-09-30,507.0,495.55,515.5,499.95
2020-10-01,508.55,499.1,511.2,509.1
2020-10-05,513.4,502.1,513.4,503.55
2020-10-06,507.0,502.85,513.5,505.6
2020-10-07,507.0,501.6,511.0,505.05
2020-10-08,506.8,485.0,508.3,488.25
2020-10-09,490.2,470.05,493.05,471.25
2020-10-12,474.5,470.35,483.6,474.7
2020-10-13,473.8,467.05,477.5,468.95
2020-10-14,468.7,463.55,491.4,489.8
2020-10-15,493.0,471.0,494.2,474.1
2020-10-16,478.75,475.05,486.7,477.1
2020-10-19,481.9,472.05,484.25,475.85
2020-10-20,476.0,475.15,484.0,477.9
2020-10-21,479.7,458.95,482.3,465.3
2020-10-22,465.65,460.45,470.5,466.2
2020-10-23,469.95,466.2,474.0,472.8
2020-10-26,474.9,470.15,484.3,476.95
2020-10-27,478.0,478.0,501.65,498.75
2020-10-28,501.8,489.55,504.8,492.85
2020-10-29,488.6,484.3,495.4,492.0
2020-10-30,494.0,488.9,500.3,492.85
2020-11-02,494.0,488.3,498.2,493.75
2020-11-03,497.8,488.3,504.55,489.5
2020-11-04,491.0,489.0,498.55,492.75
2020-11-05,497.0,495.85,509.2,506.45
2020-11-06,507.75,501.45,510.35,504.2
2020-11-09,511.0,505.5,517.85,509.85
2020-11-10,511.2,495.0,513.5,498.4
2020-11-11,499.5,495.0,504.9,503.45
2020-11-12,505.0,502.2,512.5,508.75
2020-11-13,509.8,508.2,519.0,513.25
2020-11-14,517.85,515.0,518.9,516.15
2020-11-17,518.0,513.1,521.85,518.3
2020-11-18,518.3,514.0,524.0,516.9
2020-11-19,515.9,512.25,528.0,515.6
2020-11-20,520.25,515.6,523.8,519.05
2020-11-23,520.0,519.0,534.9,521.65
2020-11-24,524.2,521.65,530.7,526.85
2020-11-25,529.25,508.4,529.4,514.8
2020-11-26,516.5,505.05,523.6,519.85
2020-11-27,520.8,520.55,545.3,538.0
2020-12-01,554.0,525.3,554.0,529.3
2020-12-02,532.0,530.1,541.8,539.25
2020-12-03,541.0,540.0,552.9,550.4
2020-12-04,552.0,549.75,566.9,563.5
2020-12-07,563.95,561.0,570.0,567.85
2020-12-08,570.0,558.0,570.0,562.75
2020-12-09,564.0,560.35,570.0,565.5
2020-12-10,562.0,560.2,584.7,579.9
2020-12-11,584.8,570.55,589.35,576.4
2020-12-14,579.8,572.1,583.0,577.0
2020-12-15,577.0,566.5,580.65,571.3
2020-12-16,574.9,573.7,585.2,583.6
2020-12-17,584.95,575.55,593.4,577.3
2020-12-18,578.0,567.5,581.9,573.55
2020-12-21,574.0,553.7,579.95,562.75
2020-12-22,559.8,551.0,578.05,576.0
2020-12-23,577.8,573.05,606.85,605.3
2020-12-24,615.0,597.05,616.1,601.0
2020-12-28,607.7,599.2,611.95,602.45
2020-12-29,607.7,593.2,607.7,598.6
2020-12-30,598.8,590.05,604.0,594.35
