Date,Open,Low,High,Close
2020-01-15,195.0,194.0,201.7,200.35
2020-01-16,199.5,196.9,200.6,197.55
2020-01-17,197.25,195.7,199.45,197.3
2020-01-20,198.0,194.3,201.45,195.0
2020-01-21,195.5,190.2,196.4,191.4
2020-01-22,191.95,184.25,192.5,185.6
2020-01-23,186.75,183.8,190.4,188.4
2020-01-24,188.0,185.0,191.0,186.5
2020-01-27,185.7,180.85,186.9,182.2
2020-01-28,183.9,174.9,184.3,176.1
2020-01-29,178.8,178.55,188.9,188.05
2020-01-30,190.95,184.25,192.55,186.2
2020-01-31,186.3,175.95,188.35,176.6
2020-02-01,175.4,163.7,178.8,165.6
2020-02-03,163.5,159.55,168.3,163.85
2020-02-04,166.55,161.2,168.6,165.7
2020-02-05,167.4,166.6,184.95,183.75
2020-02-06,182.0,175.75,183.4,178.85
2020-02-07,177.4,173.0,178.15,173.6
2020-02-10,173.2,168.0,173.2,168.9
2020-02-11,171.85,168.4,175.15,169.75
2020-02-12,173.0,169.0,173.3,170.95
2020-02-13,171.35,168.1,172.35,169.5
2020-02-14,172.0,168.3,176.2,169.1
2020-02-17,170.4,166.35,171.35,169.1
2020-02-18,168.0,158.6,168.0,161.6
2020-02-19,162.85,153.05,164.6,158.05
2020-02-20,157.95,156.0,162.3,158.5
2020-02-24,154.0,149.6,155.9,150.65
2020-02-25,152.2,147.45,153.4,149.9
2020-02-26,146.9,143.7,147.9,144.55
2020-02-27,144.15,141.1,146.75,145.25
2020-02-28,138.85,127.05,139.6,128.95
2020-03-02,133.0,123.8,133.9,125.4
2020-03-03,127.5,125.25,131.4,130.35
2020-03-04,129.6,120.55,129.6,126.2
2020-03-05,127.55,124.25,129.15,125.75
2020-03-06,115.0,112.8,117.3,114.2
2020-03-09,109.0,104.25,109.85,105.7
2020-03-11,104.85,97.8,106.5,98.9
2020-03-12,91.1,84.1,94.9,88.0
2020-03-13,81.9,78.05,94.15,89.75
2020-03-16,85.6,82.2,87.65,82.95
2020-03-17,83.05,77.4,85.0,77.95
2020-03-18,79.9,75.1,80.45,75.5
2020-03-19,70.0,68.75,76.5,72.95
2020-03-20,74.0,72.65,79.6,77.3
2020-03-23,70.0,66.0,72.0,66.2
2020-03-24,69.9,63.5,71.5,68.55
2020-03-25,67.75,67.25,71.7,70.25
2020-03-26,71.45,68.3,73.5,70.8
2020-03-27,72.05,69.35,75.9,70.7
