Date,Open,Low,High,Close
2020-01-15,491.9,489.15,503.55,502.1
2020-01-16,502.0,492.1,504.05,494.4
2020-01-17,493.3,491.9,498.9,495.25
2020-01-20,497.0,489.15,499.8,490.65
2020-01-21,487.8,473.5,487.8,476.15
2020-01-22,478.65,473.2,479.85,475.05
2020-01-23,475.9,473.15,481.85,480.25
2020-01-24,480.3,476.45,485.1,483.4
2020-01-27,477.75,460.1,477.75,462.45
2020-01-28,460.0,442.0,462.0,446.25
2020-01-29,452.8,449.6,459.7,452.2
2020-01-30,451.9,441.4,454.45,448.55
2020-01-31,453.0,436.45,454.25,438.7
2020-02-01,431.5,420.1,440.0,423.8
2020-02-03,418.0,416.6,439.0,436.05
2020-02-04,442.0,433.45,453.4,451.9
2020-02-05,452.25,448.0,479.7,475.05
2020-02-06,478.0,471.6,487.25,477.6
2020-02-07,475.7,468.85,479.7,471.0
2020-02-10,460.25,440.0,463.25,443.8
2020-02-11,448.35,442.7,457.7,444.1
2020-02-12,450.0,442.55,454.5,447.95
2020-02-13,448.75,439.35,451.7,441.25
2020-02-14,441.0,433.35,445.55,434.55
2020-02-17,435.5,433.0,440.9,436.85
2020-02-18,434.0,421.3,435.15,431.4
2020-02-19,436.45,428.15,438.5,433.2
2020-02-20,429.0,428.0,447.7,443.55
2020-02-24,434.85,413.35,434.85,415.45
2020-02-25,419.0,414.4,425.55,421.3
2020-02-26,411.3,411.3,419.4,416.3
2020-02-27,414.9,407.05,415.9,412.8
2020-02-28,398.7,375.0,398.95,381.75
2020-03-02,393.7,358.0,394.0,364.05
2020-03-03,373.5,370.1,391.0,387.55
2020-03-04,388.05,365.1,389.9,377.15
2020-03-05,383.95,374.3,387.8,375.75
2020-03-06,356.95,346.65,358.3,351.5
2020-03-09,337.5,319.75,337.7,322.3
2020-03-11,324.0,296.1,326.05,299.75
2020-03-12,275.0,267.2,291.8,287.45
2020-03-13,270.0,255.35,332.1,326.7
2020-03-16,304.0,287.1,317.65,289.6
2020-03-17,300.0,280.5,307.65,282.75
2020-03-18,290.0,275.7,293.15,280.85
2020-03-19,268.95,260.5,284.5,271.85
2020-03-20,279.7,274.15,305.0,297.75
2020-03-23,268.0,253.55,278.0,271.15
2020-03-24,277.05,258.6,285.65,271.9
2020-03-25,267.05,267.05,295.0,286.8
2020-03-26,290.0,280.1,295.5,284.45
2020-03-27,291.0,274.2,295.25,277.25
2020-03-30,267.0,250.85,270.75,254.05
2020-03-31,262.25,259.7,272.45,269.6
2020-04-01,266.0,258.1,267.95,266.35
2020-04-03,267.7,251.0,268.9,253.75
2020-04-07,266.05,261.2,277.7,276.2
2020-04-08,271.0,266.65,292.9,274.75
2020-04-09,280.5,277.65,289.6,284.85
2020-04-13,285.0,273.85,292.0,282.55
2020-04-15,287.4,281.9,295.65,285.15
2020-04-16,276.0,276.0,291.9,288.9
2020-04-17,297.5,285.5,299.7,293.35
2020-04-20,294.8,285.1,295.0,286.4
2020-04-21,280.05,263.25,281.0,265.95
2020-04-22,266.1,259.2,269.9,268.35
2020-04-23,270.0,269.0,279.0,270.3
2020-04-24,266.3,264.45,273.85,267.55
2020-04-27,274.0,270.5,276.9,271.65
2020-04-28,273.9,269.55,275.4,273.55
2020-04-29,273.0,271.25,286.15,282.65
2020-04-30,289.95,288.7,304.5,298.3
2020-05-04,285.0,270.1,286.15,273.6
2020-05-05,279.0,271.0,282.4,272.65
2020-05-06,274.1,272.05,280.45,277.75
2020-05-07,275.45,274.65,282.85,275.85
2020-05-08,282.8,272.0,284.0,272.9
2020-05-11,275.55,275.0,283.0,276.2
2020-05-12,273.3,264.5,276.8,273.95
2020-05-13,287.5,273.5,288.0,276.55
2020-05-14,272.0,267.3,275.2,268.55
2020-05-15,270.0,268.8,276.8,273.45
2020-05-18,274.1,262.45,276.2,266.6
2020-05-19,271.95,267.5,280.4,272.0
2020-05-20,272.0,270.1,284.0,283.2
2020-05-21,283.9,278.5,286.25,283.7
2020-05-22,279.0,273.3,280.25,274.45
2020-05-26,277.5,277.0,284.4,280.45
2020-05-27,282.2,279.05,290.4,287.95
2020-05-28,291.9,289.4,298.6,295.5
2020-05-29,292.1,287.85,296.9,295.2
2020-06-01,302.0,302.0,317.8,315.2
2020-06-02,318.0,314.55,323.45,319.4
2020-06-03,325.45,315.05,326.3,317.4
2020-06-04,316.9,314.6,322.6,319.95
2020-06-05,325.8,325.05,343.65,338.95
2020-06-08,347.7,327.35,350.8,333.6
2020-06-09,336.0,328.85,344.0,332.2
2020-06-10,331.1,322.0,331.5,324.0
2020-06-11,322.0,311.0,323.5,313.15
2020-06-12,300.0,300.0,320.45,317.6
2020-06-15,313.75,302.6,315.0,306.2
2020-06-16,315.1,301.3,322.55,308.95
2020-06-17,307.2,305.05,314.8,308.2
2020-06-18,308.2,307.1,319.2,318.1
2020-06-19,321.0,317.3,325.85,320.55
2020-06-22,319.75,318.35,328.0,325.7
2020-06-23,327.7,326.15,333.5,332.0
2020-06-24,336.6,324.75,338.15,326.05
2020-06-25,322.0,321.0,327.4,323.1
2020-06-26,325.8,322.55,329.95,323.85
2020-06-29,323.0,312.1,326.0,320.85
2020-06-30,323.1,323.1,337.65,326.7
2020-07-01,329.0,320.3,329.6,323.7
2020-07-02,327.05,324.55,337.5,334.9
2020-07-03,337.0,327.35,337.0,329.9
2020-07-06,333.15,330.3,341.7,338.9
2020-07-07,338.8,328.05,338.85,330.3
2020-07-08,332.8,332.0,346.4,334.2
2020-07-09,337.0,336.5,348.5,344.5
2020-07-10,341.95,335.2,344.3,338.7
2020-07-13,343.3,338.5,347.0,342.1
2020-07-14,339.0,332.6,339.0,336.65
2020-07-15,340.65,338.0,346.5,339.3
2020-07-16,338.0,331.55,346.5,341.65
2020-07-17,346.0,345.15,356.8,350.95
2020-07-20,351.1,346.6,354.7,352.4
2020-07-21,356.0,349.5,360.6,359.15
2020-07-22,360.5,346.6,362.9,350.05
2020-07-23,350.1,347.65,356.4,351.9
2020-07-24,347.0,342.55,349.8,346.1
2020-07-27,351.0,344.25,353.9,352.85
2020-07-28,353.6,352.75,360.0,358.5
2020-07-29,359.0,356.15,378.45,373.75
2020-07-30,377.0,364.1,377.8,366.6
2020-07-31,365.6,360.4,370.4,366.3
2020-08-03,364.75,362.05,376.85,373.5
2020-08-04,374.5,367.65,378.0,372.25
2020-08-05,373.05,373.05,397.9,395.8
2020-08-06,389.75,385.5,402.8,400.45
2020-08-07,395.9,393.1,406.7,404.05
2020-08-10,405.75,399.6,411.55,410.2
2020-08-11,413.1,412.5,427.6,416.45
2020-08-12,413.7,407.55,417.35,414.5
2020-08-13,418.2,408.85,421.7,413.1
2020-08-14,410.0,409.1,430.95,418.5
2020-08-17,418.0,414.25,429.15,425.05
2020-08-18,421.65,419.7,436.8,434.5
2020-08-19,434.5,428.85,435.55,431.7
2020-08-20,425.0,423.05,438.3,432.6
2020-08-21,435.75,426.55,442.0,428.85
2020-08-24,433.6,428.1,437.75,429.5
2020-08-25,432.0,421.45,432.65,424.0
2020-08-26,425.0,422.2,427.75,425.0
2020-08-27,425.5,423.0,430.2,426.85
2020-08-28,429.65,423.05,438.0,424.2
2020-08-31,426.5,410.0,430.15,413.0
2020-09-01,413.9,411.95,432.7,428.65
2020-09-02,430.05,427.1,441.7,438.65
2020-09-03,442.5,435.9,443.65,438.1
2020-09-04,428.1,419.0,433.95,421.3
2020-09-07,423.7,418.45,428.4,422.5
2020-09-08,425.75,402.6,425.75,405.1
2020-09-09,398.8,386.5,420.15,417.4
2020-09-10,424.0,401.1,425.9,408.0
2020-09-11,408.75,402.5,412.65,407.5
2020-09-14,410.0,402.15,414.1,404.65
2020-09-15,407.0,403.55,410.55,405.25
2020-09-16,406.45,402.7,410.0,404.6
2020-09-17,401.95,393.2,407.5,398.7
2020-09-18,402.1,393.4,405.65,395.5
2020-09-21,396.0,371.0,399.2,373.4
2020-09-22,374.0,358.2,378.5,374.15
2020-09-23,377.0,356.45,378.0,361.3
2020-09-24,356.8,342.75,357.25,343.9
2020-09-25,348.0,344.2,355.6,352.1
2020-09-28,359.95,355.65,364.95,361.0
2020-09-29,365.0,361.7,371.8,370.05
2020-09-30,371.05,358.0,371.5,359.75
2020-10-01,364.3,363.15,370.3,364.95
2020-10-05,370.1,369.5,385.5,382.3
2020-10-06,386.8,373.1,387.25,377.4
2020-10-07,376.0,370.0,379.3,371.1
2020-10-08,374.45,371.7,383.0,373.65
2020-10-09,376.05,367.05,386.95,369.5
2020-10-12,373.5,362.5,377.15,371.1
2020-10-13,372.0,366.65,376.25,368.35
2020-10-14,370.4,369.55,377.25,375.55
2020-10-15,381.0,371.5,388.6,373.9
2020-10-16,377.1,375.2,395.9,393.85
2020-10-19,397.6,391.8,400.0,395.5
2020-10-20,392.0,389.6,397.35,392.4
2020-10-21,396.3,394.35,408.0,404.05
