Date,Open,Low,High,Close
2020-01-15,2213.0,2194.2,2231.0,2226.9
2020-01-16,2226.95,2215.0,2249.0,2238.8
2020-01-17,2240.75,2213.0,2253.55,2219.1
2020-01-20,2194.9,2156.2,2242.2,2170.35
2020-01-21,2169.95,2158.05,2186.55,2171.05
2020-01-22,2181.0,2173.7,2210.0,2206.9
2020-01-23,2209.8,2183.7,2217.75,2190.95
2020-01-24,2190.95,2170.0,2190.95,2183.4
2020-01-27,2189.7,2165.0,2193.45,2169.25
2020-01-28,2174.0,2152.0,2187.8,2183.75
2020-01-29,2185.0,2150.0,2186.95,2154.6
2020-01-30,2160.0,2125.0,2165.0,2137.85
2020-01-31,2139.4,2071.6,2144.35,2079.05
2020-02-01,2079.5,2063.6,2180.7,2164.85
2020-02-03,2152.0,2093.2,2194.7,2102.5
2020-02-04,2129.0,2086.6,2136.7,2107.75
2020-02-05,2115.0,2104.3,2156.7,2146.55
2020-02-06,2145.0,2115.5,2174.2,2128.35
2020-02-07,2139.0,2119.0,2151.0,2136.55
2020-02-10,2140.9,2119.0,2167.0,2161.95
2020-02-11,2163.0,2147.6,2174.8,2153.4
2020-02-12,2151.1,2150.0,2185.0,2170.75
2020-02-13,2172.95,2171.0,2197.0,2191.95
2020-02-14,2188.0,2171.0,2212.0,2184.2
2020-02-17,2196.95,2190.2,2217.0,2203.25
2020-02-18,2199.95,2186.05,2221.0,2215.75
2020-02-19,2215.75,2190.5,2230.0,2196.35
2020-02-20,2204.5,2151.25,2214.4,2156.8
2020-02-24,2156.0,2106.7,2178.95,2115.35
2020-02-25,2115.5,2111.0,2176.65,2156.15
2020-02-26,2154.0,2112.95,2163.9,2123.6
2020-02-27,2119.95,2086.2,2119.95,2105.5
2020-02-28,2068.0,1990.0,2069.5,2000.15
2020-03-02,2035.0,1985.7,2053.95,2001.3
2020-03-03,2020.0,2012.0,2060.0,2036.2
2020-03-04,2056.0,2025.0,2094.45,2083.2
2020-03-05,2085.7,2084.05,2147.75,2125.05
2020-03-06,2098.0,2071.6,2123.65,2116.45
