Date,Open,Low,High,Close
2020-01-15,796.15,788.5,803.65,795.15
2020-01-16,793.0,781.1,795.7,782.85
2020-01-17,783.5,775.5,786.75,778.45
2020-01-20,778.5,774.55,785.45,778.2
2020-01-21,777.25,775.0,783.4,778.9
2020-01-22,780.0,776.2,790.45,778.75
2020-01-23,777.25,766.9,780.45,768.95
2020-01-24,765.1,763.3,788.75,787.3
2020-01-27,786.0,779.65,796.25,791.5
2020-01-28,792.5,784.6,795.75,794.25
2020-01-29,796.9,793.55,807.2,804.15
2020-01-30,805.6,784.0,807.95,791.35
2020-01-31,796.85,783.0,802.5,796.6
2020-02-01,796.95,765.7,812.0,807.55
2020-02-03,808.0,790.5,818.7,793.15
2020-02-04,794.3,794.3,813.0,811.1
2020-02-05,810.0,807.0,816.0,814.05
2020-02-06,812.7,810.05,825.95,817.7
2020-02-07,817.7,814.25,825.45,824.45
2020-02-10,827.0,811.5,827.1,813.65
2020-02-11,813.0,811.05,821.85,819.95
2020-02-12,820.0,816.8,826.45,821.5
2020-02-13,822.8,814.35,830.0,828.0
2020-02-14,827.0,825.05,838.0,834.15
2020-02-17,835.95,827.45,837.0,833.25
2020-02-18,825.35,825.35,840.0,838.8
2020-02-19,839.0,836.05,844.85,840.9
2020-02-20,840.15,826.95,845.9,829.6
2020-02-24,828.95,815.75,843.9,820.1
2020-02-25,822.0,809.05,826.8,822.1
2020-02-26,820.0,808.2,825.5,811.45
2020-02-27,807.0,800.2,819.7,809.15
2020-02-28,789.8,732.05,808.0,744.4
2020-03-02,742.0,734.4,754.45,744.55
2020-03-03,750.0,742.1,757.65,752.3
2020-03-04,754.0,748.0,774.85,771.3
2020-03-05,769.95,752.35,784.0,756.1
2020-03-06,746.1,731.4,749.75,740.4
2020-03-09,715.0,696.55,730.0,704.8
2020-03-11,681.0,666.0,713.9,708.55
2020-03-12,676.0,637.1,690.0,649.85
2020-03-13,603.25,525.9,670.0,655.95
2020-03-16,634.8,591.0,634.8,603.4
2020-03-17,600.0,583.3,617.95,595.45
2020-03-18,600.0,570.65,611.25,579.65
2020-03-19,549.65,523.0,577.65,530.0
2020-03-20,525.1,525.1,595.45,576.35
2020-03-23,540.0,471.4,542.0,487.2
2020-03-24,487.0,487.0,533.95,503.5
2020-03-25,509.0,507.05,542.85,526.7
2020-03-26,539.35,513.0,564.9,515.2
2020-03-27,525.0,498.0,538.8,504.1
2020-03-30,494.0,485.65,532.35,526.8
2020-03-31,537.0,527.85,575.25,565.5
2020-04-01,560.0,510.0,560.3,511.2
2020-04-03,513.75,510.1,533.15,520.9
2020-04-07,536.5,535.75,557.65,549.85
2020-04-08,539.95,537.0,569.8,558.9
2020-04-09,570.0,537.55,582.7,545.25
2020-04-13,551.0,521.75,551.0,526.85
2020-04-15,528.0,528.0,548.6,538.65
2020-04-16,527.0,508.35,530.0,517.65
2020-04-17,529.1,500.0,532.0,509.85
2020-04-20,517.95,512.0,531.9,524.85
2020-04-21,511.0,505.9,520.0,512.95
2020-04-22,512.0,507.05,521.9,518.3
2020-04-23,519.0,509.3,527.85,523.7
2020-04-24,522.0,502.1,532.6,503.45
2020-04-27,511.7,506.5,519.0,511.7
2020-04-28,518.0,515.55,528.5,520.4
2020-04-29,525.95,522.1,536.9,528.7
2020-04-30,541.0,532.35,552.9,546.25
2020-05-04,515.0,498.0,519.75,502.45
2020-05-05,506.0,498.2,514.0,499.95
2020-05-06,503.75,490.0,509.1,506.85
2020-05-07,508.0,506.35,525.85,516.35
2020-05-08,526.9,519.2,538.6,536.2
2020-05-11,541.5,527.2,543.8,530.2
2020-05-12,525.0,525.0,539.5,533.25
2020-05-13,542.0,531.4,549.75,544.75
2020-05-14,532.4,513.95,535.0,515.7
2020-05-15,520.0,507.4,520.0,510.55
2020-05-18,511.5,501.5,515.0,504.05
2020-05-19,510.0,503.3,519.7,512.6
2020-05-20,515.0,510.7,524.8,519.2
2020-05-21,519.95,510.05,521.5,520.05
2020-05-22,517.1,515.1,531.0,529.65
2020-05-26,533.0,518.85,540.75,520.45
2020-05-27,521.65,512.05,526.0,523.75
2020-05-28,528.0,517.15,531.85,529.7
2020-05-29,529.9,524.45,535.65,530.45
2020-06-01,538.5,537.05,554.8,543.55
2020-06-02,543.6,538.0,548.35,547.5
2020-06-03,554.0,550.0,565.5,553.25
2020-06-04,557.0,555.65,585.0,582.1
2020-06-05,588.0,575.0,593.55,579.85
2020-06-08,585.8,580.1,599.45,590.0
2020-06-09,594.0,585.0,605.35,586.2
2020-06-10,591.5,582.5,596.9,590.5
2020-06-11,591.0,564.75,591.0,571.85
2020-06-12,550.0,550.0,561.9,554.7
2020-06-15,557.0,543.4,560.5,548.8
2020-06-16,556.95,531.15,556.95,533.3
2020-06-17,531.0,528.4,545.0,535.55
2020-06-18,535.05,531.0,540.0,535.9
2020-06-19,538.5,531.9,542.95,538.85
2020-06-22,541.9,538.3,553.25,548.5
2020-06-23,548.0,544.55,560.1,558.8
2020-06-24,558.8,554.4,566.0,560.95
2020-06-25,558.0,552.05,565.6,554.15
2020-06-26,555.5,552.6,574.95,560.85
2020-06-29,558.9,539.2,558.9,541.55
2020-06-30,547.0,541.55,548.9,543.4
2020-07-01,544.0,536.05,547.35,545.9
