Date,Open,Low,High,Close
2020-01-15,1173.5,1170.6,1191.5,1184.85
2020-01-16,1184.85,1174.1,1195.5,1192.9
2020-01-17,1194.8,1184.0,1196.85,1188.75
2020-01-20,1190.0,1179.1,1195.0,1187.85
2020-01-21,1183.45,1161.0,1183.9,1176.2
2020-01-22,1181.8,1172.0,1185.95,1177.65
2020-01-23,1176.0,1175.0,1206.65,1204.1
2020-01-24,1208.9,1206.05,1230.0,1227.85
2020-01-27,1228.0,1208.85,1240.35,1213.8
2020-01-28,1215.0,1188.3,1223.5,1195.0
2020-01-29,1198.5,1181.6,1207.9,1186.2
2020-01-30,1191.0,1176.2,1191.5,1179.25
2020-01-31,1185.5,1180.0,1194.8,1187.75
2020-02-01,1186.85,1165.6,1218.0,1173.25
2020-02-03,1170.0,1162.55,1192.3,1186.4
2020-02-04,1195.0,1185.0,1287.8,1275.8
2020-02-05,1284.75,1255.0,1297.7,1279.85
2020-02-06,1284.95,1252.05,1294.2,1259.3
2020-02-07,1264.05,1258.4,1279.5,1275.0
2020-02-10,1270.9,1253.35,1275.0,1257.2
2020-02-11,1263.0,1258.55,1278.9,1270.7
2020-02-12,1276.95,1265.85,1288.95,1269.0
2020-02-13,1270.0,1270.0,1308.0,1298.1
2020-02-14,1306.95,1290.0,1310.7,1293.45
2020-02-17,1293.05,1288.35,1321.6,1316.05
2020-02-18,1314.0,1301.25,1318.9,1311.0
2020-02-19,1317.0,1312.05,1332.9,1329.6
2020-02-20,1330.0,1320.0,1341.05,1322.85
2020-02-24,1310.0,1273.85,1317.8,1279.9
2020-02-25,1285.0,1256.8,1286.75,1260.1
2020-02-26,1256.0,1245.1,1267.0,1255.1
2020-02-27,1250.0,1250.0,1286.0,1277.9
2020-02-28,1255.0,1235.65,1270.7,1254.5
2020-03-02,1275.0,1228.0,1294.0,1244.15
2020-03-03,1248.2,1225.0,1272.0,1247.0
2020-03-04,1251.95,1217.3,1265.65,1250.95
2020-03-05,1253.5,1242.2,1265.15,1259.15
2020-03-06,1229.0,1219.7,1246.95,1242.6
2020-03-09,1225.0,1175.0,1241.85,1203.45
2020-03-11,1197.95,1177.55,1213.35,1187.65
2020-03-12,1150.0,1064.65,1153.95,1076.75
2020-03-13,1055.6,946.05,1134.7,1084.35
2020-03-16,1049.95,983.0,1049.95,1011.35
2020-03-17,1005.0,977.8,1038.0,1001.0
2020-03-18,1028.0,921.0,1028.0,930.75
2020-03-19,879.95,839.75,924.4,903.5
2020-03-20,906.1,866.0,934.0,904.9
2020-03-23,839.65,771.25,841.05,800.95
2020-03-24,805.25,720.9,857.85,816.1
2020-03-25,799.0,784.8,897.7,880.8
2020-03-26,895.0,872.3,947.8,928.3
2020-03-27,960.0,896.0,965.0,937.05
2020-03-30,861.0,861.0,959.0,943.65
2020-03-31,967.0,923.75,971.7,933.7
2020-04-01,929.7,902.0,950.0,936.05
2020-04-03,930.0,855.95,930.05,862.8
2020-04-07,900.1,892.3,954.95,947.45
2020-04-08,935.0,893.4,966.4,913.45
2020-04-09,931.65,917.35,1044.0,1013.85
2020-04-13,1014.5,943.2,1014.5,966.85
2020-04-15,990.0,937.2,990.0,952.05
2020-04-16,929.0,915.0,999.0,985.25
2020-04-17,1001.1,956.3,1017.7,975.5
2020-04-20,975.5,957.0,982.2,975.5
2020-04-21,958.0,932.45,962.2,936.7
2020-04-22,936.7,922.55,955.25,951.4
2020-04-23,922.25,905.0,935.5,912.6
2020-04-24,910.0,893.1,926.9,906.05
2020-04-27,914.2,912.05,938.0,927.75
2020-04-28,930.35,917.0,940.0,932.85
2020-04-29,932.0,918.0,933.6,925.4
2020-04-30,935.2,929.0,978.95,970.05
2020-05-04,928.5,886.0,929.0,891.85
2020-05-05,905.0,877.0,908.85,886.95
2020-05-06,887.0,861.25,891.95,876.45
2020-05-07,878.5,846.4,878.5,849.1
2020-05-08,857.0,830.3,862.5,832.85
2020-05-11,848.45,824.0,851.4,829.6
2020-05-12,827.0,822.25,851.0,846.45
2020-05-13,874.95,856.0,883.95,860.45
2020-05-14,855.0,841.25,856.0,846.0
2020-05-15,846.0,842.0,859.8,845.6
2020-05-18,841.5,810.0,845.0,817.3
2020-05-19,827.3,818.15,844.15,826.8
2020-05-20,824.0,818.6,854.0,848.7
2020-05-21,854.0,843.9,860.0,849.85
2020-05-22,844.9,837.9,855.95,849.65
2020-05-26,856.0,855.15,896.95,892.75
2020-05-27,884.9,868.5,890.75,885.85
2020-05-28,885.85,875.0,904.1,899.45
2020-05-29,895.45,875.0,898.0,890.0
2020-06-01,898.5,898.5,979.0,958.9
2020-06-02,958.9,946.35,984.0,976.15
2020-06-03,989.0,979.7,1005.0,984.35
2020-06-04,970.1,942.35,977.45,971.25
2020-06-05,977.0,967.0,995.0,990.95
2020-06-08,1009.0,1006.05,1050.0,1025.0
2020-06-09,1037.0,989.25,1047.0,997.1
2020-06-10,997.1,970.85,1008.95,977.25
2020-06-11,976.0,949.1,976.0,951.25
2020-06-12,910.05,901.0,984.8,977.7
2020-06-15,979.95,945.0,986.55,948.4
2020-06-16,965.0,933.65,970.0,958.05
2020-06-17,955.0,945.75,972.85,963.0
2020-06-18,958.1,953.65,980.5,976.0
2020-06-19,980.0,973.0,994.95,975.85
2020-06-22,979.0,968.55,988.0,979.5
2020-06-23,981.5,981.5,1008.0,999.25
2020-06-24,1010.0,985.15,1026.0,988.2
2020-06-25,985.0,973.55,994.0,977.6
2020-06-26,988.0,961.9,989.9,966.2
2020-06-29,964.9,935.0,971.6,957.45
2020-06-30,965.0,946.4,971.95,949.85
2020-07-01,950.0,945.0,968.5,948.2
2020-07-02,956.95,953.1,994.0,986.4
2020-07-03,992.0,986.3,1008.0,1003.5
2020-07-06,1007.0,995.65,1019.8,1014.2
2020-07-07,1015.0,1007.0,1029.0,1016.25
2020-07-08,1026.0,987.05,1029.0,991.15
2020-07-09,995.0,978.35,1002.5,991.6
2020-07-10,985.05,957.4,987.0,961.85
