Date,Open,Low,High,Close
2020-01-15,4451.05,4410.0,4525.25,4506.5
2020-01-16,4520.0,4433.25,4554.9,4472.35
2020-01-17,4440.0,4411.3,4522.4,4486.75
2020-01-20,4500.0,4452.0,4509.45,4467.65
2020-01-21,4455.0,4440.0,4520.0,4483.55
2020-01-22,4505.0,4463.0,4540.0,4476.95
2020-01-23,4470.0,4446.05,4540.0,4526.4
2020-01-24,4554.0,4452.65,4679.7,4642.75
2020-01-27,4624.9,4622.0,4754.1,4676.95
2020-01-28,4670.0,4584.5,4715.8,4609.05
2020-01-29,4625.0,4559.5,4653.5,4568.2
2020-01-30,4569.0,4464.15,4588.5,4486.0
2020-01-31,4502.3,4405.0,4507.3,4416.1
2020-02-01,4422.0,4194.7,4538.9,4265.25
2020-02-03,4265.0,4236.15,4386.85,4370.65
2020-02-04,4394.95,4379.05,4498.85,4474.25
2020-02-05,4477.0,4397.6,4528.6,4471.8
2020-02-06,4480.0,4442.0,4519.05,4464.9
2020-02-07,4476.4,4449.65,4547.0,4471.8
2020-02-10,4487.0,4390.75,4492.6,4413.75
2020-02-11,4447.7,4433.0,4519.5,4466.45
2020-02-12,4492.7,4439.95,4492.7,4453.75
2020-02-13,4439.95,4415.0,4473.15,4450.5
2020-02-14,4469.0,4393.05,4538.95,4434.35
2020-02-17,4443.9,4401.1,4465.0,4449.85
2020-02-18,4433.6,4370.1,4488.2,4475.7
2020-02-19,4494.0,4455.0,4530.0,4473.1
2020-02-20,4450.0,4420.0,4508.0,4428.1
2020-02-24,4415.0,4320.0,4455.0,4395.0
2020-02-25,4397.5,4330.75,4400.0,4344.0
2020-02-26,4320.25,4286.05,4423.9,4341.5
2020-02-27,4332.55,4275.35,4365.05,4321.65
2020-02-28,4270.0,4200.0,4304.15,4219.6
2020-03-02,4255.0,4078.55,4316.3,4141.7
2020-03-03,4179.9,4157.55,4329.0,4299.9
2020-03-04,4310.05,4117.0,4325.0,4172.8
2020-03-05,4182.05,4151.6,4230.0,4205.55
2020-03-06,4092.6,4010.0,4193.3,4167.85
2020-03-09,4070.0,3995.0,4164.55,4097.35
2020-03-11,4070.0,3962.7,4111.85,3993.4
2020-03-12,3890.0,3612.5,3890.0,3663.5
2020-03-13,3470.3,3114.0,4011.5,3788.9
2020-03-16,3650.0,3405.0,3660.0,3518.05
2020-03-17,3520.0,3454.7,3575.0,3470.45
2020-03-18,3537.9,3270.5,3537.9,3303.55
2020-03-19,3139.0,2955.6,3389.75,3166.05
2020-03-20,3185.0,3140.35,3656.8,3573.85
2020-03-23,3220.0,3037.8,3290.4,3054.85
2020-03-24,3100.0,2967.45,3237.2,3018.1
2020-03-25,2968.2,2910.0,3290.0,3228.6
2020-03-26,3230.0,3153.6,3385.0,3229.15
2020-03-27,3390.0,3102.4,3390.0,3143.6
2020-03-30,3116.0,3070.0,3150.0,3085.9
2020-03-31,3140.0,3100.0,3279.05,3244.85
2020-04-01,3245.0,3105.25,3259.95,3140.65
2020-04-03,3189.0,3025.0,3191.0,3041.6
2020-04-07,3184.95,3080.25,3345.75,3279.5
2020-04-08,3241.0,3197.25,3384.85,3256.45
2020-04-09,3301.0,3258.5,3389.8,3366.05
2020-04-13,3347.1,3290.6,3631.25,3466.1
2020-04-15,3560.0,3531.5,3674.0,3600.15
2020-04-16,3550.0,3475.15,3565.7,3539.1
2020-04-17,3654.0,3510.85,3664.4,3534.05
2020-04-20,3570.0,3490.05,3570.0,3516.55
2020-04-21,3469.0,3376.05,3470.0,3403.25
2020-04-22,3421.0,3376.0,3457.65,3441.15
2020-04-23,3435.0,3406.0,3470.0,3442.2
2020-04-24,3410.0,3292.8,3440.0,3307.95
2020-04-27,3336.0,3316.35,3370.0,3360.65
2020-04-28,3412.0,3365.5,3431.0,3394.0
2020-04-29,3360.1,3360.1,3453.8,3434.35
2020-04-30,3470.0,3446.15,3565.95,3534.3
2020-05-04,3431.0,3326.05,3461.7,3347.6
2020-05-05,3395.0,3274.0,3395.0,3284.35
2020-05-06,3300.0,3247.15,3389.5,3324.4
2020-05-07,3323.95,3231.0,3378.0,3252.85
2020-05-08,3294.0,3271.05,3325.0,3305.8
2020-05-11,3355.0,3330.1,3450.0,3360.75
2020-05-12,3344.0,3275.55,3405.5,3349.35
2020-05-13,3450.0,3450.0,3580.0,3546.7
2020-05-14,3512.0,3491.0,3633.8,3609.5
2020-05-15,3629.0,3547.85,3629.0,3583.15
2020-05-18,3584.4,3281.1,3588.85,3307.8
2020-05-19,3370.0,3335.25,3493.0,3438.15
2020-05-20,3449.95,3435.0,3599.85,3528.5
2020-05-21,3588.0,3496.35,3590.0,3571.5
2020-05-22,3550.0,3530.0,3668.0,3638.95
2020-05-26,3665.0,3657.4,3847.0,3786.0
2020-05-27,3801.0,3691.0,3808.0,3727.4
2020-05-28,3729.0,3716.05,3820.0,3809.2
2020-05-29,3809.0,3794.85,3940.0,3904.85
2020-06-01,3905.0,3801.0,3955.0,3815.7
2020-06-02,3837.0,3770.0,3854.0,3834.25
2020-06-03,3889.95,3844.05,3920.0,3855.9
