Date,Open,Low,High,Close
2020-01-15,584.0,573.8,589.5,585.8
2020-01-16,587.1,582.1,591.8,588.1
2020-01-17,589.95,585.9,597.35,589.25
2020-01-20,590.0,580.55,590.85,584.6
2020-01-21,582.8,572.2,582.8,577.7
2020-01-22,582.85,553.4,582.85,562.95
2020-01-23,560.0,540.3,564.55,542.2
2020-01-24,541.0,541.0,564.5,543.3
2020-01-27,545.4,535.0,550.1,537.25
2020-01-28,538.25,533.2,548.0,536.95
2020-01-29,543.9,537.05,545.9,542.15
2020-01-30,541.95,539.1,551.35,544.15
2020-01-31,547.45,525.0,549.0,526.55
2020-02-01,528.0,498.7,533.95,503.65
2020-02-03,506.75,505.0,517.5,513.3
2020-02-04,516.95,515.0,525.95,522.6
2020-02-05,525.1,521.55,542.3,537.45
2020-02-06,537.05,533.6,545.2,536.85
2020-02-07,539.0,538.3,555.45,543.1
2020-02-10,570.3,555.7,579.6,574.1
2020-02-11,574.4,569.9,584.8,576.65
2020-02-12,578.45,570.45,583.0,573.9
2020-02-13,572.0,562.9,582.9,578.75
2020-02-14,579.6,578.1,601.4,591.65
2020-02-17,593.0,591.15,599.8,595.0
2020-02-18,592.0,574.0,592.0,585.2
2020-02-19,589.9,581.3,593.85,585.2
2020-02-20,586.0,580.7,596.25,584.35
2020-02-24,586.95,570.1,590.75,573.25
2020-02-25,573.3,562.1,577.65,566.35
2020-02-26,565.8,556.0,569.8,563.0
2020-02-27,561.55,548.85,561.55,550.85
2020-02-28,543.0,514.0,546.6,519.7
2020-03-02,527.0,509.6,541.6,514.35
2020-03-03,519.9,512.55,526.65,521.55
2020-03-04,525.0,498.1,533.6,511.6
2020-03-05,518.9,513.0,529.0,516.05
2020-03-06,499.0,491.35,516.85,513.6
2020-03-09,504.65,494.65,519.9,513.0
2020-03-11,498.55,497.6,523.45,516.95
2020-03-12,504.55,434.8,520.4,443.6
2020-03-13,428.0,377.1,438.0,410.85
2020-03-16,392.3,373.5,394.95,376.8
2020-03-17,370.0,343.1,379.95,350.85
2020-03-18,360.0,314.6,363.95,321.85
2020-03-19,301.2,293.0,313.3,296.75
2020-03-20,294.0,287.0,320.65,300.15
2020-03-23,270.15,240.15,283.0,254.6
2020-03-24,265.5,249.5,277.0,262.05
2020-03-25,257.0,252.0,301.35,292.8
2020-03-26,298.0,290.2,330.8,312.55
2020-03-27,327.6,315.3,336.0,322.2
2020-03-30,317.2,293.7,317.2,308.45
2020-03-31,315.45,309.25,331.75,326.5
2020-04-01,328.5,303.0,328.5,305.75
2020-04-03,306.15,295.0,307.5,298.1
2020-04-07,311.0,307.15,326.0,323.65
2020-04-08,320.0,316.45,337.5,320.2
2020-04-09,330.0,312.75,332.4,319.0
2020-04-13,321.0,316.5,334.2,324.95
2020-04-15,329.95,329.9,381.75,350.55
2020-04-16,356.0,356.0,369.0,363.2
2020-04-17,376.55,358.25,379.0,363.3
2020-04-20,369.8,352.8,369.8,354.75
2020-04-21,348.7,343.05,352.9,345.95
2020-04-22,345.0,336.2,359.0,353.65
2020-04-23,359.9,345.7,366.4,348.9
2020-04-24,345.0,334.2,347.6,335.85
2020-04-27,343.4,340.5,355.7,349.35
2020-04-28,361.95,357.05,369.95,360.5
2020-04-29,363.95,354.35,364.4,360.6
2020-04-30,367.25,364.05,429.35,420.05
2020-05-04,394.85,381.35,419.5,385.4
2020-05-05,395.0,385.0,408.0,387.05
2020-05-06,392.95,373.0,392.95,379.0
2020-05-07,378.0,366.3,383.9,368.4
2020-05-08,373.45,363.0,375.8,364.6
2020-05-11,367.0,366.5,378.6,368.1
2020-05-12,368.5,363.9,382.45,374.55
2020-05-13,398.2,380.6,398.8,389.65
2020-05-14,386.5,376.1,396.0,391.85
2020-05-15,393.7,377.45,393.7,378.9
2020-05-18,381.4,365.4,384.7,375.8
2020-05-19,380.65,338.25,380.65,339.65
2020-05-20,339.05,336.0,358.6,356.55
2020-05-21,359.65,356.35,370.0,366.8
2020-05-22,366.75,362.7,373.9,371.15
2020-05-26,376.95,365.65,386.45,367.05
2020-05-27,370.5,367.05,390.0,387.8
2020-05-28,394.2,388.2,398.9,391.1
2020-05-29,392.55,388.4,419.75,405.85
2020-06-01,411.0,410.75,423.0,419.3
2020-06-02,420.1,414.7,428.95,424.7
2020-06-03,428.95,417.0,433.8,419.1
2020-06-04,419.9,418.0,432.95,422.05
2020-06-05,425.25,423.55,445.95,439.4
2020-06-08,449.0,433.5,449.7,436.8
2020-06-09,443.95,428.15,445.0,430.6
2020-06-10,432.1,421.0,435.55,425.0
2020-06-11,430.7,415.45,434.25,417.45
2020-06-12,402.0,400.05,415.2,411.65
2020-06-15,405.65,398.05,411.0,405.0
2020-06-16,416.0,410.0,429.4,414.25
2020-06-17,419.8,409.0,424.0,420.8
2020-06-18,422.85,422.4,431.9,427.9
2020-06-19,427.95,427.5,439.55,436.9
2020-06-22,436.95,432.1,448.4,446.2
2020-06-23,453.0,452.75,469.1,463.1
2020-06-24,466.85,441.0,470.0,444.95
2020-06-25,438.15,437.45,454.7,442.9
2020-06-26,450.0,438.65,450.85,440.25
2020-06-29,440.0,429.15,440.25,431.9
2020-06-30,435.0,422.0,446.45,425.2
2020-07-01,430.9,429.0,449.0,446.95
2020-07-02,451.35,440.35,453.75,442.45
2020-07-03,445.2,442.4,452.95,444.2
2020-07-06,447.0,446.3,460.4,456.6
2020-07-07,457.9,448.1,457.9,450.95
2020-07-08,459.85,441.25,464.0,444.0
2020-07-09,447.0,437.15,447.9,442.55
2020-07-10,444.0,433.5,452.0,436.5
2020-07-13,440.0,435.5,444.95,439.2
2020-07-14,439.95,429.1,444.5,437.5
2020-07-15,441.75,430.45,442.85,437.55
2020-07-16,440.55,423.55,441.75,433.45
2020-07-17,435.0,433.0,442.35,436.45
2020-07-20,440.0,439.3,456.0,453.65
2020-07-21,457.3,450.35,462.8,458.4
2020-07-22,460.0,447.7,464.5,460.25
2020-07-23,461.0,459.0,478.0,462.75
2020-07-24,461.0,444.1,461.0,454.15
2020-07-27,455.8,440.25,457.0,445.8
2020-07-28,446.4,441.5,451.95,448.95
2020-07-29,449.5,449.05,464.1,461.75
2020-07-30,464.95,461.45,471.5,464.6
2020-07-31,467.85,460.25,486.0,478.15
2020-08-03,484.0,445.2,484.9,452.15
2020-08-04,455.85,454.0,464.35,461.7
2020-08-05,462.0,452.3,467.7,453.6
2020-08-06,452.5,451.6,466.5,463.9
2020-08-07,465.5,465.5,484.9,480.3
2020-08-10,483.85,478.45,496.5,494.3
2020-08-11,496.5,480.0,496.65,481.9
2020-08-12,481.25,471.05,489.0,487.15
2020-08-13,487.3,487.3,499.9,489.15
2020-08-14,494.6,480.85,496.9,485.65
2020-08-17,489.5,487.75,494.7,492.35
2020-08-18,492.2,491.85,508.95,500.15
2020-08-19,499.9,492.5,507.15,499.4
2020-08-20,494.85,487.25,498.75,491.9
2020-08-21,496.5,491.0,504.05,493.4
2020-08-24,496.0,496.0,504.75,497.4
2020-08-25,499.05,490.2,500.55,492.1
