Date,Open,Low,High,Close
2020-01-15,254.0,246.6,256.0,248.25
2020-01-16,248.0,247.0,252.6,250.45
2020-01-17,252.0,249.65,253.9,251.1
2020-01-20,250.8,247.2,250.8,248.0
2020-01-21,247.9,246.0,248.2,247.1
2020-01-22,248.6,245.4,251.95,245.85
2020-01-23,246.45,245.35,249.1,248.7
2020-01-24,248.65,246.25,249.45,247.6
2020-01-27,247.9,244.75,247.9,245.35
2020-01-28,245.9,241.8,246.1,244.05
2020-01-29,244.6,243.25,247.4,246.75
2020-01-30,247.6,240.2,247.6,240.7
2020-01-31,238.0,235.0,239.15,236.8
2020-02-01,236.5,234.3,239.35,236.8
2020-02-03,237.7,235.25,240.15,237.4
2020-02-04,239.0,237.9,241.25,240.25
2020-02-05,241.6,237.3,243.0,242.25
2020-02-06,242.75,241.65,245.95,243.65
2020-02-07,247.0,242.95,247.0,243.95
2020-02-10,245.4,239.45,245.65,240.9
2020-02-11,240.55,239.8,242.9,241.25
2020-02-12,241.7,241.7,247.15,244.45
2020-02-13,245.8,242.5,245.8,243.75
2020-02-14,243.8,242.0,245.35,242.9
2020-02-17,242.9,241.95,245.0,243.8
2020-02-18,243.75,241.25,244.85,244.05
2020-02-19,244.5,244.5,248.35,247.6
2020-02-20,248.0,245.1,248.55,245.7
2020-02-24,245.0,242.4,247.8,244.2
2020-02-25,244.15,242.45,246.65,244.1
2020-02-26,243.05,238.4,243.45,239.9
2020-02-27,238.95,230.5,238.95,231.6
2020-02-28,228.5,219.7,229.5,221.45
2020-03-02,225.8,218.4,227.0,220.8
2020-03-03,224.0,220.6,225.8,223.7
2020-03-04,224.9,222.45,229.75,228.85
2020-03-05,229.05,228.65,233.9,229.7
2020-03-06,225.0,222.55,226.0,223.55
2020-03-09,220.2,213.0,221.0,214.4
2020-03-11,203.7,203.7,214.4,213.1
2020-03-12,204.0,197.5,206.95,199.1
2020-03-13,199.0,169.25,204.45,197.4
2020-03-16,193.95,178.55,193.95,179.75
2020-03-17,178.55,170.75,185.55,173.1
2020-03-18,176.7,168.5,178.5,169.95
2020-03-19,165.0,159.4,171.35,162.35
2020-03-20,163.1,162.5,185.8,179.2
2020-03-23,165.0,165.0,177.0,170.15
2020-03-24,168.5,168.05,181.75,176.35
2020-03-25,177.4,170.2,188.0,174.65
2020-03-26,176.95,172.5,186.8,182.6
2020-03-27,183.15,181.5,189.5,183.5
2020-03-30,181.1,179.35,187.4,184.15
2020-03-31,187.0,185.65,199.8,196.7
2020-04-01,195.7,187.0,195.7,189.5
2020-04-03,188.0,177.75,189.6,180.0
2020-04-07,188.25,183.05,192.7,191.9
2020-04-08,191.5,188.8,200.0,192.9
2020-04-09,198.4,195.05,202.95,196.7
2020-04-13,198.0,182.9,198.0,189.2
2020-04-15,190.05,185.8,193.6,186.55
2020-04-16,180.0,180.0,189.75,187.85
2020-04-17,192.5,185.55,193.75,187.0
2020-04-20,189.0,180.15,189.0,181.1
2020-04-21,179.0,173.8,179.9,178.05
2020-04-22,177.0,175.05,179.5,178.55
2020-04-23,179.4,177.1,182.6,180.9
2020-04-24,179.95,177.15,180.8,177.75
2020-04-27,180.0,175.5,182.9,182.05
2020-04-28,182.1,178.0,182.95,179.7
2020-04-29,180.1,179.4,182.45,180.65
2020-04-30,185.0,183.55,192.6,190.95
2020-05-04,184.5,183.05,191.3,190.05
2020-05-05,191.45,182.2,194.0,184.2
2020-05-06,185.7,181.0,188.0,187.05
2020-05-07,184.0,181.2,185.4,184.1
2020-05-08,185.2,182.55,186.0,184.0
2020-05-11,185.0,184.1,189.95,184.7
2020-05-12,184.2,182.6,188.0,187.05
2020-05-13,191.5,185.15,191.5,189.7
2020-05-14,184.75,183.1,187.35,186.0
2020-05-15,186.0,182.65,186.0,183.8
2020-05-18,182.05,179.6,185.0,182.2
2020-05-19,182.25,178.0,186.0,184.4
2020-05-20,185.0,182.2,185.9,184.95
2020-05-21,183.4,183.4,191.7,189.1
2020-05-22,189.05,186.45,190.85,189.0
2020-05-26,189.0,185.7,193.2,188.8
2020-05-27,189.6,187.7,205.5,201.25
2020-05-28,203.5,196.05,203.5,199.35
2020-05-29,199.35,196.15,214.9,212.8
2020-06-01,215.5,213.4,221.0,215.05
2020-06-02,215.1,210.95,218.55,215.85
2020-06-03,216.1,210.55,217.45,211.35
2020-06-04,211.35,210.15,219.95,216.25
2020-06-05,220.0,215.0,220.25,218.75
2020-06-08,219.0,215.85,227.3,226.45
2020-06-09,224.1,217.15,226.3,218.35
2020-06-10,220.0,215.6,221.05,217.0
2020-06-11,217.0,212.35,217.65,212.9
2020-06-12,208.0,206.3,209.5,207.9
2020-06-15,211.95,208.15,217.9,213.8
2020-06-16,217.45,209.6,217.9,212.4
2020-06-17,212.0,211.05,218.75,217.8
2020-06-18,216.8,214.65,219.3,218.15
2020-06-19,218.0,215.0,224.1,222.05
2020-06-22,221.15,216.8,221.75,218.05
2020-06-23,215.0,213.0,222.3,220.6
2020-06-24,224.0,217.55,224.0,218.2
2020-06-25,216.95,215.3,222.0,218.2
2020-06-26,219.3,218.3,230.0,225.45
2020-06-29,222.05,218.7,225.9,219.7
2020-06-30,219.6,218.0,221.95,219.65
2020-07-01,221.0,218.35,222.4,219.05
2020-07-02,221.0,219.55,225.45,224.2
2020-07-03,224.2,222.65,228.5,224.8
2020-07-06,225.9,221.6,227.25,222.65
2020-07-07,223.2,222.0,228.4,224.9
2020-07-08,226.65,222.5,227.7,223.1
2020-07-09,224.25,219.65,224.6,221.6
2020-07-10,221.0,219.5,223.45,222.1
2020-07-13,223.95,222.55,229.0,227.6
2020-07-14,228.4,224.1,231.7,225.0
2020-07-15,236.0,235.0,268.7,262.75
2020-07-16,262.5,255.05,268.45,261.9
2020-07-17,258.6,257.0,263.85,261.35
2020-07-20,261.35,259.0,273.55,270.8
2020-07-21,278.5,269.4,281.6,271.35
2020-07-22,272.45,263.65,272.85,266.0
2020-07-23,268.3,262.55,268.45,266.6
2020-07-24,267.0,265.55,271.8,270.55
2020-07-27,270.55,267.15,273.2,268.85
2020-07-28,269.3,269.3,276.75,275.45
2020-07-29,273.8,272.35,278.0,277.0
2020-07-30,280.1,280.1,286.8,284.1
2020-07-31,289.6,278.6,290.8,280.95
2020-08-03,283.0,279.5,284.8,281.55
2020-08-04,281.55,278.25,283.35,281.05
2020-08-05,281.25,277.4,284.45,278.2
2020-08-06,280.7,277.75,284.25,279.65
2020-08-07,281.05,276.4,281.85,277.4
2020-08-10,280.0,276.6,281.2,277.4
2020-08-11,279.0,278.3,284.65,279.65
2020-08-12,280.4,274.55,280.7,276.2
2020-08-13,277.9,274.8,281.85,277.0
2020-08-14,278.5,275.9,280.75,276.5
2020-08-17,278.6,277.65,286.4,281.95
2020-08-18,284.75,281.7,287.4,282.7
2020-08-19,285.5,279.25,285.95,279.75
2020-08-20,279.0,273.2,279.0,274.2
2020-08-21,278.95,272.7,278.95,273.35
2020-08-24,273.5,271.9,274.45,272.7
2020-08-25,274.35,269.35,274.7,269.95
2020-08-26,269.95,268.0,274.7,272.05
2020-08-27,273.0,271.5,275.2,272.35
2020-08-28,274.7,271.3,275.0,272.05
2020-08-31,274.0,268.0,282.0,271.3
2020-09-01,271.0,269.0,279.4,271.6
2020-09-02,272.9,271.2,276.5,273.7
2020-09-03,275.5,274.5,287.85,282.85
2020-09-04,278.7,275.1,279.5,276.0
2020-09-07,276.5,271.5,279.5,278.75
2020-09-08,282.2,278.5,286.95,282.55
2020-09-09,279.8,278.5,289.45,282.85
2020-09-10,286.65,281.1,286.85,284.55
2020-09-11,282.5,282.5,298.45,293.3
2020-09-14,293.25,293.15,308.55,307.2
2020-09-15,307.2,302.75,311.25,307.35
2020-09-16,307.0,304.05,313.5,312.15
2020-09-17,307.25,307.2,316.7,311.7
2020-09-18,314.0,312.25,319.0,316.5
2020-09-21,315.9,309.95,324.5,311.9
2020-09-22,315.4,303.95,316.75,312.25
2020-09-23,315.0,311.15,321.8,314.85
2020-09-24,313.4,302.45,313.4,304.7
2020-09-25,306.3,304.2,315.25,313.9
2020-09-28,315.0,309.6,317.0,311.55
2020-09-29,315.0,310.5,318.55,311.5
2020-09-30,312.0,309.6,315.85,313.55
2020-10-01,316.4,312.05,317.85,313.05
2020-10-05,315.2,315.2,336.0,333.95
2020-10-06,335.0,323.0,335.3,330.05
2020-10-07,327.0,325.5,336.55,335.3
2020-10-08,351.0,346.45,367.75,359.45
2020-10-09,362.0,357.25,376.1,374.0
2020-10-12,377.0,369.1,379.8,377.5
2020-10-13,377.3,372.95,381.7,375.95
2020-10-14,365.0,348.3,365.0,350.45
2020-10-15,351.0,338.95,354.25,341.6
2020-10-16,342.9,338.6,348.1,339.65
2020-10-19,342.45,338.65,346.5,343.2
2020-10-20,344.75,341.85,349.5,346.75
2020-10-21,349.6,339.1,350.1,343.45
2020-10-22,341.0,340.85,348.2,344.45
2020-10-23,346.9,341.3,347.1,342.4
2020-10-26,343.7,336.7,344.9,339.8
2020-10-27,338.3,331.05,339.75,334.05
2020-10-28,335.75,334.4,339.85,335.65
2020-10-29,333.65,331.15,340.0,337.45
2020-10-30,339.25,338.45,345.0,340.7
2020-11-02,341.75,333.7,341.75,334.8
2020-11-03,335.5,332.65,339.45,335.65
2020-11-04,338.0,337.5,351.55,342.95
2020-11-05,347.95,344.05,349.0,345.4
2020-11-06,346.15,343.4,349.0,345.75
2020-11-09,350.0,347.0,352.8,351.95
2020-11-10,350.75,341.15,350.75,342.3
2020-11-11,344.5,341.5,347.75,346.75
2020-11-12,348.0,344.3,350.7,345.55
2020-11-13,344.5,342.7,346.25,344.15
2020-11-14,347.15,343.1,347.55,345.45
2020-11-17,347.0,343.7,350.5,348.7
2020-11-18,349.75,341.8,352.35,345.3
2020-11-19,347.7,341.6,349.5,342.6
2020-11-20,343.8,342.05,348.5,346.3
2020-11-23,348.0,346.0,357.4,355.85
2020-11-24,359.0,355.0,361.4,355.5
2020-11-25,357.9,349.55,358.8,350.0
2020-11-26,351.0,347.2,356.4,354.85
2020-11-27,354.85,347.85,357.5,350.5
2020-12-01,352.7,346.25,353.9,352.85
2020-12-02,354.45,354.2,360.3,358.9
2020-12-03,364.0,358.0,364.0,360.3
2020-12-04,361.1,359.0,362.4,360.8
2020-12-07,362.0,357.5,362.75,358.45
2020-12-08,360.3,358.4,365.0,363.7
2020-12-09,367.75,357.5,367.75,359.5
2020-12-10,356.2,352.75,358.0,355.9
2020-12-11,357.4,352.65,360.0,353.5
2020-12-14,353.5,347.1,354.55,349.35
2020-12-15,349.3,347.5,353.9,352.7
2020-12-16,353.9,353.2,358.95,358.4
2020-12-17,358.4,355.5,359.25,356.9
2020-12-18,358.95,357.5,365.8,363.55
2020-12-21,362.5,348.35,367.45,353.95
2020-12-22,354.0,349.45,365.7,364.2
2020-12-23,374.0,371.7,387.6,385.55
2020-12-24,386.45,378.65,386.7,382.2
2020-12-28,383.45,382.0,386.4,382.9
2020-12-29,384.0,383.1,390.5,385.0
2020-12-30,385.0,382.8,386.6,384.4
2020-12-31,381.2,381.2,387.6,386.25
2021-01-01,385.05,385.05,390.75,388.1
2021-01-04,390.0,387.8,397.95,396.4
2021-01-05,394.1,393.5,409.8,406.3
2021-01-06,405.0,403.3,417.4,406.4
2021-01-07,412.25,403.85,413.0,406.75
2021-01-08,407.5,407.25,432.65,430.2
2021-01-11,436.0,435.0,451.0,446.8
2021-01-12,447.95,442.4,460.75,457.7
2021-01-13,461.0,452.8,467.45,459.0
2021-01-14,452.0,430.0,466.0,454.35
2021-01-15,454.75,436.6,459.4,438.55
2021-01-18,441.0,429.1,445.0,431.55
2021-01-19,433.0,427.7,439.55,430.25
2021-01-20,434.0,433.0,447.85,444.95
